Section,,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,Profit before tax,,,,,,,,,-13,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,-9,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,-0.56,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,42.09%,42.09%,42.09%,42.09%,42.09%,42.09%,42.09%,42.09%,42.09%,42.10%,42.10%,42.10%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,7.16%,7.01%,5.66%,4.37%,4.53%,5.31%,3.97%,4.36%,3.85%,2.31%,1.64%,2.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,3.25%,3.25%,3.27%,3.27%,3.25%,0.06%,0.07%,0.00%,0.00%,0.00%,0.00%,0.03%,,,,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,,,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,47.36%,47.51%,48.84%,50.14%,50.00%,52.40%,53.75%,53.42%,53.92%,55.45%,56.13%,55.73%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,156902,162414,160483,162416,159071,166279,178492,202645,200036,195455,193085,190189,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,42.09%,,,,42.09%,,,,42.10%,41.87%,41.87%,41.87%,42.08%,42.08%,42.09%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,4.37%,,,,4.36%,,,,2.00%,2.18%,5.64%,0.06%,0.02%,0.38%,7.70%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,3.27%,,,,0.00%,,,,0.03%,6.25%,2.14%,3.14%,3.64%,3.91%,3.24%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,,,0.13%,,,,0.13%,,,,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,50.14%,,,,53.42%,,,,55.73%,49.57%,50.22%,54.80%,54.13%,53.50%,46.83%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,162416,,,,202645,,,,190189,11102,41792,39574,40906,45189,142418
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
