Section,,Mar 2022,Jun 2022,Sep 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Profit & Loss,Depreciation,0.64,,,0.43,,,,0.74,,,,0.66,0.00,0.04,0.41,0.64,
Profit & Loss,Profit before tax,2.77,,,4.06,,,,6.49,,,,7.96,-0.34,-0.09,0.10,0.18,
Profit & Loss,Tax %,19.13%,,,24.14%,,,,26.04%,,,,7.79%,-2.94%,0.00%,20.00%,27.78%,
Profit & Loss,Net Profit,2.35,,,3.22,,,,4.79,,,,7.34,-0.28,-0.19,0.03,0.15,
Profit & Loss,EPS in Rs,1.19,,,1.29,,,,1.92,,,,2.94,-0.26,-0.18,0.03,0.14,
Profit & Loss,Dividend Payout %,0.00%,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,17.54,,,25.00,,,,25.00,,,,25.00,10.71,10.71,10.71,10.71,
Balance Sheet,Reserves,23.09,,,76.49,,,,79.56,,,,86.42,10.43,10.24,9.64,9.76,
Balance Sheet,Borrowings,20.90,,,15.75,,,,16.65,,,,14.93,5.54,4.81,14.60,23.31,
Balance Sheet,Other Liabilities,12.64,,,15.72,,,,16.69,,,,16.51,2.91,2.93,8.83,7.22,
Balance Sheet,Total Liabilities,74.17,,,132.96,,,,137.90,,,,142.86,29.59,28.69,43.78,51.00,
Balance Sheet,Fixed Assets,8.49,,,8.73,,,,17.01,,,,16.56,4.98,5.12,11.54,11.25,
Balance Sheet,CWIP,0.00,,,0.00,,,,0.00,,,,1.50,0.32,5.10,0.00,0.00,
Balance Sheet,Investments,4.86,,,4.55,,,,10.37,,,,11.12,12.69,5.49,5.44,5.47,
Balance Sheet,Other Assets,60.82,,,119.68,,,,110.52,,,,113.68,11.60,12.98,26.80,34.28,
Balance Sheet,Total Assets,74.17,,,132.96,,,,137.90,,,,142.86,29.59,28.69,43.78,51.00,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-14.58,,,-46.33,,,,15.90,,,,-6.27,0.00,-2.26,-10.05,-7.84,
Cash Flows,Cash from Investing Activity,-3.64,,,-5.41,,,,-13.32,,,,-2.42,0.00,3.27,-0.25,-0.45,
Cash Flows,Cash from Financing Activity,18.21,,,52.91,,,,-2.45,,,,7.98,0.00,-0.62,9.79,8.25,
Cash Flows,Net Cash Flow,0.00,,,1.17,,,,0.13,,,,-0.71,0.00,0.39,-0.51,-0.05,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,128.46,,,207.25,,,,144.79,,,,244.80,146.61,,196.36,115.15,
Ratios,Inventory Days,152.37,,,271.98,,,,234.81,,,,464.28,0.00,,177.88,93.35,
Ratios,Days Payable,33.24,,,50.44,,,,31.66,,,,58.54,,,102.07,32.24,
Ratios,Cash Conversion Cycle,247.58,,,428.79,,,,347.94,,,,650.54,146.61,,272.17,176.25,
Ratios,Working Capital Days,222.71,,,663.64,,,,464.89,,,,844.20,189.45,,283.50,160.52,
Ratios,ROCE %,6.91%,,,5.13%,,,,5.36%,,,,7.28%,,-1.26%,1.32%,2.95%,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,48.76%,,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,,,,,43.98%
Shareholding Pattern (Quarterly),Public,51.24%,,46.35%,46.36%,46.35%,46.35%,46.35%,46.36%,46.35%,46.35%,46.35%,46.36%,,,,,56.02%
Shareholding Pattern (Quarterly),No. of Shareholders,573,,555,547,661,3229,4818,11608,16029,15426,19627,19187,,,,,573
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,48.76%,,,53.64%,,,,53.64%,,,,53.64%,43.98%,43.98%,43.98%,43.98%,
Shareholding Pattern (Yearly),Public,51.24%,,,46.36%,,,,46.36%,,,,46.36%,56.02%,56.02%,56.02%,56.02%,
Shareholding Pattern (Yearly),No. of Shareholders,573,,,547,,,,11608,,,,19187,652,590,556,554,
,,,,,,,,,,,,,,,,,,
