Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Balance Sheet,Total Assets,2221,,,,2463,,,,2793,,,,3736,1745,1829,1929
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,213,,,,256,,,,374,,,,377,218,241,256
Cash Flows,Cash from Investing Activity,-258,,,,-239,,,,-367,,,,-955,-243,-176,-140
Cash Flows,Cash from Financing Activity,47,,,,-6,,,,-8,,,,583,14,-29,-139
Cash Flows,Net Cash Flow,2,,,,11,,,,-1,,,,5,-10,36,-24
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,75,,,,67,,,,60,,,,55,61,65,74
Ratios,Inventory Days,117,,,,133,,,,126,,,,147,126,140,137
Ratios,Days Payable,112,,,,105,,,,107,,,,107,97,101,125
Ratios,Cash Conversion Cycle,80,,,,95,,,,79,,,,96,90,104,86
Ratios,Working Capital Days,78,,,,77,,,,67,,,,73,62,61,80
Ratios,ROCE %,14%,,,,14%,,,,16%,,,,13%,,10%,13%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,35.70%,35.51%,35.51%,35.49%,35.22%,35.22%,35.05%,35.04%,34.79%,34.78%,30.33%,30.35%,,,
Shareholding Pattern (Quarterly),FIIs,,41.30%,39.58%,38.50%,38.10%,30.34%,29.00%,22.73%,22.11%,15.56%,19.51%,20.54%,20.10%,,,
Shareholding Pattern (Quarterly),DIIs,,14.35%,15.99%,16.88%,17.00%,24.30%,25.11%,28.22%,28.56%,34.67%,32.47%,37.53%,37.01%,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.06%,0.06%,0.06%,0.05%,0.05%,,,
Shareholding Pattern (Quarterly),Public,,8.65%,8.91%,9.12%,9.40%,10.13%,10.66%,13.97%,14.23%,14.94%,13.18%,11.55%,12.49%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,83518,79381,74054,72398,67697,71930,74344,75212,72028,69225,79726,76609,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,36.02%,,,,35.49%,,,,35.04%,,,,30.35%,,,
Shareholding Pattern (Yearly),FIIs,42.54%,,,,38.10%,,,,22.11%,,,,20.10%,,,
Shareholding Pattern (Yearly),DIIs,12.56%,,,,17.00%,,,,28.56%,,,,37.01%,,,
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.06%,,,,0.05%,,,
Shareholding Pattern (Yearly),Public,8.88%,,,,9.40%,,,,14.23%,,,,12.49%,,,
Shareholding Pattern (Yearly),No. of Shareholders,90207,,,,72398,,,,75212,,,,76609,,,
,,,,,,,,,,,,,,,,,
