Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20183m,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Profit & Loss,Depreciation,120,,,,146,,,,196,,,,225,0,19,108,133,
Profit & Loss,Profit before tax,345,,,,497,,,,800,,,,1133,-0,67,181,178,
Profit & Loss,Tax %,20%,,,,22%,,,,25%,,,,26%,0%,18%,18%,17%,
Profit & Loss,Net Profit,276,,,,387,,,,599,,,,840,-0,55,148,147,
Profit & Loss,EPS in Rs,10.00,,,,13.90,,,,21.69,,,,30.63,-27.00,1.98,5.38,5.33,
Profit & Loss,Dividend Payout %,31%,,,,29%,,,,31%,,,,28%,0%,37%,18%,28%,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,270,,,,270,,,,271,,,,272,,268,269,269,0.10
Balance Sheet,Reserves,1040,,,,1381,,,,1875,,,,2640,,691,780,938,-0
Balance Sheet,Borrowings,227,,,,287,,,,329,,,,345,,132,204,230,0
Balance Sheet,Other Liabilities,799,,,,1402,,,,1624,,,,1776,,582,384,531,0
Balance Sheet,Total Liabilities,2336,,,,3341,,,,4098,,,,5033,,1674,1637,1968,0
Balance Sheet,Fixed Assets,641,,,,1684,,,,1915,,,,1972,,420,526,577,0
Balance Sheet,CWIP,0,,,,33,,,,58,,,,9,,1,5,12,0
Balance Sheet,Investments,129,,,,64,,,,94,,,,432,,50,9,127,0
Balance Sheet,Other Assets,1566,,,,1559,,,,2030,,,,2620,,1204,1096,1251,0
Balance Sheet,Total Assets,2336,,,,3341,,,,4098,,,,5033,,1674,1637,1968,0
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,475,,,,462,,,,1002,,,,1390,,151,389,628,-0
Cash Flows,Cash from Investing Activity,-292,,,,-167,,,,-561,,,,-630,,16,-136,-503,0
Cash Flows,Cash from Financing Activity,-127,,,,-183,,,,-240,,,,-342,,34,-177,-115,0
Cash Flows,Net Cash Flow,56,,,,112,,,,201,,,,417,,201,75,10,0
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,56,,,,64,,,,56,,,,47,,337,76,55,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,56,,,,64,,,,56,,,,47,,337,76,55,
Ratios,Working Capital Days,-23,,,,-17,,,,-18,,,,-13,,216,37,-4,
Ratios,ROCE %,25%,,,,30%,,,,38%,,,,41%,,20%,18%,14%,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,40.11%,40.10%,40.10%,39.49%,39.47%,39.47%,39.47%,39.47%,39.47%,39.47%,39.47%,39.47%,,,,,
Shareholding Pattern (Quarterly),FIIs,,15.99%,16.89%,20.30%,23.42%,25.91%,25.69%,26.48%,23.98%,22.23%,20.95%,17.35%,17.17%,,,,,
Shareholding Pattern (Quarterly),DIIs,,10.74%,13.52%,12.69%,12.30%,11.78%,12.25%,11.60%,14.00%,16.64%,17.52%,20.41%,21.29%,,,,,
Shareholding Pattern (Quarterly),Public,,31.69%,28.08%,25.44%,23.41%,21.55%,21.46%,21.33%,21.49%,20.63%,21.11%,21.82%,21.15%,,,,,
Shareholding Pattern (Quarterly),Others,,1.48%,1.38%,1.46%,1.39%,1.29%,1.14%,1.10%,1.07%,1.02%,0.97%,0.93%,0.89%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,586197,563281,513971,476890,471896,496051,508158,532946,534018,559643,618571,615957,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,40.11%,,,,39.49%,,,,39.47%,,,,39.47%,,,41.65%,40.14%,
Shareholding Pattern (Yearly),FIIs,17.10%,,,,23.42%,,,,23.98%,,,,17.17%,,,23.30%,20.92%,
Shareholding Pattern (Yearly),DIIs,11.21%,,,,12.30%,,,,14.00%,,,,21.29%,,,12.64%,15.44%,
Shareholding Pattern (Yearly),Public,30.08%,,,,23.41%,,,,21.49%,,,,21.15%,,,20.48%,21.64%,
Shareholding Pattern (Yearly),Others,1.51%,,,,1.39%,,,,1.07%,,,,0.89%,,,1.92%,1.86%,
Shareholding Pattern (Yearly),No. of Shareholders,514259,,,,476890,,,,532946,,,,615957,,,54632,75567,
,,,,,,,,,,,,,,,,,,,
