Section,,Jun 2013,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Ratios,Debtor Days,,,,,93,,,,0,7,101,66,55,113,93,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,0,,,,679,795,164,176,55,253,89,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,138,,,,791,916,113,60,135,304,141,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,-44,,,,-112,-115,152,182,-25,62,41,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,212,,,,-78,2890,262,233,169,320,216,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,11%,,,,,8%,12%,10%,8%,9%,12%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,63.01%,63.41%,63.53%,55.36%,55.43%,55.46%,50.65%,51.61%,51.70%,51.70%,51.70%,51.70%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,,,,,,,,,,0.64%,0.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,36.34%,35.94%,36.46%,44.63%,44.56%,44.53%,49.34%,48.37%,48.28%,48.28%,48.19%,48.28%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,4479,4432,4355,4293,4293,4401,4267,4453,4503,4676,3491,3472,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,54.12%,,,,,,,,,41.32%,49.28%,,,,,55.36%,,,,51.61%,,,,51.70%,58.24%,61.02%,62.36%
Shareholding Pattern (Yearly),DIIs,,,,,0.01%,,,,,,,,,0.01%,0.01%,,,,,0.01%,,,,0.01%,,,,0.01%,0.01%,0.01%,0.01%
Shareholding Pattern (Yearly),Government,,,,,0.00%,,,,,,,,,0.00%,0.00%,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.26%,0.64%
Shareholding Pattern (Yearly),Public,,,,,45.87%,,,,,,,,,58.67%,50.72%,,,,,44.63%,,,,48.37%,,,,48.28%,41.76%,38.71%,36.99%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,5224,,,,,,,,,3318,5822,,,,,4293,,,,4453,,,,3472,4601,4468,4656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
