Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48,,,,40,,,,37,,,,53,70,92,89,98,112,63,77,62,
Ratios,Inventory Days,,,,,,,,,,,,,1,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,564,,,,,,,,,
Ratios,Cash Conversion Cycle,48,,,,40,,,,37,,,,-511,70,92,89,98,112,63,77,62,
Ratios,Working Capital Days,-179,,,,-124,,,,-123,,,,-99,-107,-100,-117,-164,-215,-198,-164,-186,
Ratios,ROCE %,25%,,,,24%,,,,22%,,,,25%,28%,16%,16%,18%,22%,25%,29%,25%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,7.11%,7.58%,7.84%,7.96%,7.70%,7.88%,7.60%,7.01%,7.26%,7.31%,6.89%,6.75%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,12.62%,13.08%,14.10%,15.81%,18.46%,17.18%,15.51%,13.60%,13.89%,11.01%,10.59%,10.76%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,28.95%,28.02%,26.74%,24.90%,22.51%,23.60%,25.54%,28.05%,27.51%,30.32%,31.19%,31.14%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,290354,282616,266267,258326,241820,275990,288461,385950,426824,468671,481413,485225,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,51.32%,,,,51.32%,,,,51.32%,,,,51.32%,,,,57.02%,52.02%,52.00%,51.50%,51.32%,59.37%
Shareholding Pattern (Yearly),FIIs,6.74%,,,,7.96%,,,,7.01%,,,,6.75%,,,,6.85%,5.61%,6.58%,7.59%,7.00%,0.00%
Shareholding Pattern (Yearly),DIIs,13.05%,,,,15.81%,,,,13.60%,,,,10.76%,,,,19.86%,26.57%,25.53%,25.52%,15.71%,27.54%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.01%,,,,0.01%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,28.89%,,,,24.90%,,,,28.05%,,,,31.14%,,,,16.27%,15.80%,15.89%,15.40%,25.97%,13.09%
Shareholding Pattern (Yearly),No. of Shareholders,292191,,,,258326,,,,385950,,,,485225,,,,178806,190980,188301,193915,269565,143195
,,,,,,,,,,,,,,,,,,,,,,,
