Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201813m,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Profit & Loss,Depreciation,126,,,,132,,,,132,,,,143,15,25,138,134,
Profit & Loss,Profit before tax,-122,,,,-211,,,,-267,,,,-247,-14,4,-131,-164,
Profit & Loss,Tax %,-0%,,,,-0%,,,,-0%,,,,-0%,0%,43%,-0%,-0%,
Profit & Loss,Net Profit,-121,,,,-210,,,,-266,,,,-246,-14,2,-131,-164,
Profit & Loss,EPS in Rs,-13.48,,,,-23.34,,,,-29.53,,,,-27.33,,0.27,-14.51,-18.18,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,45,,,,45,,,,45,,,,45,,40,40,45,0.00
Balance Sheet,Reserves,17,,,,-196,,,,-461,,,,-707,,508,234,141,507
Balance Sheet,Borrowings,1069,,,,1341,,,,1622,,,,1571,,0,849,944,1
Balance Sheet,Other Liabilities,435,,,,439,,,,490,,,,400,,365,471,429,373
Balance Sheet,Total Liabilities,1565,,,,1629,,,,1696,,,,1310,,914,1594,1559,881
Balance Sheet,Fixed Assets,1049,,,,1132,,,,1211,,,,953,,263,1055,1053,239
Balance Sheet,CWIP,8,,,,2,,,,1,,,,0,,1,10,3,0
Balance Sheet,Investments,94,,,,94,,,,56,,,,43,,23,24,35,7
Balance Sheet,Other Assets,415,,,,401,,,,428,,,,314,,627,505,468,635
Balance Sheet,Total Assets,1565,,,,1629,,,,1696,,,,1310,,914,1594,1559,881
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,55,,,,27,,,,35,,,,37,,-13,114,-2,-48
Cash Flows,Cash from Investing Activity,-40,,,,-26,,,,11,,,,-20,,22,-7,-18,-189
Cash Flows,Cash from Financing Activity,-54,,,,-5,,,,-28,,,,-27,,-0,-54,-3,38
Cash Flows,Net Cash Flow,-40,,,,-4,,,,18,,,,-10,,9,53,-24,-199
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,4,,,,3,,,,4,,,,3,,7,9,4,12
Ratios,Inventory Days,52,,,,49,,,,52,,,,39,,57,44,51,109
Ratios,Days Payable,67,,,,64,,,,75,,,,72,,66,66,63,123
Ratios,Cash Conversion Cycle,-10,,,,-12,,,,-19,,,,-30,,-1,-13,-8,-2
Ratios,Working Capital Days,-12,,,,-11,,,,-18,,,,-25,,-2,-15,-10,-1
Ratios,ROCE %,-2%,,,,-8%,,,,-10%,,,,-8%,,2%,-6%,-7%,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,,,,,
Shareholding Pattern (Quarterly),FIIs,,7.60%,7.87%,7.98%,8.35%,8.45%,8.45%,8.84%,9.38%,8.32%,8.31%,8.54%,8.74%,,,,,
Shareholding Pattern (Quarterly),DIIs,,3.00%,2.98%,2.37%,2.37%,2.37%,2.37%,1.99%,1.99%,1.99%,1.99%,1.99%,1.99%,,,,,
Shareholding Pattern (Quarterly),Government,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,
Shareholding Pattern (Quarterly),Public,,30.45%,30.17%,30.68%,30.31%,30.21%,30.21%,30.20%,29.65%,30.72%,30.73%,30.48%,30.29%,,,,,
Shareholding Pattern (Quarterly),Others,,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,63085,62521,61318,60226,58660,57358,51018,49190,49192,51367,50829,50376,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,58.81%,,,,58.81%,,,,58.81%,,,,58.81%,,53.38%,54.70%,56.51%,
Shareholding Pattern (Yearly),FIIs,7.35%,,,,8.35%,,,,9.38%,,,,8.74%,,8.34%,4.78%,5.25%,
Shareholding Pattern (Yearly),DIIs,3.00%,,,,2.37%,,,,1.99%,,,,1.99%,,12.97%,4.20%,2.54%,
Shareholding Pattern (Yearly),Government,0.01%,,,,0.01%,,,,0.01%,,,,0.01%,,0.01%,0.01%,0.01%,
Shareholding Pattern (Yearly),Public,30.69%,,,,30.31%,,,,29.65%,,,,30.29%,,25.30%,36.30%,35.70%,
Shareholding Pattern (Yearly),Others,0.13%,,,,0.13%,,,,0.13%,,,,0.13%,,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),No. of Shareholders,63863,,,,60226,,,,49190,,,,50376,,55503,64426,68332,
,,,,,,,,,,,,,,,,,,,
