Section,,Sep 2008,Jun 2009,Sep 2009,Mar 2024,Dec 2024,Mar 2025,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,CWIP,,,,238,,284,128,33,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,30,,37,0,0,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,1699,,1270,65,111,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,4735,,4865,359,466,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-71,,1450,56,42,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-388,,-882,-140,-85,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,474,,-564,79,51,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,14,,4,-6,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,0,,0,3,4,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,94,,60,14,24,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,12,,15,18,20,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,83,,45,-1,8,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,51,,22,-1,6,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,13%,,12%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,73.15%,73.17%,73.17%,,,74.26%,73.00%,73.00%,73.11%,73.11%,73.11%,73.11%,73.17%,73.17%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,2.86%,3.38%,3.40%,,,4.23%,4.17%,4.18%,4.06%,4.07%,3.04%,2.90%,2.82%,3.29%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,9.81%,9.99%,10.08%,,,6.62%,8.15%,8.25%,8.40%,8.54%,9.54%,9.70%,9.82%,10.17%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,14.18%,13.45%,13.35%,,,14.89%,14.68%,14.57%,14.43%,14.28%,14.32%,14.28%,14.20%,13.38%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,25541,37677,36665,,,32680,31674,30490,29965,29630,26365,26382,27006,26404,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,73.15%,,73.17%,,,,,,73.11%,,,,,,74.71%,72.51%,73.54%,73.58%,74.07%,74.26%
Shareholding Pattern (Yearly),FIIs,,,,2.86%,,3.40%,,,,,,4.06%,,,,,,3.28%,5.22%,5.14%,3.36%,3.50%,4.25%
Shareholding Pattern (Yearly),DIIs,,,,9.81%,,10.08%,,,,,,8.40%,,,,,,0.18%,3.17%,4.29%,6.46%,6.55%,6.67%
Shareholding Pattern (Yearly),Public,,,,14.18%,,13.35%,,,,,,14.43%,,,,,,21.83%,19.10%,17.03%,16.60%,15.88%,14.81%
Shareholding Pattern (Yearly),No. of Shareholders,,,,25541,,36665,,,,,,29965,,,,,,7654,13759,14686,13637,24811,30649
,,,,,,,,,,,,,,,,,,,,,,,,
