Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Mar 201615m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Balance Sheet,Equity Capital,27,,,,27,,,,27,,,,27,27,27,,27,27,27,27,27,27
Balance Sheet,Reserves,12581,,,,14963,,,,18018,,,,21269,2028,2489,,5318,7003,8891,9954,11411,3626
Balance Sheet,Borrowings,108,,,,288,,,,419,,,,458,84,58,,112,151,187,249,219,23
Balance Sheet,Other Liabilities,3424,,,,3919,,,,4650,,,,5420,3197,3829,,1552,2341,2281,2220,2901,1263
Balance Sheet,Total Liabilities,16140,,,,19198,,,,23115,,,,27174,5337,6403,,7009,9522,11387,12450,14559,4939
Balance Sheet,Fixed Assets,2424,,,,2690,,,,2914,,,,3855,1656,2309,,873,1502,1875,2378,2433,790
Balance Sheet,CWIP,505,,,,472,,,,555,,,,110,464,419,,374,333,450,312,314,94
Balance Sheet,Investments,7721,,,,12321,,,,13527,,,,14791,825,1078,,4987,5581,4923,5749,3902,3388
Balance Sheet,Other Assets,5490,,,,3715,,,,6119,,,,8419,2391,2597,,775,2106,4140,4011,7909,667
Balance Sheet,Total Assets,16140,,,,19198,,,,23115,,,,27174,5337,6403,,7009,9522,11387,12450,14559,4939
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1527,,,,2823,,,,3724,,,,3980,716,1047,,1708,2482,1575,1694,1691,1463
Cash Flows,Cash from Investing Activity,-983,,,,-2397,,,,-2834,,,,-2483,-790,-1214,,-1744,-2145,-660,-1508,-1625,-1001
Cash Flows,Cash from Financing Activity,-593,,,,-417,,,,-844,,,,-1399,-47,-162,,25,-262,-292,-858,-15,-466
Cash Flows,Net Cash Flow,-50,,,,8,,,,45,,,,98,-121,-329,,-10,75,623,-673,51,-4
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,11,,,,9,,,,8,,,,11,27,23,,3,3,3,3,7,2
Ratios,Inventory Days,69,,,,57,,,,57,,,,55,41,41,,33,31,46,42,62,33
Ratios,Days Payable,110,,,,80,,,,85,,,,90,94,96,,75,92,89,74,108,77
Ratios,Cash Conversion Cycle,-29,,,,-14,,,,-19,,,,-24,-25,-31,,-40,-58,-40,-28,-39,-42
Ratios,Working Capital Days,-12,,,,-10,,,,8,,,,50,-27,-33,,-49,-58,-35,-37,-23,-45
Ratios,ROCE %,18%,,,,27%,,,,31%,,,,30%,22%,28%,,53%,49%,41%,25%,17%,51%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,49.21%,49.21%,49.20%,49.20%,49.18%,49.15%,49.15%,49.14%,49.11%,49.10%,49.09%,49.08%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,29.50%,30.25%,29.85%,28.63%,30.28%,28.89%,30.27%,28.95%,28.81%,27.61%,25.42%,25.02%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,10.13%,9.95%,9.96%,11.19%,10.03%,10.48%,9.73%,11.04%,11.84%,13.67%,16.11%,16.55%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,11.06%,10.48%,10.88%,10.88%,10.43%,11.37%,10.76%,10.77%,10.14%,9.52%,9.30%,9.26%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,234512,238294,260161,266168,245461,280530,248486,263132,256978,247951,246190,249483,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,49.21%,,,,49.20%,,,,49.14%,,,,49.08%,,,,50.58%,50.49%,49.32%,49.28%,49.23%,
Shareholding Pattern (Yearly),FIIs,29.22%,,,,28.63%,,,,28.95%,,,,25.02%,,,,32.45%,30.97%,32.49%,27.71%,29.06%,
Shareholding Pattern (Yearly),DIIs,9.95%,,,,11.19%,,,,11.04%,,,,16.55%,,,,4.03%,5.90%,4.55%,11.12%,9.08%,
Shareholding Pattern (Yearly),Government,0.10%,,,,0.10%,,,,0.10%,,,,0.10%,,,,0.00%,0.03%,0.11%,0.15%,0.15%,
Shareholding Pattern (Yearly),Public,11.52%,,,,10.88%,,,,10.77%,,,,9.26%,,,,12.94%,12.61%,13.53%,11.75%,12.49%,
Shareholding Pattern (Yearly),No. of Shareholders,263479,,,,266168,,,,263132,,,,249483,,,,81872,93341,117136,109899,252014,
,,,,,,,,,,,,,,,,,,,,,,,
