Section,,Sep 200718m,Mar 200918m,Sep 2007,Mar 2009,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Ratios,Working Capital Days,,,11,17,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,20%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,45.17%,44.93%,44.93%,44.93%,44.93%,44.93%,44.93%,44.93%,44.93%,44.93%,44.93%,44.93%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,1.70%,2.26%,1.73%,1.77%,1.89%,1.84%,1.70%,1.70%,1.71%,1.76%,1.69%,1.69%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,53.12%,52.82%,53.32%,53.30%,53.17%,53.24%,53.37%,53.37%,53.37%,53.31%,53.37%,53.38%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,23015,21946,20975,20501,19813,20272,19320,17494,16746,16982,17204,17244,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,44.93%,,,,44.93%,,,,44.93%,53.06%,46.49%,46.04%,45.56%,45.17%,45.17%,45.17%
Shareholding Pattern (Yearly),FIIs,,,,,,,,1.77%,,,,1.70%,,,,1.69%,0.00%,0.25%,1.84%,0.19%,0.13%,0.13%,0.13%
Shareholding Pattern (Yearly),DIIs,,,,,,,,0.00%,,,,0.00%,,,,0.00%,3.61%,0.88%,0.29%,0.34%,0.48%,0.01%,0.02%
Shareholding Pattern (Yearly),Public,,,,,,,,53.30%,,,,53.37%,,,,53.38%,43.33%,52.38%,51.83%,53.92%,54.22%,54.69%,54.68%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,20501,,,,17494,,,,17244,10031,12438,13130,16392,20136,20760,24826
,,,,,,,,,,,,,,,,,,,,,,,,
