Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Profit & Loss,Tax %,,26%,,,,25%,,,,,,,28%,-30%,,,,,
Profit & Loss,Net Profit,,29,,,,112,,,,,,,157,-22,,,,,
Profit & Loss,EPS in Rs,,3.39,,,,12.94,,,,,,,18.08,-2.59,,,,,
Profit & Loss,Dividend Payout %,,15%,,,,15%,,,,,,,11%,0%,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,9,,,,9,,,,,,,9,,,,,,
Balance Sheet,Reserves,,725,,,,833,,,,,,,1134,,,,,,
Balance Sheet,Borrowings,,167,,,,183,,,,,,,438,,,,,,
Balance Sheet,Other Liabilities,,64,,,,96,,,,,,,185,,,,,,
Balance Sheet,Total Liabilities,,964,,,,1121,,,,,,,1765,,,,,,
Balance Sheet,Fixed Assets,,769,,,,858,,,,,,,1116,,,,,,
Balance Sheet,CWIP,,0,,,,7,,,,,,,18,,,,,,
Balance Sheet,Investments,,30,,,,35,,,,,,,150,,,,,,
Balance Sheet,Other Assets,,165,,,,220,,,,,,,482,,,,,,
Balance Sheet,Total Assets,,964,,,,1121,,,,,,,1765,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,130,,,,257,,,,,,,162,,,,,,
Cash Flows,Cash from Investing Activity,,-76,,,,-237,,,,,,,-286,,,,,,
Cash Flows,Cash from Financing Activity,,-48,,,,-15,,,,,,,89,,,,,,
Cash Flows,Net Cash Flow,,6,,,,5,,,,,,,-36,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,86,,,,79,,,,,,,110,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,86,,,,79,,,,,,,110,,,,,,
Ratios,Working Capital Days,,100,,,,87,,,,,,,188,,,,,,
Ratios,ROCE %,,,,,,15%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,,47.25%,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.28%,1.03%,1.35%,1.47%,1.64%,1.99%,2.12%,2.41%,2.95%,2.94%,2.11%,,2.49%,,,,
Shareholding Pattern (Quarterly),DIIs,,,1.08%,1.58%,2.06%,1.68%,1.73%,1.77%,1.62%,3.34%,3.65%,3.89%,3.25%,,2.59%,,,,
Shareholding Pattern (Quarterly),Public,,,51.39%,50.14%,49.36%,49.61%,49.39%,49.00%,49.01%,47.01%,46.16%,45.91%,47.38%,,47.67%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,27145,27324,25286,27053,31715,39442,44902,66371,65948,67463,68155,,49310,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,47.25%,,,,47.25%,,,,,,,47.25%,47.25%,47.25%,46.88%,46.88%,46.88%,47.25%
Shareholding Pattern (Yearly),FIIs,,0.30%,,,,1.47%,,,,,,,2.11%,0.00%,2.49%,2.95%,1.59%,0.19%,0.19%
Shareholding Pattern (Yearly),DIIs,,1.20%,,,,1.68%,,,,,,,3.25%,3.21%,2.59%,15.44%,13.40%,5.78%,3.85%
Shareholding Pattern (Yearly),Government,,0.00%,,,,0.00%,,,,,,,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,51.25%,,,,49.61%,,,,,,,47.38%,49.54%,47.67%,34.73%,38.03%,47.15%,48.71%
Shareholding Pattern (Yearly),No. of Shareholders,,26508,,,,27053,,,,,,,68155,13481,49310,16382,17448,16833,15400
,,,,,,,,,,,,,,,,,,,,
