Section,,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Dec 2012,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,3.85%,1.30%,1.03%,1.12%,1.52%,1.43%,0.89%,1.21%,1.39%,1.40%,1.19%,1.16%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,0.44%,0.50%,0.50%,0.50%,1.53%,1.25%,1.32%,1.30%,1.04%,1.40%,1.28%,1.08%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,27.98%,30.46%,30.72%,30.64%,29.22%,29.58%,30.06%,29.76%,29.83%,29.48%,29.80%,30.02%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,34378,33000,31362,30256,27614,26830,26544,31026,33302,34825,35588,35256,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,,,,,67.73%,,,,67.73%,,,,67.73%,68.77%,66.21%,66.94%,66.94%,67.73%,67.73%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,,,,,,,1.12%,,,,1.21%,,,,1.16%,1.01%,5.66%,5.62%,5.43%,4.20%,4.23%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,,,,,0.50%,,,,1.30%,,,,1.08%,6.31%,1.02%,1.00%,1.23%,1.58%,0.43%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,,,,,30.64%,,,,29.76%,,,,30.02%,23.91%,27.11%,26.44%,26.40%,26.48%,27.60%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,,,,,30256,,,,31026,,,,35256,15343,16224,17022,17897,27508,33927
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
