Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2015
Profit & Loss,Tax %,25%,,,,25%,,,,25%,,,,26%,29%,32%,17%,14%,37%,25%,
Profit & Loss,Net Profit,198,,,,259,,,,434,,,,222,132,135,160,126,144,267,
Profit & Loss,EPS in Rs,52.50,,,,68.84,,,,115.15,,,,59.01,35.09,35.92,42.42,33.57,38.31,70.89,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,19,,,,19,,,,19,,,,19,19,19,19,19,19,19,
Balance Sheet,Reserves,4019,,,,4671,,,,6182,,,,6881,980,1125,2421,2033,1692,3279,
Balance Sheet,Borrowings,0,,,,0,,,,0,,,,0,10,0,0,0,0,0,
Balance Sheet,Other Liabilities,345,,,,418,,,,612,,,,700,149,174,120,135,213,294,
Balance Sheet,Total Liabilities,4382,,,,5108,,,,6814,,,,7600,1159,1318,2559,2187,1924,3591,
Balance Sheet,Fixed Assets,16,,,,15,,,,15,,,,14,65,73,14,14,14,15,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,3,3,0,0,0,0,
Balance Sheet,Investments,4177,,,,4838,,,,6459,,,,7128,667,770,2499,2086,1777,3424,
Balance Sheet,Other Assets,189,,,,255,,,,340,,,,457,424,472,46,87,133,153,
Balance Sheet,Total Assets,4382,,,,5108,,,,6814,,,,7600,1159,1318,2559,2187,1924,3591,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,6,,,,-0,,,,9,,,,21,0,51,-2,-25,-3,-6,
Cash Flows,Cash from Investing Activity,-27,,,,7,,,,18,,,,-49,-22,-26,5,30,11,13,
Cash Flows,Cash from Financing Activity,0,,,,0,,,,0,,,,0,36,-6,0,0,0,0,
Cash Flows,Net Cash Flow,-21,,,,7,,,,27,,,,-28,15,19,3,5,8,6,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,0,,,,0,,,,0,,,,0,61,68,0,0,0,0,
Ratios,Inventory Days,,,,,,,,,,,,,,29,23,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,65,72,,,,,
Ratios,Cash Conversion Cycle,0,,,,0,,,,0,,,,0,26,20,0,0,0,0,
Ratios,Working Capital Days,465,,,,301,,,,203,,,,147,49,50,694,1157,412,586,
Ratios,ROCE %,7%,,,,8%,,,,11%,,,,5%,,6%,11%,7%,12%,14%,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.17%,1.19%,1.26%,1.32%,1.34%,1.44%,1.53%,1.55%,1.70%,0.75%,0.77%,0.74%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%,0.01%,0.01%,0.01%,0.22%,0.22%,,,,,,,
Shareholding Pattern (Quarterly),Public,,24.26%,24.24%,24.17%,24.12%,24.08%,23.99%,23.91%,24.31%,24.15%,25.10%,24.87%,24.92%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,20671,20882,20772,21530,21293,20788,21114,22911,22589,24213,27840,28899,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.13%,,,,74.13%,,,,74.13%,,,,74.13%,,72.71%,73.38%,73.38%,73.38%,74.13%,73.46%
Shareholding Pattern (Yearly),FIIs,1.18%,,,,1.32%,,,,1.55%,,,,0.74%,,0.68%,2.17%,1.70%,1.00%,1.11%,0.64%
Shareholding Pattern (Yearly),DIIs,0.44%,,,,0.44%,,,,0.01%,,,,0.22%,,1.39%,1.33%,0.88%,0.58%,0.44%,1.35%
Shareholding Pattern (Yearly),Public,24.25%,,,,24.12%,,,,24.31%,,,,24.92%,,25.22%,23.12%,24.04%,25.04%,24.32%,24.55%
Shareholding Pattern (Yearly),No. of Shareholders,20787,,,,21530,,,,22911,,,,28899,,23280,23477,22725,20606,20101,23916
,,,,,,,,,,,,,,,,,,,,,
