Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Jun 2025,Mar 2017,Mar 2018
Ratios,Debtor Days,93,,,,66,,,,85,,,,55,96,115,109,,,
Ratios,Inventory Days,251,,,,263,,,,263,,,,152,154,202,213,,,
Ratios,Days Payable,200,,,,169,,,,267,,,,155,101,154,233,,,
Ratios,Cash Conversion Cycle,144,,,,160,,,,81,,,,52,149,163,89,,,
Ratios,Working Capital Days,132,,,,113,,,,79,,,,66,126,124,109,,,
Ratios,ROCE %,10%,,,,12%,,,,21%,,,,24%,,9%,9%,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,71.89%,71.89%,71.89%,71.89%,71.89%,71.89%,66.47%,66.48%,66.48%,66.48%,66.48%,,,,66.48%,,
Shareholding Pattern (Quarterly),FIIs,,,9.88%,9.62%,9.51%,9.93%,8.09%,7.40%,4.60%,3.64%,4.39%,4.82%,5.13%,,,,5.37%,,
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.11%,0.28%,0.15%,0.15%,0.20%,0.24%,0.24%,0.48%,0.30%,,,,0.31%,,
Shareholding Pattern (Quarterly),Public,,,18.24%,18.50%,18.48%,17.89%,19.85%,20.57%,28.72%,29.65%,28.89%,28.23%,28.08%,,,,27.84%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,29184,24528,25118,26132,38425,44633,59503,63082,70015,90627,95774,,,,100471,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.89%,,,,71.89%,,,,66.47%,,,,66.48%,71.89%,71.89%,71.89%,66.48%,70.41%,70.23%
Shareholding Pattern (Yearly),FIIs,9.31%,,,,9.51%,,,,4.60%,,,,5.13%,6.16%,5.56%,8.97%,5.37%,1.52%,6.16%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.11%,,,,0.20%,,,,0.30%,9.34%,4.73%,1.85%,0.31%,10.87%,10.96%
Shareholding Pattern (Yearly),Public,18.80%,,,,18.48%,,,,28.72%,,,,28.08%,12.61%,17.82%,17.29%,27.84%,17.20%,12.65%
Shareholding Pattern (Yearly),No. of Shareholders,29476,,,,25118,,,,59503,,,,95774,21772,18283,18500,100471,9072,13933
,,,,,,,,,,,,,,,,,,,,
