Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Balance Sheet,CWIP,364,,,,17876,,,,18189,,,,2472,11419,5141,6040,7535,3585,5103,1138,606,
Balance Sheet,Investments,5,,,,6,,,,0,,,,0,216,11527,3471,6378,7290,8239,1979,4,
Balance Sheet,Other Assets,36841,,,,33105,,,,26683,,,,38335,5321,8260,5425,5991,7944,38511,37964,35378,
Balance Sheet,Total Assets,194029,,,,207243,,,,184997,,,,197867,46557,60467,80126,96668,98511,229652,226918,203478,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,17387,,,,18869,,,,20826,,,,9291,8219,10418,10949,10476,5332,5348,7328,15640,
Cash Flows,Cash from Investing Activity,-5730,,,,-5414,,,,-1907,,,,-16248,-6565,-5726,-2389,-15556,-9303,-1640,-2698,1075,
Cash Flows,Cash from Financing Activity,-10554,,,,-14680,,,,-18980,,,,7047,-2466,8028,-9330,4506,3925,-2949,-5019,-16731,
Cash Flows,Net Cash Flow,1103,,,,-1224,,,,-61,,,,89,-811,12720,-770,-574,-46,758,-389,-17,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,23,,,,19,,,,19,,,,17,11,11,12,13,11,32,25,22,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,23,,,,19,,,,19,,,,17,11,11,12,13,11,32,25,22,
Ratios,Working Capital Days,-203,,,,-204,,,,-216,,,,-116,-82,-171,-117,-148,-91,-389,-667,-184,
Ratios,ROCE %,-5%,,,,-4%,,,,-4%,,,,-2%,12%,14%,11%,4%,-2%,-8%,-5%,-4%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.99%,74.99%,50.36%,50.36%,50.36%,50.36%,48.91%,38.17%,37.32%,37.32%,38.80%,,,,,,,,,25.57%
Shareholding Pattern (Quarterly),FIIs,,,3.53%,3.59%,2.28%,2.29%,2.46%,2.27%,1.97%,12.67%,12.69%,10.17%,10.10%,,,,,,,,,6.56%
Shareholding Pattern (Quarterly),DIIs,,,0.62%,1.21%,0.54%,0.73%,1.80%,3.05%,2.20%,7.44%,4.86%,4.28%,4.90%,,,,,,,,,3.41%
Shareholding Pattern (Quarterly),Government,,,0.06%,0.06%,33.18%,33.18%,33.18%,33.18%,32.23%,23.80%,23.18%,23.18%,22.63%,,,,,,,,,49.02%
Shareholding Pattern (Quarterly),Public,,,20.80%,20.14%,13.64%,13.44%,12.19%,11.14%,14.69%,17.89%,21.94%,25.05%,23.55%,,,,,,,,,15.44%
Shareholding Pattern (Quarterly),No. of Shareholders,,,2921871,2968308,3138338,3188356,3104410,3124128,3679061,4758354,5369114,5976507,6054755,,,,,,,,,6077186
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.99%,,,,50.36%,,,,48.91%,,,,38.80%,,,,42.41%,42.56%,71.33%,72.05%,72.05%,25.57%
Shareholding Pattern (Yearly),FIIs,3.57%,,,,2.28%,,,,1.97%,,,,10.10%,,,,26.97%,26.72%,13.13%,8.82%,4.60%,6.56%
Shareholding Pattern (Yearly),DIIs,1.71%,,,,0.54%,,,,2.20%,,,,4.90%,,,,6.83%,11.65%,4.47%,6.01%,1.07%,3.41%
Shareholding Pattern (Yearly),Government,0.00%,,,,33.18%,,,,32.23%,,,,22.63%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,49.02%
Shareholding Pattern (Yearly),Public,19.72%,,,,13.64%,,,,14.69%,,,,23.55%,,,,23.79%,19.07%,11.08%,13.12%,22.28%,15.44%
Shareholding Pattern (Yearly),No. of Shareholders,2685987,,,,3138338,,,,3679061,,,,6054755,,,,305072,269861,339200,768533,1591986,6077186
,,,,,,,,,,,,,,,,,,,,,,,
