Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Profit & Loss,Interest,35,,,,34,,,,41,,,,29,3,6,8,11,15,10,18,22,,
Profit & Loss,Depreciation,19,,,,22,,,,31,,,,24,7,19,17,19,21,4,5,8,,
Profit & Loss,Profit before tax,-38,,,,-5,,,,-4,,,,-37,20,15,6,5,-2,14,10,8,,
Profit & Loss,Tax %,-6%,,,,-138%,,,,21%,,,,-53%,32%,27%,-164%,-8%,-260%,27%,21%,37%,,
Profit & Loss,Net Profit,-35,,,,2,,,,-5,,,,-18,14,11,17,5,4,10,8,5,,
Profit & Loss,EPS in Rs,-11.78,,,,0.55,,,,-1.32,,,,-5.14,,,,,,3.52,2.72,1.71,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,31%,30%,20%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,,,,16,,,,17,,,,17,28,28,28,28,28,14,14,14,,
Balance Sheet,Reserves,94,,,,123,,,,132,,,,126,120,125,138,143,147,100,108,113,,
Balance Sheet,Borrowings,322,,,,354,,,,350,,,,106,97,82,88,98,125,158,171,322,,
Balance Sheet,Other Liabilities,18,,,,86,,,,78,,,,65,40,61,45,73,76,16,32,19,,
Balance Sheet,Total Liabilities,449,,,,580,,,,577,,,,314,285,295,298,342,375,288,325,468,,
Balance Sheet,Fixed Assets,361,,,,485,,,,479,,,,215,161,194,208,217,243,231,104,391,,
Balance Sheet,CWIP,3,,,,5,,,,9,,,,4,37,28,20,40,24,0,0,0,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,29,0,0,1,1,0,0,0,,
Balance Sheet,Other Assets,84,,,,90,,,,89,,,,95,58,73,70,85,108,57,221,77,,
Balance Sheet,Total Assets,449,,,,580,,,,577,,,,314,285,295,298,342,375,288,325,468,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,10,,,,76,,,,42,,,,50,-9,38,35,26,42,-2,21,-2,,
Cash Flows,Cash from Investing Activity,11,,,,16,,,,-14,,,,111,-29,-29,-27,-48,-34,3,-38,146,,
Cash Flows,Cash from Financing Activity,2,,,,-94,,,,-40,,,,-139,29,-13,-5,24,-10,20,-5,-141,,
Cash Flows,Net Cash Flow,23,,,,-2,,,,-13,,,,21,-9,-4,2,3,-2,21,-22,3,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,26,,,,14,,,,8,,,,3,20,16,13,18,14,42,26,55,,
Ratios,Inventory Days,,,,,,,,,,,,,,17,,,26,54,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,1685,,,411,443,,,,,
Ratios,Cash Conversion Cycle,26,,,,14,,,,8,,,,3,-1648,16,13,-367,-375,42,26,55,,
Ratios,Working Capital Days,41,,,,-95,,,,-35,,,,-36,56,36,40,-54,-20,385,70,169,,
Ratios,ROCE %,-1%,,,,1%,,,,8%,,,,5%,11%,8%,8%,6%,8%,,10%,8%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,67.00%,67.00%,67.00%,67.00%,67.00%,67.00%,69.60%,69.60%,69.60%,69.60%,69.60%,69.60%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.02%,0.05%,0.02%,0.00%,0.00%,0.00%,1.10%,1.35%,1.35%,1.43%,1.11%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.47%,0.00%,0.00%,0.03%,0.03%,0.03%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,33.00%,32.97%,32.95%,32.98%,33.00%,32.99%,29.94%,29.29%,29.06%,29.01%,28.93%,29.26%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,17210,17782,17907,17631,17718,16947,16049,16055,15829,15583,15538,15387,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,65.39%,,,,67.00%,,,,69.60%,,,,69.60%,,,,,,69.27%,70.23%,70.29%,69.27%,69.27%
Shareholding Pattern (Yearly),FIIs,0.05%,,,,0.02%,,,,1.10%,,,,1.11%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.03%,,,,,,0.00%,0.00%,0.00%,0.05%,0.14%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,,0.00%,0.00%,0.00%,0.00%,0.07%
Shareholding Pattern (Yearly),Public,34.56%,,,,32.98%,,,,29.29%,,,,29.26%,,,,,,30.73%,29.77%,29.71%,30.68%,30.52%
Shareholding Pattern (Yearly),No. of Shareholders,17713,,,,17631,,,,16055,,,,15387,,,,,,20891,19832,22578,22295,21868
,,,,,,,,,,,,,,,,,,,,,,,,
