Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Other Assets,133,145,149,112,122,147,149,135,131,156,170,159,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,353,406,382,370,365,373,397,388,370,380,393,370,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,27,24,-15,29,24,-5,-4,63,-13,25,25,36,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-122,-38,19,-33,6,5,-36,-18,1,5,-10,0,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,105,2,-9,-18,-16,-21,38,-57,18,-22,-28,-36,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,11,-13,-5,-22,13,-21,-2,-11,6,8,-13,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,6,15,8,21,19,23,14,15,9,14,16,23,,,,,,,,,,,,,,,,
Ratios,Inventory Days,66,103,127,73,99,139,109,152,137,236,235,224,,,,,,,,,,,,,,,,
Ratios,Days Payable,83,97,98,50,46,66,23,72,45,60,88,133,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-11,21,37,44,72,96,100,95,101,189,162,114,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,-11,-25,25,19,8,46,64,34,65,75,68,68,,,,,,,,,,,,,,,,
Ratios,ROCE %,12%,5%,4%,8%,8%,9%,8%,5%,2%,4%,10%,8%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,0.00%,0.78%,0.74%,0.69%,0.67%,0.65%,0.66%,0.66%,0.65%,0.62%,0.60%,0.56%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,2.21%,0.83%,0.83%,0.83%,0.83%,0.83%,0.83%,0.67%,0.66%,0.66%,0.66%,0.66%,,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,,,,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,24.24%,24.85%,24.89%,24.94%,24.96%,24.98%,24.97%,25.12%,25.14%,25.18%,25.20%,25.24%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,37020,42419,46599,46627,46011,63347,62935,70586,71762,71762,71723,71377,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,73.48%,73.48%,,,,73.53%,,,,73.53%,,,,73.53%,73.48%,73.48%,73.53%,73.53%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,0.00%,0.00%,,,,0.69%,,,,0.66%,,,,0.56%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,2.72%,2.72%,,,,0.83%,,,,0.67%,,,,0.66%,2.72%,2.72%,2.72%,2.15%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,0.01%,0.01%,,,,0.01%,,,,0.01%,,,,0.01%,0.01%,0.01%,0.01%,0.01%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,23.78%,23.79%,,,,24.94%,,,,25.12%,,,,25.24%,23.78%,23.78%,23.74%,24.31%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,24981,24082,,,,46627,,,,70586,,,,71377,23358,23506,22820,36095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
