Section,,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Mar 2018,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,May 2025,Mar 2017,Mar 2021,Mar 2022
Profit & Loss,Depreciation,,,,34,,,,38,33,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,2,,,,-56,6,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,37%,,,,-24%,12%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,1,,,,-42,6,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,0.46,,,,-17.87,2.39,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,23,,,,23,23,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,250,,,,208,248,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,434,,,,419,379,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,241,,,,193,268,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,949,,,,843,919,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,389,,,,350,363,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,0,,,,0,0,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,0,,,,0,0,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,560,,,,492,556,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,949,,,,843,919,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,51,,,,65,38,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-53,,,,5,-19,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,3,,,,-70,-19,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,0,,,,-1,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,140,,,,152,130,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,189,,,,234,146,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,167,,,,167,151,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,161,,,,219,125,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,160,,,,200,130,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,8%,,,,-0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,65.80%,65.80%,65.80%,65.80%,65.80%,65.80%,65.80%,65.80%,60.81%,60.81%,38.77%,30.56%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,0.25%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,2.10%,2.10%,2.10%,2.10%,2.10%,2.10%,2.10%,2.10%,0.00%,0.00%,0.07%,1.30%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,32.10%,32.10%,32.11%,32.11%,32.10%,32.08%,32.10%,32.09%,38.81%,38.94%,61.16%,68.15%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,9850,9822,9787,9634,10014,10566,11439,11303,10439,10181,10202,10008,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,65.80%,,,,65.80%,65.80%,,,65.80%,,,,65.80%,,,,38.77%,30.56%,65.80%,65.80%,65.80%
Shareholding Pattern (Yearly),FIIs,,,,0.00%,,,,0.00%,0.00%,,,0.00%,,,,0.00%,,,,0.00%,0.00%,14.35%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,2.11%,,,,2.11%,2.11%,,,2.10%,,,,2.10%,,,,0.07%,1.30%,2.10%,2.11%,2.11%
Shareholding Pattern (Yearly),Government,,,,0.00%,,,,0.00%,0.92%,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,32.10%,,,,32.09%,31.17%,,,32.11%,,,,32.10%,,,,61.16%,68.15%,17.75%,32.09%,32.10%
Shareholding Pattern (Yearly),No. of Shareholders,,,,10938,,,,10564,11437,,,9787,,,,11439,,,,10202,10008,10144,10395,9545
,,,,,,,,,,,,,,,,,,,,,,,,,
