Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201418m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Profit & Loss,OPM %,13%,,,,9%,,,,12%,,,,11%,6%,2%,5%,6%,11%,12%,11%,16%,
Profit & Loss,Other Income,174,,,,228,,,,525,,,,601,87,124,31,36,58,99,88,160,
Profit & Loss,Interest,15,,,,13,,,,42,,,,29,112,58,51,32,29,20,17,13,
Profit & Loss,Depreciation,132,,,,150,,,,224,,,,244,86,69,58,63,73,87,107,118,
Profit & Loss,Profit before tax,993,,,,835,,,,1390,,,,1492,275,70,82,208,509,715,625,1155,
Profit & Loss,Tax %,26%,,,,24%,,,,23%,,,,15%,10%,-8%,15%,37%,32%,33%,25%,25%,
Profit & Loss,Net Profit,736,,,,637,,,,1077,,,,1265,247,76,70,131,347,478,472,872,
Profit & Loss,EPS in Rs,55.82,,,,48.26,,,,97.44,,,,113.06,20.13,6.23,5.76,10.71,28.31,39.07,38.53,64.63,
Profit & Loss,Dividend Payout %,13%,,,,14%,,,,18%,,,,25%,9%,19%,21%,14%,7%,6%,6%,12%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,132,,,,132,,,,110,,,,112,,119,123,123,123,123,123,135,119
Balance Sheet,Reserves,7468,,,,8055,,,,9278,,,,10255,,1711,1344,1498,2093,2551,2995,4891,1746
Balance Sheet,Borrowings,52,,,,57,,,,448,,,,105,,484,368,265,51,281,48,61,438
Balance Sheet,Other Liabilities,1456,,,,1841,,,,2563,,,,2623,,1235,1134,1313,1706,1753,1849,1791,1332
Balance Sheet,Total Liabilities,9108,,,,10085,,,,12400,,,,13095,,3550,2968,3199,3973,4707,5014,6878,3636
Balance Sheet,Fixed Assets,1841,,,,1891,,,,2165,,,,2053,,1596,1539,1581,1588,1647,1702,1796,1654
Balance Sheet,CWIP,88,,,,114,,,,161,,,,153,,56,58,35,66,80,125,65,39
Balance Sheet,Investments,4836,,,,4767,,,,5019,,,,5605,,373,64,212,549,491,797,1938,372
Balance Sheet,Other Assets,2343,,,,3313,,,,5054,,,,5284,,1526,1307,1371,1770,2489,2390,3079,1572
Balance Sheet,Total Assets,9108,,,,10085,,,,12400,,,,13095,,3550,2968,3199,3973,4707,5014,6878,3636
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,32,,,,224,,,,789,,,,1003,,-10,212,304,460,-234,797,1129,343
Cash Flows,Cash from Investing Activity,-1856,,,,-62,,,,-759,,,,-194,,17,-44,-155,-374,-18,-421,-2195,-70
Cash Flows,Cash from Financing Activity,1810,,,,-71,,,,25,,,,-702,,1,-191,-113,-1,191,-300,1003,-230
Cash Flows,Net Cash Flow,-14,,,,91,,,,54,,,,107,,8,-23,36,85,-61,76,-63,43
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,40,,,,51,,,,53,,,,47,,37,40,40,43,54,46,34,21
Ratios,Inventory Days,62,,,,73,,,,90,,,,70,,64,70,58,61,73,84,56,49
Ratios,Days Payable,66,,,,75,,,,87,,,,82,,92,115,117,132,107,123,94,68
Ratios,Cash Conversion Cycle,36,,,,49,,,,57,,,,35,,9,-5,-19,-29,21,7,-3,2
Ratios,Working Capital Days,31,,,,40,,,,44,,,,26,,10,-15,-25,-26,28,11,-4,2
Ratios,ROCE %,16%,,,,11%,,,,14%,,,,14%,,7%,8%,13%,26%,28%,21%,28%,17%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.90%,72.90%,72.90%,72.90%,67.65%,67.65%,67.65%,67.65%,67.65%,68.04%,68.04%,68.04%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,4.24%,4.73%,3.95%,4.66%,5.61%,6.69%,5.01%,5.85%,6.44%,6.32%,5.89%,5.21%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,6.20%,7.65%,8.49%,8.10%,9.86%,9.34%,10.54%,9.75%,10.37%,10.21%,10.20%,11.34%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,14.86%,13.01%,12.99%,12.68%,14.94%,14.41%,14.90%,14.90%,13.82%,13.73%,14.17%,13.72%,,,,,,,,,
Shareholding Pattern (Quarterly),Others,,1.80%,1.70%,1.67%,1.65%,1.95%,1.92%,1.90%,1.86%,1.73%,1.70%,1.68%,1.68%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,164293,157471,145418,140553,136351,132792,140368,140705,133923,133076,140792,135098,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,28.10%,,,,72.90%,,,,67.65%,,,,68.04%,,,,42.98%,40.07%,40.08%,40.25%,36.59%,
Shareholding Pattern (Yearly),FIIs,3.57%,,,,4.66%,,,,5.85%,,,,5.21%,,,,16.47%,24.37%,24.60%,19.28%,25.95%,
Shareholding Pattern (Yearly),DIIs,0.39%,,,,8.10%,,,,9.75%,,,,11.34%,,,,3.82%,5.39%,3.31%,9.98%,5.60%,
Shareholding Pattern (Yearly),Public,66.13%,,,,12.68%,,,,14.90%,,,,13.72%,,,,36.73%,30.17%,32.01%,27.99%,29.71%,
Shareholding Pattern (Yearly),Others,1.80%,,,,1.65%,,,,1.86%,,,,1.68%,,,,0.00%,0.00%,0.00%,2.51%,2.15%,
Shareholding Pattern (Yearly),No. of Shareholders,164063,,,,140553,,,,140705,,,,135098,,,,89539,94743,114416,112209,138576,
,,,,,,,,,,,,,,,,,,,,,,,
