Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,5.61,,,,2.82,,,,1.59,,,,17.12,170.37,51.51,40.52,25.41,14.69,5.59,4.55,4.14,
Profit & Loss,Expenses,6.72,,,,209.15,,,,2.88,,,,15.05,177.38,38.79,35.11,24.39,27.03,6.61,5.08,5.85,
Profit & Loss,Operating Profit,-1.11,,,,-206.33,,,,-1.29,,,,2.07,-7.01,12.72,5.41,1.02,-12.34,-1.02,-0.53,-1.71,
Profit & Loss,OPM %,-19.79%,,,,-7316.67%,,,,-81.13%,,,,12.09%,-4.11%,24.69%,13.35%,4.01%,-84.00%,-18.25%,-11.65%,-41.30%,
Profit & Loss,Other Income,1.31,,,,238.18,,,,0.20,,,,4.69,11.33,-2.40,3.92,5.55,1.39,-2.62,0.79,1.04,
Profit & Loss,Interest,13.59,,,,0.14,,,,0.04,,,,0.04,24.48,27.23,24.91,19.68,19.50,13.03,13.48,13.49,
Profit & Loss,Depreciation,2.08,,,,0.21,,,,0.21,,,,0.32,14.89,19.74,19.55,18.32,16.50,3.94,3.12,2.71,
Profit & Loss,Profit before tax,-15.47,,,,31.50,,,,-1.34,,,,6.40,-35.05,-36.65,-35.13,-31.43,-46.95,-20.61,-16.34,-16.87,
Profit & Loss,Tax %,16.94%,,,,0.03%,,,,-0.75%,,,,0.00%,7.67%,3.19%,0.37%,0.29%,-36.68%,-103.74%,8.14%,-2.55%,
Profit & Loss,Net Profit,-18.09,,,,31.49,,,,-1.34,,,,6.41,-37.74,-37.81,-35.26,-31.52,-29.73,0.77,-17.67,-16.43,
Profit & Loss,EPS in Rs,-8.99,,,,15.65,,,,-0.67,,,,3.19,-18.75,-18.79,-17.52,-15.66,-14.77,0.38,-8.78,-8.16,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,20.12,,,,20.12,,,,20.12,,,,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,
Balance Sheet,Reserves,-7.75,,,,32.13,,,,26.91,,,,66.71,151.22,92.60,58.30,32.94,3.21,17.58,-4.25,8.58,
Balance Sheet,Borrowings,209.73,,,,0.03,,,,0.00,,,,18.93,192.87,237.49,277.80,295.01,267.14,230.15,235.31,206.82,
Balance Sheet,Other Liabilities,52.60,,,,26.75,,,,38.37,,,,17.73,234.00,234.92,275.57,295.21,200.70,84.79,103.78,49.38,
Balance Sheet,Total Liabilities,274.70,,,,79.03,,,,85.40,,,,123.49,598.21,585.13,631.79,643.28,491.17,352.64,354.96,284.90,
Balance Sheet,Fixed Assets,5.25,,,,1.93,,,,1.72,,,,1.99,230.87,236.52,217.71,199.71,181.79,26.06,22.95,7.30,
Balance Sheet,CWIP,0.54,,,,0.00,,,,0.00,,,,0.03,16.37,0.53,0.57,0.57,0.54,0.54,0.54,0.54,
Balance Sheet,Investments,0.00,,,,20.81,,,,21.44,,,,21.39,6.08,6.08,6.08,6.08,6.08,0.00,0.00,0.00,
Balance Sheet,Other Assets,268.91,,,,56.29,,,,62.24,,,,100.08,344.89,342.00,407.43,436.92,302.76,326.04,331.47,277.06,
Balance Sheet,Total Assets,274.70,,,,79.03,,,,85.40,,,,123.49,598.21,585.13,631.79,643.28,491.17,352.64,354.96,284.90,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,24.29,,,,-18.65,,,,-11.34,,,,0.65,104.27,-1.84,-27.50,16.83,15.22,-26.06,30.05,-10.77,
Cash Flows,Cash from Investing Activity,-6.00,,,,42.68,,,,-5.04,,,,-21.16,-1.74,-10.86,3.04,0.32,1.57,0.62,-21.33,18.71,
Cash Flows,Cash from Financing Activity,-18.43,,,,-24.08,,,,17.61,,,,33.41,-101.11,14.39,22.88,-13.25,-15.75,24.31,-8.63,-11.43,
Cash Flows,Net Cash Flow,-0.14,,,,-0.06,,,,1.22,,,,12.90,1.42,1.69,-1.58,3.90,1.04,-1.13,0.09,-3.49,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,3244.01,,,,218.74,,,,1042.20,,,,166.51,154.66,558.31,949.52,1343.07,2627.30,3468.48,4292.56,3432.23,
Ratios,Inventory Days,7074.63,,,,358.48,,,,564.43,,,,133.04,248.33,4106.01,2509.13,5760.72,13846.04,13885.13,19046.83,9301.87,
Ratios,Days Payable,1837.25,,,,2292.11,,,,1983.04,,,,263.94,393.06,5907.44,4636.67,9806.38,14524.42,6136.92,8482.39,2109.60,
Ratios,Cash Conversion Cycle,8481.39,,,,-1714.89,,,,-376.41,,,,35.60,9.92,-1243.12,-1178.02,-2702.59,1948.92,11216.69,14857.00,10624.50,
Ratios,Working Capital Days,8428.18,,,,-36.24,,,,-2658.30,,,,320.44,106.56,294.00,705.50,713.19,2469.03,11021.82,10623.51,12706.23,
Ratios,ROCE %,-0.82%,,,,24.98%,,,,-2.11%,,,,8.43%,-2.69%,-0.42%,-2.89%,-4.17%,-8.59%,-1.46%,-1.10%,-1.39%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,15.68%,15.14%,15.14%,15.14%,15.14%,15.14%,15.14%,15.14%,15.14%,15.14%,15.14%,,,,,,,,,15.41%
Shareholding Pattern (Quarterly),FIIs,,,13.98%,13.99%,13.98%,13.98%,13.98%,13.01%,13.01%,13.01%,13.01%,13.01%,13.01%,,,,,,,,,7.61%
Shareholding Pattern (Quarterly),DIIs,,,9.38%,6.49%,4.91%,4.91%,4.91%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,,,,,,,,,0.01%
Shareholding Pattern (Quarterly),Public,,,60.95%,64.38%,65.98%,65.98%,65.98%,71.84%,71.84%,71.83%,71.84%,71.84%,71.84%,,,,,,,,,76.97%
Shareholding Pattern (Quarterly),No. of Shareholders,,,8607,9637,10506,10454,11922,13584,14535,14399,14112,14194,14836,,,,,,,,,14982
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,16.13%,,,,15.14%,,,,15.14%,,,,15.14%,,,,15.14%,15.14%,15.14%,15.14%,15.14%,15.41%
Shareholding Pattern (Yearly),FIIs,9.57%,,,,13.98%,,,,13.01%,,,,13.01%,,,,25.25%,25.69%,14.54%,14.54%,14.54%,7.61%
Shareholding Pattern (Yearly),DIIs,13.79%,,,,4.91%,,,,0.02%,,,,0.02%,,,,17.30%,16.67%,13.79%,13.79%,13.79%,0.01%
Shareholding Pattern (Yearly),Public,60.50%,,,,65.98%,,,,71.84%,,,,71.84%,,,,42.31%,42.51%,56.53%,56.53%,56.53%,76.97%
Shareholding Pattern (Yearly),No. of Shareholders,8620,,,,10506,,,,14535,,,,14836,,,,5129,4995,4900,4896,4867,14982
,,,,,,,,,,,,,,,,,,,,,,,
