Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Shareholding Pattern (Quarterly),DIIs,,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.08%,0.08%,0.08%,0.00%,,
Shareholding Pattern (Quarterly),Public,,37.48%,41.06%,40.89%,40.91%,39.31%,39.17%,39.31%,39.11%,39.44%,40.10%,40.20%,40.43%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,1763,3023,8783,12498,23623,36057,43572,46302,48871,55284,58588,60596,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.45%,,,,58.94%,,,,58.94%,,,,58.94%,,68.01%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.16%,,,,1.87%,,,,0.63%,,0.00%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.00%,,,,0.08%,,,,0.00%,,0.00%
Shareholding Pattern (Yearly),Public,37.53%,,,,40.91%,,,,39.11%,,,,40.43%,,31.98%
Shareholding Pattern (Yearly),No. of Shareholders,1778,,,,12498,,,,46302,,,,60596,,120
,,,,,,,,,,,,,,,,
