Section,,Jun 2006,Jun 2018,Sep 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Ratios,Cash Conversion Cycle,,,,155,,,,19,-362,-163,377,264,223,34,-46,-102,37,219,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,-6842,,,,-38,37,51,13,-425,-982,-1030,-130,-156,-159,-1676,,,,,,,,,,,,,,
Ratios,ROCE %,,,,-2%,,,,8%,6%,2%,2%,7%,-0%,-0%,-2%,2%,2%,0%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,49.57%,49.57%,49.57%,49.58%,49.58%,49.58%,49.58%,47.03%,45.36%,41.99%,39.86%,39.07%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.05%,0.01%,0.03%,0.00%,0.00%,0.23%,0.09%,0.16%,0.14%,0.13%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,2.17%,2.17%,1.84%,1.55%,1.55%,1.55%,1.55%,1.55%,1.55%,1.55%,1.56%,1.56%,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,48.26%,48.27%,48.53%,48.87%,48.84%,48.86%,48.87%,51.19%,53.00%,56.32%,58.44%,59.22%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,85289,85112,85950,85442,83968,86260,108442,135572,136416,142621,155233,155274,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,47.27%,,,,47.27%,,,,,,,,,63.88%,47.27%,,,,49.58%,,,,47.03%,,,,39.07%,47.27%,49.57%
Shareholding Pattern (Yearly),FIIs,,,,0.22%,,,,0.05%,,,,,,,,,0.01%,0.20%,,,,0.01%,,,,0.23%,,,,0.13%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,2.54%,,,,2.27%,,,,,,,,,5.24%,3.68%,,,,1.55%,,,,1.55%,,,,1.56%,2.27%,2.17%
Shareholding Pattern (Yearly),Public,,,,49.97%,,,,50.41%,,,,,,,,,30.86%,48.85%,,,,48.87%,,,,51.19%,,,,59.22%,50.46%,48.26%
Shareholding Pattern (Yearly),No. of Shareholders,,,,84220,,,,81951,,,,,,,,,95822,85982,,,,85442,,,,135572,,,,155274,80755,85616
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
