Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash Flows,Cash from Investing Activity,-117,-100,-17,-7,-9,-41,-119,-42,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,119,66,-16,16,-59,25,30,-47,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-7,-1,-1,0,-0,8,-4,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48,49,42,52,43,42,51,54,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,157,239,159,131,148,137,100,101,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,65,134,106,59,75,50,33,40,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,140,154,95,124,115,128,118,114,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,179,178,123,153,117,118,84,79,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,3%,5%,1%,8%,18%,14%,14%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,60.94%,60.94%,60.94%,60.94%,60.94%,60.94%,60.93%,60.93%,60.93%,60.93%,60.93%,60.93%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.11%,0.21%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,0.36%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,38.70%,38.69%,38.69%,38.69%,38.70%,38.69%,38.70%,38.70%,38.72%,38.61%,38.61%,38.50%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,8661,8741,8973,9136,8859,8778,9204,8791,8749,10520,10262,10099,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,60.94%,,,,60.93%,,,,60.93%,55.94%,55.94%,55.94%,55.94%,55.94%,60.94%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,0.00%,,,,0.00%,,,,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,0.35%,,,,0.35%,,,,0.35%,0.68%,0.52%,0.41%,0.40%,0.40%,0.36%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,38.69%,,,,38.70%,,,,38.50%,43.37%,43.54%,43.65%,43.65%,43.65%,38.70%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,9136,,,,8791,,,,10099,8746,8516,8100,7730,7434,8671
,,,,,,,,,,,,,,,,,,,,,,,,,,,
