Section,,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Balance Sheet,Fixed Assets,,,,376,,,,423,103,98,98,122,126,155,151,187,220,355,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,43,,,,45,7,14,23,6,9,3,31,16,35,18,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,16,,,,0,4,6,10,10,10,10,10,10,12,13,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,328,,,,315,139,121,126,144,195,230,220,203,256,262,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,763,,,,783,254,238,258,282,341,398,412,416,522,649,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,144,,,,188,22,43,24,36,22,47,61,101,63,102,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-67,,,,-41,-22,-10,-17,-19,-27,-27,-31,-35,-65,-132,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-60,,,,-135,3,-35,-9,-13,5,-13,-36,-68,-2,32,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,17,,,,12,3,-2,-2,4,0,7,-6,-2,-3,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,66,,,,60,70,66,73,77,76,73,76,68,71,73,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,88,,,,67,261,180,166,124,132,126,105,92,165,99,,,,,,,,,,,,,,
Ratios,Days Payable,,,,104,,,,57,1,0,70,63,69,75,58,63,120,78,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,51,,,,71,329,246,170,137,139,124,123,96,116,94,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,56,,,,54,182,142,101,84,94,96,93,87,84,76,,,,,,,,,,,,,,
Ratios,ROCE %,,,,28%,,,,41%,11%,15%,12%,17%,20%,28%,25%,25%,24%,25%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,72.00%,71.99%,71.99%,71.98%,71.96%,71.96%,71.95%,71.95%,71.97%,71.97%,72.01%,72.04%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,2.28%,2.32%,2.69%,2.79%,2.86%,2.92%,2.94%,3.04%,3.10%,3.20%,3.23%,3.23%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,1.26%,1.11%,1.12%,1.15%,1.16%,1.13%,1.07%,1.11%,1.08%,1.53%,1.77%,2.18%,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,24.46%,24.57%,24.20%,24.08%,24.01%,24.00%,24.05%,23.91%,23.85%,23.31%,23.00%,22.54%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,215327,216512,208334,203677,201859,199781,197171,192885,187077,179008,174927,168960,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,74.19%,,,,74.19%,,,,,,,,,74.19%,74.19%,,,,71.98%,,,,71.95%,,,,72.04%,74.13%,72.03%
Shareholding Pattern (Yearly),FIIs,,,,0.59%,,,,0.67%,,,,,,,,,1.08%,1.55%,,,,2.79%,,,,3.04%,,,,3.23%,0.90%,2.22%
Shareholding Pattern (Yearly),DIIs,,,,0.11%,,,,1.73%,,,,,,,,,0.04%,0.08%,,,,1.15%,,,,1.11%,,,,2.18%,1.53%,1.05%
Shareholding Pattern (Yearly),Government,,,,0.00%,,,,0.00%,,,,,,,,,0.00%,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.46%,0.00%
Shareholding Pattern (Yearly),Public,,,,25.10%,,,,23.40%,,,,,,,,,24.69%,24.18%,,,,24.08%,,,,23.91%,,,,22.54%,22.98%,24.70%
Shareholding Pattern (Yearly),No. of Shareholders,,,,8560,,,,12546,,,,,,,,,8931,8035,,,,203677,,,,192885,,,,168960,59813,213305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
