Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2013,Sep 2014,Mar 201618m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,3.34%,7.26%,6.11%,4.42%,4.34%,4.44%,4.51%,4.54%,4.80%,4.64%,5.41%,4.83%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,3.86%,0.05%,0.05%,0.05%,0.05%,0.09%,0.08%,0.05%,0.05%,0.05%,0.14%,0.13%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,42.47%,42.36%,43.52%,45.21%,45.28%,45.13%,45.07%,45.08%,44.82%,44.99%,44.13%,44.72%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,60357,60271,62613,65567,67242,70534,69077,72703,72952,66823,67645,69809,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.09%,,,,50.09%,,,,50.09%,,,,50.09%,,,,50.10%,50.09%,50.09%,50.09%,50.09%,
Shareholding Pattern (Yearly),FIIs,3.36%,,,,4.42%,,,,4.54%,,,,4.83%,,,,0.00%,0.06%,1.55%,1.55%,1.75%,
Shareholding Pattern (Yearly),DIIs,3.85%,,,,0.05%,,,,0.05%,,,,0.13%,,,,4.17%,4.47%,4.40%,4.27%,3.86%,
Shareholding Pattern (Yearly),Government,0.25%,,,,0.25%,,,,0.25%,,,,0.25%,,,,0.36%,0.31%,0.31%,0.25%,0.25%,
Shareholding Pattern (Yearly),Public,42.45%,,,,45.21%,,,,45.08%,,,,44.72%,,,,45.37%,45.07%,43.64%,43.84%,44.06%,
Shareholding Pattern (Yearly),No. of Shareholders,60256,,,,65567,,,,72703,,,,69809,,,,25073,22087,21128,23238,30690,
,,,,,,,,,,,,,,,,,,,,,,,
