Section,,Mar 2017,Mar 2022,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Jun 2019
Shareholding Pattern (Quarterly),DIIs,,,,1.31%,2.00%,2.00%,2.00%,1.58%,1.58%,1.58%,1.60%,1.60%,1.47%,,,,,,,,0.62%,1.31%
Shareholding Pattern (Quarterly),Public,,,,43.86%,3.01%,3.01%,3.02%,10.60%,10.62%,10.62%,10.60%,10.59%,18.96%,,,,,,,,44.55%,43.86%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,14814,12022,12022,11440,10972,11254,13613,13016,13283,13604,,,,,,,,15026,14814
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,54.83%,,,,94.98%,,,,74.99%,,,,74.99%,,,,,,,54.83%,54.83%,54.83%
Shareholding Pattern (Yearly),FIIs,0.15%,,,,0.00%,,,,12.82%,,,,4.57%,,,,,,,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.21%,,,,2.00%,,,,1.58%,,,,1.47%,,,,,,,0.22%,0.62%,1.31%
Shareholding Pattern (Yearly),Public,44.81%,,,,3.01%,,,,10.62%,,,,18.96%,,,,,,,44.95%,44.55%,43.86%
Shareholding Pattern (Yearly),No. of Shareholders,13271,,,,12022,,,,11254,,,,13604,,,,,,,14697,15026,14814
,,,,,,,,,,,,,,,,,,,,,,,
