Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Investments,1,1,1,1,14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,375,437,523,435,494,679,604,549,504,526,465,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,597,656,727,652,730,893,777,723,670,666,589,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,100,45,5,49,179,32,27,25,56,43,20,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-24,-19,-11,-37,-38,-1,-5,-14,-3,8,21,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-60,-46,10,-22,-117,-12,-49,-10,-58,-58,-41,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,16,-20,4,-10,24,20,-27,1,-4,-7,-0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,34,26,32,28,22,32,29,38,36,44,64,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,73,74,93,70,79,86,85,87,82,131,152,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,50,42,50,33,73,91,85,66,74,116,129,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,57,58,76,65,28,27,29,59,44,59,87,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,40,42,57,65,30,21,29,61,47,60,74,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,19%,16%,9%,10%,14%,-0%,-2%,-6%,6%,-3%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,53.36%,53.36%,53.36%,53.36%,53.36%,53.36%,53.36%,53.37%,53.37%,53.37%,53.37%,53.37%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,1.43%,1.13%,1.02%,1.06%,1.06%,0.99%,0.99%,0.01%,0.00%,0.00%,0.06%,0.20%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,0.01%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,45.20%,45.52%,45.62%,45.58%,45.58%,45.66%,45.64%,46.62%,46.63%,46.64%,46.57%,46.42%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,72338,72444,74308,72919,71956,66620,66193,75713,77210,75820,77238,77853,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,53.36%,,,,53.37%,,,,53.37%,57.71%,52.91%,52.91%,53.36%,53.36%,53.36%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,,,1.06%,,,,0.01%,,,,0.20%,1.62%,1.53%,1.48%,1.40%,1.40%,1.36%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,0.00%,,,,0.00%,,,,0.01%,0.47%,0.20%,0.08%,0.01%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,45.58%,,,,46.62%,,,,46.42%,40.21%,45.37%,45.53%,45.23%,45.24%,45.28%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,72919,,,,75713,,,,77853,62419,61772,57323,55341,60211,71463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
