Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Profit & Loss,Sales,1742,,,,2354,,,,2239,,,,3406,876,1195,1400,1555,1277,1267,
Profit & Loss,Expenses,1667,,,,2171,,,,2092,,,,3124,797,1106,1273,1438,1230,1236,
Profit & Loss,Operating Profit,75,,,,184,,,,147,,,,282,79,89,127,117,47,31,
Profit & Loss,OPM %,4%,,,,8%,,,,7%,,,,8%,9%,7%,9%,8%,4%,2%,
Profit & Loss,Other Income,52,,,,6,,,,-101,,,,3,-2,11,9,10,12,7,
Profit & Loss,Interest,21,,,,35,,,,57,,,,75,19,30,34,35,38,28,
Profit & Loss,Depreciation,81,,,,97,,,,91,,,,132,41,57,61,66,66,66,
Profit & Loss,Profit before tax,26,,,,58,,,,-103,,,,78,17,13,40,26,-45,-55,
Profit & Loss,Tax %,58%,,,,49%,,,,-103%,,,,52%,27%,66%,40%,91%,2%,10%,
Profit & Loss,Net Profit,11,,,,30,,,,3,,,,38,13,4,24,2,-46,-61,
Profit & Loss,EPS in Rs,6.55,,,,18.46,,,,1.86,,,,23.15,12.05,4.11,20.87,2.02,-36.26,-41.98,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,35%,37%,146%,58%,420%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,,,,16,,,,16,,,,16,11,11,12,12,13,15,
Balance Sheet,Reserves,212,,,,225,,,,240,,,,655,140,147,218,218,171,167,
Balance Sheet,Borrowings,585,,,,668,,,,728,,,,813,338,362,357,417,470,470,
Balance Sheet,Other Liabilities,417,,,,439,,,,385,,,,785,212,267,315,290,268,380,
Balance Sheet,Total Liabilities,1230,,,,1349,,,,1369,,,,2269,701,787,902,937,922,1032,
Balance Sheet,Fixed Assets,477,,,,490,,,,453,,,,693,361,365,386,386,382,415,
Balance Sheet,CWIP,18,,,,29,,,,27,,,,73,7,28,16,16,50,31,
Balance Sheet,Investments,1,,,,1,,,,2,,,,7,0,0,0,1,1,1,
Balance Sheet,Other Assets,733,,,,829,,,,887,,,,1496,333,394,499,535,489,586,
Balance Sheet,Total Assets,1230,,,,1349,,,,1369,,,,2269,701,787,902,937,922,1032,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-6,,,,88,,,,120,,,,316,31,88,65,45,69,46,
Cash Flows,Cash from Investing Activity,-124,,,,-106,,,,-110,,,,-147,-74,-77,-78,-60,-103,-80,
Cash Flows,Cash from Financing Activity,134,,,,35,,,,-14,,,,-176,43,-7,14,26,34,21,
Cash Flows,Net Cash Flow,5,,,,17,,,,-4,,,,-7,-0,4,1,11,0,-13,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,74,,,,65,,,,55,,,,76,67,57,64,58,55,78,
Ratios,Inventory Days,76,,,,67,,,,67,,,,81,75,76,73,71,80,81,
Ratios,Days Payable,115,,,,91,,,,80,,,,93,117,118,123,89,97,150,
Ratios,Cash Conversion Cycle,35,,,,41,,,,43,,,,64,25,15,14,39,38,9,
Ratios,Working Capital Days,52,,,,50,,,,49,,,,53,24,22,33,36,20,36,
Ratios,ROCE %,-0%,,,,12%,,,,6%,,,,13%,,9%,13%,10%,-1%,-4%,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,72.65%,72.65%,72.65%,72.65%,72.65%,72.65%,72.65%,72.65%,72.65%,72.65%,72.65%,,,,,,,70.45%
Shareholding Pattern (Quarterly),FIIs,,,0.03%,0.00%,0.12%,0.00%,0.01%,0.00%,0.01%,0.01%,0.21%,0.08%,0.09%,,,,,,,0.01%
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.11%,0.50%,0.63%,0.47%,0.00%,0.13%,0.13%,0.12%,,,,,,,1.04%
Shareholding Pattern (Quarterly),Public,,,27.33%,27.35%,27.24%,27.25%,26.86%,26.73%,26.88%,27.35%,27.01%,27.15%,27.15%,,,,,,,28.50%
Shareholding Pattern (Quarterly),No. of Shareholders,,,16689,17010,15830,14287,14594,13331,13432,12830,13345,13547,13572,,,,,,,34500
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.65%,,,,72.65%,,,,72.65%,,,,72.65%,,57.80%,61.67%,62.84%,64.56%,69.45%,70.45%
Shareholding Pattern (Yearly),FIIs,0.03%,,,,0.12%,,,,0.01%,,,,0.09%,,0.00%,0.04%,0.00%,0.00%,0.00%,0.01%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.47%,,,,0.12%,,0.11%,0.10%,0.09%,0.00%,0.00%,1.04%
Shareholding Pattern (Yearly),Public,27.32%,,,,27.24%,,,,26.88%,,,,27.15%,,42.09%,38.19%,37.07%,35.44%,30.55%,28.50%
Shareholding Pattern (Yearly),No. of Shareholders,18445,,,,15830,,,,13432,,,,13572,,7724,8971,9588,11436,13746,34500
,,,,,,,,,,,,,,,,,,,,,
