Section,,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,Tax %,,,35%,,,,35%,,34%,,,,25%,9%,,,,,,,,,,,,
Profit & Loss,Net Profit,,,10,,,,16,,43,,,,34,12,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,3.34,,,,5.27,,10.88,,,,7.41,3.87,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,9%,,,,9%,0%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,5,,,,5,,39,,,,44,5,,,,,,,,,,,,
Balance Sheet,Reserves,,,24,,,,32,,535,,,,749,19,,,,,,,,,,,,
Balance Sheet,Borrowings,,,34,,,,20,,69,,,,92,45,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,43,,,,64,,357,,,,345,38,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,106,,,,121,,1000,,,,1229,107,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,45,,,,49,,497,,,,555,37,,,,,,,,,,,,
Balance Sheet,CWIP,,,0,,,,0,,8,,,,37,0,,,,,,,,,,,,
Balance Sheet,Investments,,,0,,,,0,,52,,,,65,0,,,,,,,,,,,,
Balance Sheet,Other Assets,,,60,,,,71,,443,,,,572,69,,,,,,,,,,,,
Balance Sheet,Total Assets,,,106,,,,121,,1000,,,,1229,107,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,22,,,,16,,125,,,,29,7,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-12,,,,-9,,-214,,,,-151,-40,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,-11,,,,-8,,-64,,,,205,36,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,-1,,,,-1,,-153,,,,83,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,46,,,,47,,29,,,,29,72,,,,,,,,,,,,
Ratios,Inventory Days,,,31,,,,47,,102,,,,94,125,,,,,,,,,,,,
Ratios,Days Payable,,,20,,,,39,,85,,,,77,46,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,57,,,,54,,46,,,,46,151,,,,,,,,,,,,
Ratios,Working Capital Days,,,44,,,,51,,19,,,,36,129,,,,,,,,,,,,
Ratios,ROCE %,,,22%,,,,31%,,,,,,7%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,50.77%,45.90%,45.90%,46.49%,46.84%,,52.03%,52.03%,52.03%,52.03%,50.80%,50.80%,50.80%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,4.24%,4.14%,4.47%,4.03%,3.47%,,1.01%,2.21%,2.38%,2.71%,2.56%,2.67%,3.23%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,14.68%,17.19%,16.59%,15.26%,14.08%,,11.92%,11.76%,12.17%,12.65%,13.09%,14.87%,14.70%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,29.87%,32.37%,32.62%,33.83%,35.29%,,34.41%,33.35%,32.78%,32.07%,33.01%,31.11%,30.74%,,,,,
Shareholding Pattern (Quarterly),Others,,,,,,,,,0.43%,0.41%,0.41%,0.39%,0.32%,,0.63%,0.63%,0.63%,0.53%,0.53%,0.53%,0.53%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,40999,40786,43309,44497,44552,,40106,40605,39776,37581,35245,38472,41443,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,35.19%,,50.77%,,,,46.84%,,,,,52.03%,,,,37.16%,42.14%,47.11%,52.03%,52.03%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.00%,,4.24%,,,,3.47%,,,,,2.71%,,,,5.26%,7.74%,4.50%,3.19%,1.04%
Shareholding Pattern (Yearly),DIIs,,,,,,,4.20%,,14.68%,,,,14.08%,,,,,12.65%,,,,8.63%,12.78%,10.80%,8.07%,11.32%
Shareholding Pattern (Yearly),Public,,,,,,,60.61%,,29.87%,,,,35.29%,,,,,32.07%,,,,48.95%,37.34%,37.59%,35.94%,34.97%
Shareholding Pattern (Yearly),Others,,,,,,,0.00%,,0.43%,,,,0.32%,,,,,0.53%,,,,0.00%,0.00%,0.00%,0.76%,0.63%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,3203,,40999,,,,44552,,,,,37581,,,,6031,5889,5815,10686,42988
,,,,,,,,,,,,,,,,,,,,,,,,,,,
