Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 20139m,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2013,Mar 2015
Profit & Loss,EPS in Rs,16.30,,,,15.14,,,,18.71,,,,3.08,9.40,26.05,7.17,9.61,21.37,17.57,-30.15,3.92,,
Profit & Loss,Dividend Payout %,25%,,,,53%,,,,53%,,,,325%,0%,0%,0%,0%,0%,0%,0%,179%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,148,,,,148,,,,149,,,,149,,,113,127,145,146,148,148,19,26
Balance Sheet,Reserves,2290,,,,2421,,,,2650,,,,936,,,243,1178,2315,2580,2128,2195,88,226
Balance Sheet,Borrowings,915,,,,1011,,,,838,,,,113,,,393,779,1166,831,1473,791,141,224
Balance Sheet,Other Liabilities,2093,,,,2539,,,,2618,,,,1614,,,500,780,1271,1455,1570,1586,149,244
Balance Sheet,Total Liabilities,5445,,,,6119,,,,6255,,,,2812,,,1250,2864,4898,5012,5318,4720,398,719
Balance Sheet,Fixed Assets,1657,,,,1796,,,,1695,,,,341,,,252,1172,1632,1656,1487,1505,85,129
Balance Sheet,CWIP,15,,,,18,,,,33,,,,0,,,2,8,2,15,5,31,0,0
Balance Sheet,Investments,102,,,,50,,,,93,,,,0,,,4,78,286,128,106,54,0,0
Balance Sheet,Other Assets,3671,,,,4255,,,,4434,,,,2471,,,992,1607,2978,3212,3721,3131,313,590
Balance Sheet,Total Assets,5445,,,,6119,,,,6255,,,,2812,,,1250,2864,4898,5012,5318,4720,398,719
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,554,,,,466,,,,529,,,,380,,,-50,68,109,202,361,715,15,38
Cash Flows,Cash from Investing Activity,-188,,,,4,,,,50,,,,2,,,-10,-574,-794,182,-170,-105,-66,-69
Cash Flows,Cash from Financing Activity,-441,,,,-443,,,,-496,,,,-318,,,86,707,948,-445,13,-834,64,80
Cash Flows,Net Cash Flow,-75,,,,27,,,,83,,,,65,,,27,201,263,-61,204,-223,13,49
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,62,,,,57,,,,53,,,,21,,,43,43,54,39,33,61,45,39
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,62,,,,57,,,,53,,,,21,,,43,43,54,39,33,61,45,39
Ratios,Working Capital Days,21,,,,17,,,,16,,,,6,,,28,28,28,24,27,30,26,30
Ratios,ROCE %,13%,,,,9%,,,,12%,,,,10%,,,24%,16%,12%,11%,12%,8%,21%,35%
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,51.84%,51.81%,51.90%,56.75%,56.69%,56.66%,56.65%,56.64%,56.64%,56.60%,56.56%,56.99%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,22.00%,21.93%,21.78%,17.92%,17.04%,16.93%,16.30%,15.30%,15.93%,15.81%,15.24%,14.82%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,10.65%,9.36%,8.04%,6.56%,7.33%,10.18%,10.66%,10.78%,10.95%,10.96%,10.45%,9.77%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,15.52%,16.91%,18.29%,18.77%,18.94%,16.22%,16.40%,17.30%,16.48%,16.62%,17.73%,18.41%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,68458,70955,78916,81233,81874,85067,84747,88925,83699,93204,107680,124073,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,51.87%,,,,56.75%,,,,56.64%,,,,56.99%,,,,88.95%,71.67%,71.43%,54.87%,55.24%,,
Shareholding Pattern (Yearly),FIIs,21.45%,,,,17.92%,,,,15.30%,,,,14.82%,,,,3.75%,9.01%,13.13%,14.61%,17.32%,,
Shareholding Pattern (Yearly),DIIs,11.67%,,,,6.56%,,,,10.78%,,,,9.77%,,,,2.20%,6.05%,7.07%,16.63%,14.50%,,
Shareholding Pattern (Yearly),Public,15.01%,,,,18.77%,,,,17.30%,,,,18.41%,,,,5.11%,13.27%,8.37%,13.90%,12.94%,,
Shareholding Pattern (Yearly),No. of Shareholders,70786,,,,81233,,,,88925,,,,124073,,,,17275,35658,42474,93062,73898,,
,,,,,,,,,,,,,,,,,,,,,,,,
