Section,,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,33.10%,33.09%,33.30%,33.38%,33.41%,33.48%,33.51%,33.52%,33.52%,33.55%,33.55%,33.56%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.06%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Government,,,,0.07%,0.07%,0.15%,0.15%,0.15%,0.15%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,66.84%,66.83%,66.56%,66.48%,66.44%,66.38%,66.34%,66.40%,66.41%,66.45%,66.44%,66.44%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,95313,100139,96979,93785,93633,106626,119612,152747,151951,155594,165045,165630,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,33.38%,,,,33.52%,,,,33.56%,48.18%,48.18%,48.18%,48.18%,48.18%,33.10%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.00%,,,,0.08%,,,,0.00%,2.18%,4.22%,2.18%,2.18%,2.18%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,0.00%,,,,0.00%,,,,0.00%,5.13%,3.09%,2.75%,2.75%,2.38%,0.00%
Shareholding Pattern (Yearly),Government,,,,,,,0.15%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.07%
Shareholding Pattern (Yearly),Public,,,,,,,66.48%,,,,66.40%,,,,66.44%,44.50%,44.50%,46.88%,46.87%,47.24%,66.84%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,93785,,,,152747,,,,165630,9792,9690,10489,10520,13598,85384
,,,,,,,,,,,,,,,,,,,,,,
