Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20188m,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Profit & Loss,Interest,12,,,,15,,,,18,,,,17,2,9,12,12,
Profit & Loss,Depreciation,16,,,,17,,,,18,,,,11,0,38,53,52,
Profit & Loss,Profit before tax,34,,,,-12,,,,13,,,,37,-2,-17,-40,-33,
Profit & Loss,Tax %,37%,,,,4%,,,,55%,,,,35%,0%,-29%,-16%,32%,
Profit & Loss,Net Profit,21,,,,-13,,,,6,,,,24,-5,-12,-33,-44,
Profit & Loss,EPS in Rs,3.62,,,,-2.21,,,,0.99,,,,4.18,,,-5.67,-7.49,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,12,,0.00,12,12,12
Balance Sheet,Reserves,-6,,,,-18,,,,-10,,,,16,,53,19,-25,65
Balance Sheet,Borrowings,68,,,,153,,,,157,,,,111,,80,108,90,80
Balance Sheet,Other Liabilities,100,,,,80,,,,81,,,,88,,71,61,83,52
Balance Sheet,Total Liabilities,174,,,,226,,,,239,,,,226,,205,200,160,208
Balance Sheet,Fixed Assets,9,,,,88,,,,73,,,,81,,76,72,17,111
Balance Sheet,CWIP,0,,,,2,,,,10,,,,0,,0,0,0,0
Balance Sheet,Investments,30,,,,15,,,,10,,,,29,,0,0,0,0
Balance Sheet,Other Assets,134,,,,121,,,,145,,,,117,,129,129,142,97
Balance Sheet,Total Assets,174,,,,226,,,,239,,,,226,,205,200,160,208
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,39,,,,25,,,,23,,,,77,,-4,17,67,0
Cash Flows,Cash from Investing Activity,-24,,,,30,,,,-2,,,,-18,,-2,-1,-40,-61
Cash Flows,Cash from Financing Activity,-33,,,,-55,,,,-18,,,,-63,,-1,-17,-16,80
Cash Flows,Net Cash Flow,-18,,,,0,,,,2,,,,-4,,-7,-1,11,19
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,64,,,,66,,,,63,,,,67,,63,44,69,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,64,,,,66,,,,63,,,,67,,63,44,69,
Ratios,Working Capital Days,-21,,,,8,,,,28,,,,38,,27,8,19,
Ratios,ROCE %,60%,,,,3%,,,,20%,,,,36%,,-5%,-20%,-19%,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,64.90%,64.90%,64.90%,64.90%,66.81%,66.81%,66.81%,66.81%,66.81%,66.81%,66.81%,66.81%,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.24%,0.23%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.04%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,,,,,
Shareholding Pattern (Quarterly),Public,,34.53%,34.54%,34.70%,34.70%,32.80%,32.80%,32.78%,32.79%,32.78%,32.86%,32.85%,32.86%,,,,,
Shareholding Pattern (Quarterly),Others,,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,23782,23688,23765,23227,22745,21830,21265,21548,20908,20613,20441,20519,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,64.90%,,,,64.90%,,,,66.81%,,,,66.81%,,,69.51%,69.51%,
Shareholding Pattern (Yearly),FIIs,0.24%,,,,0.06%,,,,0.06%,,,,0.00%,,,3.79%,2.94%,
Shareholding Pattern (Yearly),DIIs,0.04%,,,,0.05%,,,,0.05%,,,,0.05%,,,0.04%,0.05%,
Shareholding Pattern (Yearly),Public,34.53%,,,,34.70%,,,,32.79%,,,,32.86%,,,25.90%,27.22%,
Shareholding Pattern (Yearly),Others,0.28%,,,,0.28%,,,,0.28%,,,,0.28%,,,0.76%,0.28%,
Shareholding Pattern (Yearly),No. of Shareholders,24329,,,,23227,,,,21548,,,,20519,,,29203,26835,
,,,,,,,,,,,,,,,,,,,
