Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,0,,,,-1,,,,-0,,,,19147,15539,14494,10601,7814,10866,8903,2937,250,0,
Profit & Loss,Expenses,,54,,,,47,,,,47,,,,19161,15516,14526,10704,7918,10970,9026,3063,342,47,
Profit & Loss,Operating Profit,,-54,,,,-48,,,,-47,,,,-14,22,-32,-103,-104,-104,-123,-126,-93,-47,
Profit & Loss,OPM %,,,,,,,,,,,,,,-0%,0%,-0%,-1%,-1%,-1%,-1%,-4%,-37%,,
Profit & Loss,Other Income,,15,,,,85,,,,100,,,,204,-356,239,294,129,334,-605,35,60,99,
Profit & Loss,Interest,,2,,,,2,,,,2,,,,468,506,568,633,721,836,156,7,2,3,
Profit & Loss,Depreciation,,0,,,,0,,,,0,,,,4,5,21,16,17,17,15,16,16,0,
Profit & Loss,Profit before tax,,-41,,,,36,,,,51,,,,-282,-845,-381,-457,-712,-623,-899,-114,-50,49,
Profit & Loss,Tax %,,110%,,,,12%,,,,0%,,,,-1%,-0%,1%,1%,2%,-1%,-2%,0%,0%,,
Profit & Loss,Net Profit,,-87,,,,32,,,,51,,,,-278,-845,-386,-462,-729,-618,-883,-114,-50,36,
Profit & Loss,EPS in Rs,,-14.48,,,,5.30,,,,8.51,,,,-46.36,-140.79,-64.40,-77.04,-121.42,-103.00,-147.17,-19.00,-8.41,5.96,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,-4%,0%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,60,,,,60,,,,60,,60,,60,60,60,60,60,60,60,60,60,,
Balance Sheet,Reserves,,-4815,,,,-4762,,,,-4693,,-4673,,-1567,-2412,-1883,-2345,-3076,-3692,-4573,-4686,-4733,,
Balance Sheet,Borrowings,,1987,,,,1987,,,,1981,,1981,,2691,2473,2519,2801,2852,2949,2181,1989,1987,,
Balance Sheet,Other Liabilities,,5075,,,,5063,,,,5045,,4987,,3318,3211,3979,4342,4453,5126,5140,5137,5048,,
Balance Sheet,Total Liabilities,,2307,,,,2347,,,,2393,,2355,,4502,3332,4676,4858,4290,4443,2808,2499,2361,,
Balance Sheet,Fixed Assets,,0,,,,0,,,,0,,0,,65,69,964,950,934,918,904,887,871,,
Balance Sheet,CWIP,,0,,,,0,,,,0,,0,,9,1,0,0,1,2,0,0,2,,
Balance Sheet,Investments,,0,,,,0,,,,0,,0,,0,0,0,0,0,0,0,0,0,,
Balance Sheet,Other Assets,,2307,,,,2347,,,,2393,,2355,,4428,3262,3710,3907,3355,3523,1903,1612,1488,,
Balance Sheet,Total Assets,,2307,,,,2347,,,,2393,,2355,,4502,3332,4676,4858,4290,4443,2808,2499,2361,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,5,,,,-62,,,,-22,,,,534,161,24,-153,71,207,1371,-449,-194,,
Cash Flows,Cash from Investing Activity,,7,,,,81,,,,95,,,,6,16,26,29,33,36,27,376,143,,
Cash Flows,Cash from Financing Activity,,0,,,,0,,,,0,,,,-701,-385,-93,131,-106,-229,-901,-200,-2,,
Cash Flows,Net Cash Flow,,12,,,,20,,,,73,,,,-162,-207,-43,7,-2,14,497,-273,-53,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,-565729,,,,-9760100,,,,44,46,61,91,99,75,5,21,202,,
Ratios,Inventory Days,,,,,,-32,,,,-456,,,,1,0,0,0,2,0,0,0,0,,
Ratios,Days Payable,,,,,,,,,,,,,,18,7,18,22,8,7,8,25,229,,
Ratios,Cash Conversion Cycle,,,,,,-565761,,,,-9760556,,,,27,39,43,69,92,67,-3,-3,-27,,
Ratios,Working Capital Days,,,,,,-1905892,,,,-33958870,,,,10,2,-6,-20,-50,-61,-140,-441,-5244,,
Ratios,ROCE %,,,,,,,,,,,,,,17%,35%,47%,23%,87%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,,,,,,,,,,,90.00%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,,,,,,,,,,,0.00%
Shareholding Pattern (Quarterly),DIIs,,,1.01%,1.01%,1.01%,1.01%,1.01%,0.63%,0.62%,0.59%,0.59%,0.50%,0.51%,,,,,,,,,,,0.51%
Shareholding Pattern (Quarterly),Public,,,8.99%,8.99%,8.98%,9.00%,8.99%,9.36%,9.39%,9.36%,9.42%,9.51%,9.50%,,,,,,,,,,,9.50%
Shareholding Pattern (Quarterly),No. of Shareholders,,,23391,23134,23157,22001,21711,21681,22081,23411,23985,26520,26997,,,,,,,,,,,26408
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,90.00%,,,,90.00%,,,,90.00%,,,,,,,,90.00%,90.00%,90.00%,90.00%,90.00%,,90.00%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.00%,,,,0.06%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%
Shareholding Pattern (Yearly),DIIs,,1.01%,,,,1.01%,,,,0.59%,,,,,,,,1.98%,1.95%,1.97%,1.92%,1.79%,,0.51%
Shareholding Pattern (Yearly),Government,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,0.00%,0.00%,0.02%,0.02%,0.08%,,0.00%
Shareholding Pattern (Yearly),Public,,8.99%,,,,9.00%,,,,9.36%,,,,,,,,8.02%,8.05%,8.01%,8.06%,8.13%,,9.50%
Shareholding Pattern (Yearly),No. of Shareholders,,23674,,,,22001,,,,23411,,,,,,,,28154,29051,26963,24814,24284,,26408
,,,,,,,,,,,,,,,,,,,,,,,,,
