Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Mar 201715m,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2017
Profit & Loss,Other Income,9,,,,11,,,,22,,,,17,27,36,15,14,16,15,13,16,
Profit & Loss,Interest,0,,,,0,,,,2,,,,6,1,1,0,0,0,0,0,0,
Profit & Loss,Depreciation,1,,,,1,,,,1,,,,0,5,5,4,3,1,0,1,1,
Profit & Loss,Profit before tax,61,,,,60,,,,66,,,,63,39,32,39,20,41,57,59,70,
Profit & Loss,Tax %,14%,,,,25%,,,,79%,,,,22%,22%,21%,24%,8%,22%,18%,8%,10%,
Profit & Loss,Net Profit,53,,,,45,,,,14,,,,50,30,25,29,18,32,47,55,62,
Profit & Loss,EPS in Rs,4.72,,,,4.03,,,,1.23,,,,4.45,2.72,2.25,2.62,1.64,2.84,4.19,4.91,5.60,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,1545%,,,,45%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,111,,,,111,,,,111,,,,111,111,111,111,,111,111,111,111,111
Balance Sheet,Reserves,502,,,,565,,,,243,,,,247,167,193,222,,272,322,385,444,239
Balance Sheet,Borrowings,2,,,,1,,,,105,,,,85,2,2,1,,0,0,2,3,1
Balance Sheet,Other Liabilities,61,,,,66,,,,64,,,,60,105,103,78,,84,80,75,67,101
Balance Sheet,Total Liabilities,676,,,,743,,,,523,,,,504,386,409,412,,468,513,573,625,452
Balance Sheet,Fixed Assets,161,,,,160,,,,159,,,,158,166,166,164,,159,159,161,160,161
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,,0,0,0,0,0
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,,122,0,0,0,101
Balance Sheet,Other Assets,516,,,,583,,,,364,,,,346,220,243,249,,188,355,412,465,190
Balance Sheet,Total Assets,676,,,,743,,,,523,,,,504,386,409,412,,468,513,573,625,452
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,35,,,,42,,,,-12,,,,47,34,1,28,,36,48,46,62,38
Cash Flows,Cash from Investing Activity,15,,,,34,,,,37,,,,14,-6,4,6,,6,14,24,5,8
Cash Flows,Cash from Financing Activity,-1,,,,-0,,,,-232,,,,-70,0,0,-1,,-1,-0,-1,-2,-1
Cash Flows,Net Cash Flow,49,,,,75,,,,-207,,,,-9,29,5,33,,42,62,69,65,45
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,31,,,,16,,,,24,,,,24,70,85,60,,61,57,41,17,55
Ratios,Inventory Days,,,,,,,,,,,,,0,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,31,,,,16,,,,24,,,,24,70,85,60,,61,57,41,17,55
Ratios,Working Capital Days,-31,,,,-55,,,,-54,,,,-44,6,23,22,,-30,-44,-19,-63,-17
Ratios,ROCE %,10%,,,,9%,,,,12%,,,,15%,13%,7%,12%,,11%,14%,13%,13%,6%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.24%,0.06%,0.11%,0.05%,0.04%,0.11%,0.11%,0.23%,0.09%,0.08%,0.07%,0.01%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.31%,0.31%,0.31%,0.31%,0.29%,0.29%,0.29%,0.29%,0.29%,0.29%,0.29%,0.29%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,24.45%,24.63%,24.57%,24.63%,24.68%,24.60%,24.58%,24.47%,24.61%,24.62%,24.63%,24.70%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,58997,58778,56672,54834,52695,57671,59457,71437,72997,74629,77197,81445,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,75.00%,,,,75.00%,,,,75.00%,,,,75.00%,,,,,78.77%,90.80%,75.00%,75.00%,78.77%
Shareholding Pattern (Yearly),FIIs,0.24%,,,,0.05%,,,,0.23%,,,,0.01%,,,,,0.00%,0.00%,0.04%,0.24%,0.00%
Shareholding Pattern (Yearly),DIIs,0.31%,,,,0.31%,,,,0.29%,,,,0.29%,,,,,0.37%,0.36%,5.16%,4.64%,0.36%
Shareholding Pattern (Yearly),Public,24.45%,,,,24.63%,,,,24.47%,,,,24.70%,,,,,20.86%,8.84%,19.80%,20.12%,20.87%
Shareholding Pattern (Yearly),No. of Shareholders,59940,,,,54834,,,,71437,,,,81445,,,,,15495,14859,16369,20300,16672
,,,,,,,,,,,,,,,,,,,,,,,
