Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Profit & Loss,Net Profit,,-920,,,,-1202,,,,-1175,,,,98,78,-22,-160,-355,-974,-1440,-831,-910,-1380,
Profit & Loss,EPS in Rs,,-352.43,,,,-450.53,,,,-457.07,,,,59.83,39.40,-5.49,-58.32,-132.46,-371.28,-553.81,-316.25,-339.95,-536.94,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,3%,4%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,26,,,,26,,,,26,,26,,17,20,26,26,26,26,26,26,26,,
Balance Sheet,Reserves,,-4215,,,,-5330,,,,-5078,,-5529,,583,723,823,529,173,-809,-2231,-3044,-3309,,
Balance Sheet,Borrowings,,5191,,,,5466,,,,4654,,2863,,2323,3096,4187,3822,4114,4470,4727,4574,5150,,
Balance Sheet,Other Liabilities,,3894,,,,4906,,,,5964,,5321,,768,810,570,541,736,1283,1985,3198,3031,,
Balance Sheet,Total Liabilities,,4896,,,,5067,,,,5566,,2680,,3690,4649,5605,4918,5048,4969,4507,4754,4898,,
Balance Sheet,Fixed Assets,,883,,,,859,,,,91,,91,,1094,2852,1240,1015,958,1314,1216,1126,908,,
Balance Sheet,CWIP,,2782,,,,2854,,,,3014,,0,,796,0,2269,1532,1826,1759,2052,2366,2563,,
Balance Sheet,Investments,,22,,,,22,,,,1448,,1608,,98,88,101,206,229,49,42,34,28,,
Balance Sheet,Other Assets,,1210,,,,1331,,,,1013,,982,,1703,1708,1994,2165,2036,1848,1196,1229,1399,,
Balance Sheet,Total Assets,,4896,,,,5067,,,,5566,,2680,,3690,4649,5605,4918,5048,4969,4507,4754,4898,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-17,,,,-18,,,,-14,,,,93,410,-158,-21,406,76,-140,1519,203,,
Cash Flows,Cash from Investing Activity,,-2,,,,-15,,,,4,,,,-840,-1090,-811,-336,-495,-324,-1,-270,21,,
Cash Flows,Cash from Financing Activity,,21,,,,32,,,,5,,,,789,626,964,331,105,241,145,-1249,-221,,
Cash Flows,Net Cash Flow,,1,,,,-1,,,,-5,,,,41,-53,-6,-26,16,-7,4,0,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,1974,,,,3230,,,,5135,,,,131,131,208,338,321,395,376,896,1257,,
Ratios,Inventory Days,,140,,,,670,,,,1351,,,,121,52,86,96,84,77,110,284,319,,
Ratios,Days Payable,,672,,,,922,,,,1500,,,,180,138,103,129,212,327,492,1130,1525,,
Ratios,Cash Conversion Cycle,,1442,,,,2979,,,,4987,,,,73,45,191,305,193,145,-7,50,52,,
Ratios,Working Capital Days,,-9744,,,,-17207,,,,-31056,,,,101,50,153,277,129,-142,-1240,-4304,-3571,,
Ratios,ROCE %,,-2%,,,,-8%,,,,,,,,13%,11%,6%,4%,3%,-2%,-3%,-7%,-3%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,34.68%,34.69%,34.69%,34.69%,34.69%,34.69%,34.69%,34.69%,34.69%,34.69%,34.69%,,,,,,,,,,,34.69%
Shareholding Pattern (Quarterly),FIIs,,,10.25%,10.02%,10.02%,10.02%,9.33%,9.33%,9.33%,9.33%,9.28%,8.48%,8.55%,,,,,,,,,,,8.48%
Shareholding Pattern (Quarterly),Public,,,55.06%,55.30%,55.29%,55.29%,55.98%,55.98%,55.98%,55.99%,56.03%,56.83%,56.76%,,,,,,,,,,,56.84%
Shareholding Pattern (Quarterly),No. of Shareholders,,,9470,9050,9084,9000,8872,8501,8244,7920,7665,7661,8185,,,,,,,,,,,8083
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,34.68%,,,,34.69%,,,,34.69%,,,,,,,,37.78%,36.53%,34.68%,34.68%,34.68%,,34.69%
Shareholding Pattern (Yearly),FIIs,,10.25%,,,,10.02%,,,,9.33%,,,,,,,,16.92%,12.01%,12.06%,12.06%,12.06%,,8.48%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,13.60%,0.88%,0.48%,0.00%,0.00%,,0.00%
Shareholding Pattern (Yearly),Public,,55.06%,,,,55.29%,,,,55.99%,,,,,,,,31.70%,50.58%,52.78%,53.26%,53.26%,,56.84%
Shareholding Pattern (Yearly),No. of Shareholders,,8541,,,,9000,,,,7920,,,,,,,,9444,9633,9446,8897,8542,,8083
,,,,,,,,,,,,,,,,,,,,,,,,,
