Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Balance Sheet,Total Liabilities,,2361,,,,2383,,,,2346,,2612,,880,929,1012,1090,1193,1304,1358,1624,2000,,
Balance Sheet,Fixed Assets,,832,,,,1126,,,,1102,,1062,,319,327,333,358,452,475,465,627,615,,
Balance Sheet,CWIP,,285,,,,44,,,,15,,32,,23,7,8,15,8,6,24,48,278,,
Balance Sheet,Investments,,2,,,,2,,,,2,,144,,0,0,0,0,0,0,0,1,1,,
Balance Sheet,Other Assets,,1243,,,,1210,,,,1227,,1375,,538,594,671,716,733,822,869,948,1105,,
Balance Sheet,Total Assets,,2361,,,,2383,,,,2346,,2612,,880,929,1012,1090,1193,1304,1358,1624,2000,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,180,,,,287,,,,193,,,,25,48,112,164,163,148,71,263,165,,
Cash Flows,Cash from Investing Activity,,-308,,,,-189,,,,279,,,,-120,-28,-61,-83,-135,-87,-27,-220,-266,,
Cash Flows,Cash from Financing Activity,,138,,,,-103,,,,-446,,,,101,-48,-43,-81,-38,-62,-48,-39,108,,
Cash Flows,Net Cash Flow,,9,,,,-5,,,,27,,,,7,-27,8,-0,-10,-2,-3,3,8,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,83,,,,77,,,,84,,,,89,85,96,92,98,92,79,78,95,,
Ratios,Inventory Days,,163,,,,132,,,,113,,,,168,144,125,113,134,131,119,154,142,,
Ratios,Days Payable,,150,,,,136,,,,132,,,,77,63,94,96,139,126,94,139,152,,
Ratios,Cash Conversion Cycle,,96,,,,73,,,,65,,,,180,166,127,109,93,96,105,92,85,,
Ratios,Working Capital Days,,92,,,,81,,,,76,,,,110,102,93,86,71,92,94,73,89,,
Ratios,ROCE %,,13%,,,,6%,,,,11%,,,,10%,14%,16%,19%,22%,18%,17%,18%,17%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,35.82%,35.82%,35.82%,35.82%,35.82%,35.82%,35.82%,33.22%,30.55%,30.55%,27.55%,,,,,,,,,,,23.90%
Shareholding Pattern (Quarterly),FIIs,,,6.03%,4.16%,2.81%,3.12%,3.49%,4.65%,4.22%,4.50%,6.71%,8.35%,8.71%,,,,,,,,,,,7.96%
Shareholding Pattern (Quarterly),DIIs,,,13.01%,14.18%,14.33%,14.18%,14.29%,13.67%,13.58%,17.47%,20.92%,19.82%,18.64%,,,,,,,,,,,23.57%
Shareholding Pattern (Quarterly),Public,,,45.14%,45.84%,47.05%,46.87%,46.41%,45.86%,46.37%,44.81%,41.82%,41.29%,45.09%,,,,,,,,,,,44.57%
Shareholding Pattern (Quarterly),No. of Shareholders,,,74049,75769,75946,72946,67789,68052,68301,68607,61327,69769,70160,,,,,,,,,,,63734
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,35.82%,,,,35.82%,,,,33.22%,,,,,,,,52.89%,52.89%,52.89%,42.66%,40.03%,,23.90%
Shareholding Pattern (Yearly),FIIs,,7.93%,,,,3.12%,,,,4.50%,,,,,,,,4.76%,5.90%,6.18%,8.20%,9.37%,,7.96%
Shareholding Pattern (Yearly),DIIs,,11.54%,,,,14.18%,,,,17.47%,,,,,,,,1.25%,3.21%,3.68%,3.62%,9.00%,,23.57%
Shareholding Pattern (Yearly),Public,,44.71%,,,,46.87%,,,,44.81%,,,,,,,,41.09%,37.99%,37.25%,45.53%,41.59%,,44.57%
Shareholding Pattern (Yearly),No. of Shareholders,,71240,,,,72946,,,,68607,,,,,,,,22213,20769,21694,34303,44845,,63734
,,,,,,,,,,,,,,,,,,,,,,,,,
