Section,,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash Flows,Cash from Investing Activity,12,-554,-516,-1114,-976,-515,-27,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-92,152,408,947,889,-9,-506,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,4,8,70,28,96,-192,-13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,32,41,41,43,47,38,44,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,118,147,158,189,141,175,132,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,20,94,78,85,67,82,80,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,129,94,121,148,122,131,95,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,121,45,61,74,69,77,61,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,16%,10%,6%,6%,5%,3%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,49.48%,49.48%,49.48%,49.48%,49.48%,49.48%,54.46%,54.46%,54.46%,54.46%,54.46%,55.15%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.05%,0.10%,0.01%,0.01%,0.02%,0.02%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,50.53%,50.50%,50.53%,50.53%,50.51%,50.53%,45.48%,45.43%,45.52%,45.52%,45.52%,44.83%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,40620,39051,39540,39366,38987,40994,41681,45197,45579,51026,50911,51309,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,49.48%,,,,54.46%,,,,55.15%,68.79%,68.79%,68.79%,68.79%,68.79%,48.03%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,0.00%,,,,0.10%,,,,0.02%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,2.14%,0.00%,0.00%,0.00%,0.01%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,50.53%,,,,45.43%,,,,44.83%,29.06%,31.20%,31.20%,31.20%,31.21%,51.97%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,39366,,,,45197,,,,51309,39276,39220,38017,36897,36282,36659
,,,,,,,,,,,,,,,,,,,,,,,,,,
