Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2011,Sep 201218m,Sep 2013,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2012,Mar 2015,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Profit & Loss,Interest,52,,,,52,,,,52,,,,26,61,73,51,70,56,52,52,52,,,,,,,,,,
Profit & Loss,Depreciation,5,,,,4,,,,4,,,,4,54,73,53,57,11,6,6,5,,,,,,,,,,
Profit & Loss,Profit before tax,-47,,,,-50,,,,-51,,,,432,100,-67,-122,-113,-36,-51,-42,-74,,,,,,,,,,
Profit & Loss,Tax %,9%,,,,-2%,,,,-1%,,,,5%,-10%,6%,-37%,-13%,-6%,-1%,-1%,-10%,,,,,,,,,,
Profit & Loss,Net Profit,-51,,,,-49,,,,-50,,,,412,110,-71,-77,-99,-33,-51,-42,-66,,,,,,,,,,
Profit & Loss,EPS in Rs,-15.06,,,,-14.46,,,,-14.77,,,,13.54,32.30,-20.96,-22.51,-28.98,-9.83,-14.98,-12.29,-19.48,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,3%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,34,,,,34,,,,34,,,,30,34,,34,,34,34,34,34,34,34,,,,,,,,
Balance Sheet,Reserves,114,,,,60,,,,32,,,,498,558,,330,,205,163,146,125,430,228,,,,,,,,
Balance Sheet,Borrowings,1045,,,,1090,,,,1154,,,,0,587,,700,,705,723,669,720,295,625,,,,,,,,
Balance Sheet,Other Liabilities,406,,,,395,,,,398,,,,222,503,,811,,728,726,634,601,1058,693,,,,,,,,
Balance Sheet,Total Liabilities,1600,,,,1578,,,,1619,,,,750,1682,,1875,,1672,1646,1483,1480,1817,1579,,,,,,,,
Balance Sheet,Fixed Assets,227,,,,223,,,,218,,,,199,444,,323,,258,248,239,234,374,267,,,,,,,,
Balance Sheet,CWIP,12,,,,12,,,,12,,,,0,43,,13,,14,14,14,14,16,14,,,,,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,,0,,0,0,0,0,0,0,,,,,,,,
Balance Sheet,Other Assets,1361,,,,1344,,,,1388,,,,551,1194,,1539,,1400,1384,1230,1233,1428,1298,,,,,,,,
Balance Sheet,Total Assets,1600,,,,1578,,,,1619,,,,750,1682,,1875,,1672,1646,1483,1480,1817,1579,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,61,,,,2,,,,4,,,,-4,94,,94,,-8,4,-4,9,81,123,,,,,,,,
Cash Flows,Cash from Investing Activity,10,,,,0,,,,0,,,,1,-6,,-56,,5,-1,4,43,-3,-24,,,,,,,,
Cash Flows,Cash from Financing Activity,-69,,,,-0,,,,0,,,,-2,-92,,-44,,4,-2,0,-52,-60,-117,,,,,,,,
Cash Flows,Net Cash Flow,2,,,,2,,,,4,,,,-6,-4,,-6,,1,1,-0,0,18,-18,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,5923,,,,6099,,,,6051,,,,2363,313,,3147,,3904,4940,4353,5030,351,3603,,,,,,,,
Ratios,Inventory Days,124,,,,,,,,389,,,,21,14,,15,,47,96,173,77,2,53,,,,,,,,
Ratios,Days Payable,3179,,,,,,,,19744,,,,23400,225,,1528,,1753,5428,8185,4936,352,2792,,,,,,,,
Ratios,Cash Conversion Cycle,2867,,,,6099,,,,-13304,,,,-21016,102,,1635,,2198,-391,-3659,171,1,864,,,,,,,,
Ratios,Working Capital Days,389,,,,253,,,,240,,,,2188,188,,286,,-58,-236,-311,-478,55,-43,,,,,,,,
Ratios,ROCE %,1%,,,,0%,,,,0%,,,,-0%,14%,,-8%,,8%,0%,1%,-2%,1%,-4%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,10.55%,10.54%,0.00%,90.00%,,,,,,,,,,,90.00%,90.00%,90.00%,90.00%,89.75%,85.57%,81.29%,75.00%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.19%,3.97%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,1.95%,1.95%,2.18%,0.22%,,,,,,,,,,,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,87.50%,87.48%,97.81%,9.78%,,,,,,,,,,,9.78%,9.78%,9.77%,9.78%,10.03%,14.22%,15.30%,20.81%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,36936,36652,36454,36318,,,,,,,,,,,35974,35948,35688,38594,39610,48054,50472,59477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,10.55%,,,,10.55%,,,,10.55%,,,,90.00%,,,,,,10.55%,10.55%,10.55%,,,,,,90.00%,,,,75.00%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,,0.00%,0.00%,0.00%,,,,,,0.00%,,,,3.97%
Shareholding Pattern (Yearly),DIIs,1.95%,,,,1.95%,,,,1.95%,,,,0.22%,,,,,,1.95%,2.06%,1.95%,,,,,,0.22%,,,,0.22%
Shareholding Pattern (Yearly),Public,87.50%,,,,87.50%,,,,87.50%,,,,9.78%,,,,,,87.50%,87.39%,87.50%,,,,,,9.78%,,,,20.81%
Shareholding Pattern (Yearly),No. of Shareholders,40407,,,,38277,,,,37207,,,,36318,,,,,,47571,43197,41401,,,,,,38594,,,,59477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
