Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Profit & Loss,Other Income,1,,,,1,,,,30,,,,7,5,6,7,1,5,9,-1,3,
Profit & Loss,Interest,14,,,,13,,,,16,,,,28,8,9,15,17,16,17,15,16,
Profit & Loss,Depreciation,15,,,,16,,,,18,,,,19,10,11,11,13,13,13,13,13,
Profit & Loss,Profit before tax,41,,,,33,,,,146,,,,142,33,15,5,18,2,7,11,25,
Profit & Loss,Tax %,29%,,,,30%,,,,25%,,,,28%,36%,39%,68%,57%,-148%,21%,-21%,29%,
Profit & Loss,Net Profit,29,,,,22,,,,110,,,,102,21,9,2,8,5,2,19,18,
Profit & Loss,EPS in Rs,3.10,,,,2.37,,,,11.63,,,,10.85,2.25,0.94,0.16,0.84,0.48,0.23,2.03,1.90,
Profit & Loss,Dividend Payout %,3%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,10%,26%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,95,,,,95,,,,94,,,,94,24,24,47,95,95,95,95,95,
Balance Sheet,Reserves,112,,,,137,,,,245,,,,586,102,110,86,59,64,55,75,91,
Balance Sheet,Borrowings,135,,,,154,,,,172,,,,308,90,85,156,128,144,131,126,125,
Balance Sheet,Other Liabilities,187,,,,207,,,,228,,,,156,99,130,102,141,156,189,166,198,
Balance Sheet,Total Liabilities,529,,,,593,,,,739,,,,1144,315,349,391,423,458,470,461,509,
Balance Sheet,Fixed Assets,144,,,,195,,,,218,,,,282,136,149,162,156,152,148,141,135,
Balance Sheet,CWIP,52,,,,32,,,,42,,,,201,2,4,30,47,50,46,46,46,
Balance Sheet,Investments,59,,,,61,,,,61,,,,60,58,52,53,64,64,65,69,62,
Balance Sheet,Other Assets,273,,,,305,,,,419,,,,601,119,145,146,155,191,211,205,265,
Balance Sheet,Total Assets,529,,,,593,,,,739,,,,1144,315,349,391,423,458,470,461,509,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,45,,,,37,,,,51,,,,-27,47,42,-6,98,41,58,-0,22,
Cash Flows,Cash from Investing Activity,-35,,,,-52,,,,-30,,,,-270,-33,-22,-50,-46,-10,1,-8,0,
Cash Flows,Cash from Financing Activity,-22,,,,12,,,,-10,,,,292,-14,-22,54,-52,-30,-44,-4,-9,
Cash Flows,Net Cash Flow,-12,,,,-3,,,,11,,,,-5,1,-2,-2,0,1,15,-12,14,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,32,,,,42,,,,67,,,,61,0,3,15,15,24,41,30,38,
Ratios,Inventory Days,185,,,,201,,,,200,,,,337,159,189,222,233,215,182,201,215,
Ratios,Days Payable,123,,,,140,,,,113,,,,59,89,160,134,152,175,214,172,174,
Ratios,Cash Conversion Cycle,94,,,,103,,,,154,,,,339,70,33,103,96,63,9,58,79,
Ratios,Working Capital Days,65,,,,64,,,,93,,,,166,26,23,57,8,22,-6,26,44,
Ratios,ROCE %,17%,,,,13%,,,,30%,,,,23%,20%,11%,8%,13%,6%,8%,10%,13%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,70.97%,70.97%,70.97%,70.97%,70.97%,70.97%,70.97%,70.97%,70.97%,70.97%,70.97%,,,,,,,,,70.97%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.88%,0.78%,0.71%,,,,,,,,,0.73%
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.10%,0.10%,0.03%,0.01%,0.01%,,,,,,,,,0.01%
Shareholding Pattern (Quarterly),Public,,,29.02%,29.02%,29.02%,29.02%,29.03%,29.00%,28.92%,28.76%,28.13%,28.24%,28.30%,,,,,,,,,28.29%
Shareholding Pattern (Quarterly),No. of Shareholders,,,30577,29043,27838,27435,30841,52070,51172,71833,70619,69297,76030,,,,,,,,,78873
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.96%,,,,70.97%,,,,70.97%,,,,70.97%,,,,70.90%,70.90%,70.90%,70.90%,70.90%,70.97%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.71%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.73%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.10%,,,,0.01%,,,,0.00%,0.00%,0.00%,0.00%,1.72%,0.01%
Shareholding Pattern (Yearly),Public,29.04%,,,,29.02%,,,,28.92%,,,,28.30%,,,,29.10%,29.10%,29.10%,29.09%,27.38%,28.29%
Shareholding Pattern (Yearly),No. of Shareholders,21710,,,,27838,,,,51172,,,,76030,,,,11708,10555,10148,9975,10166,78873
,,,,,,,,,,,,,,,,,,,,,,,
