Section,,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2024,Sep 2024
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,14,,,,14,,,,14,,14,14,14,14,14,14,14,14,14,,
Balance Sheet,Reserves,,,1684,,,,1950,,,,2282,,2615,425,525,667,837,997,1156,1343,1515,,
Balance Sheet,Borrowings,,,1,,,,0,,,,0,,1,0,0,0,0,0,0,0,0,,
Balance Sheet,Other Liabilities,,,273,,,,298,,,,354,,385,122,137,159,182,172,178,252,293,,
Balance Sheet,Total Liabilities,,,1972,,,,2263,,,,2650,,3016,561,676,841,1033,1183,1349,1610,1822,,
Balance Sheet,Fixed Assets,,,846,,,,804,,,,757,,916,160,159,165,188,229,213,776,759,,
Balance Sheet,CWIP,,,82,,,,86,,,,162,,753,5,100,143,262,357,509,2,51,,
Balance Sheet,Investments,,,846,,,,1161,,,,1494,,1135,368,384,442,482,499,531,672,810,,
Balance Sheet,Other Assets,,,197,,,,212,,,,237,,211,28,33,90,101,99,96,160,202,,
Balance Sheet,Total Assets,,,1972,,,,2263,,,,2650,,3016,561,676,841,1033,1183,1349,1610,1822,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,163,,,,297,,,,377,,349,117,103,137,153,146,171,208,130,,
Cash Flows,Cash from Investing Activity,,,-142,,,,-268,,,,-334,,-315,-107,-91,-110,-153,-123,-155,-157,-133,,
Cash Flows,Cash from Financing Activity,,,-21,,,,-24,,,,-33,,-42,-8,-11,-25,-0,-19,-20,-47,-0,,
Cash Flows,Net Cash Flow,,,0,,,,5,,,,10,,-8,2,1,1,-0,4,-4,4,-3,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,20,,,,15,,,,7,,8,26,20,20,14,16,18,14,37,,
Ratios,Inventory Days,,,107,,,,119,,,,83,,56,184,,,271,248,138,,159,,
Ratios,Days Payable,,,126,,,,147,,,,93,,63,312,,,463,187,164,,227,,
Ratios,Cash Conversion Cycle,,,1,,,,-12,,,,-3,,0,-102,20,20,-178,76,-8,14,-31,,
Ratios,Working Capital Days,,,2,,,,3,,,,157,,100,-56,-39,-18,-23,-107,-54,-37,-56,,
Ratios,ROCE %,,,15%,,,,22%,,,,22%,,20%,,29%,35%,33%,26%,23%,24%,16%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,68.54%,68.54%,68.54%,68.54%,68.54%,68.54%,68.54%,68.54%,68.54%,68.54%,,,,,,,,,68.54%,68.54%
Shareholding Pattern (Quarterly),FIIs,,,,1.98%,2.10%,2.37%,2.30%,2.09%,2.79%,3.02%,3.50%,4.91%,4.90%,,,,,,,,,3.87%,3.95%
Shareholding Pattern (Quarterly),DIIs,,,,4.73%,4.30%,3.95%,3.91%,3.81%,4.07%,4.14%,3.99%,3.36%,3.19%,,,,,,,,,3.89%,4.06%
Shareholding Pattern (Quarterly),Public,,,,24.76%,25.07%,25.14%,25.24%,25.55%,24.60%,24.29%,23.97%,23.18%,23.38%,,,,,,,,,23.70%,23.45%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,36711,36127,35987,37631,37525,36251,45871,46796,43448,43897,,,,,,,,,45047,44222
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,68.54%,,,,68.54%,,,,68.54%,,68.54%,,,,68.17%,68.18%,68.20%,68.32%,68.54%,,
Shareholding Pattern (Yearly),FIIs,,,1.99%,,,,2.30%,,,,3.50%,,4.90%,,,,3.76%,2.24%,2.45%,2.84%,2.14%,,
Shareholding Pattern (Yearly),DIIs,,,4.83%,,,,3.91%,,,,3.99%,,3.19%,,,,4.80%,5.35%,5.64%,5.46%,5.29%,,
Shareholding Pattern (Yearly),Public,,,24.64%,,,,25.24%,,,,23.97%,,23.38%,,,,23.27%,24.23%,23.72%,23.37%,24.04%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,36630,,,,37631,,,,46796,,43897,,,,12846,22426,23467,25911,39865,,
,,,,,,,,,,,,,,,,,,,,,,,,
