Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2020,Sep 2021
Profit & Loss,Dividend Payout %,,,,2%,,,,0%,,,,0%,0%,0%,0%,0%,8%,7%,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,20,,,,20,,,,20,0.20,4,4,10,10,10,,
Balance Sheet,Reserves,,,,91,,,,143,,,,185,1,14,25,40,56,76,,
Balance Sheet,Borrowings,,,,12,,,,23,,,,44,2,0,1,1,1,15,,
Balance Sheet,Other Liabilities,,,,48,,,,23,,,,29,3,12,43,72,70,57,,
Balance Sheet,Total Liabilities,,,,171,,,,209,,,,278,6,30,72,122,137,158,,
Balance Sheet,Fixed Assets,,,,27,,,,30,,,,67,1,9,13,12,14,28,,
Balance Sheet,CWIP,,,,2,,,,5,,,,4,4,0,0,0,0,0,,
Balance Sheet,Investments,,,,39,,,,49,,,,59,0,2,28,46,41,41,,
Balance Sheet,Other Assets,,,,103,,,,124,,,,149,2,19,31,64,83,88,,
Balance Sheet,Total Assets,,,,171,,,,209,,,,278,6,30,72,122,137,158,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,3,,,,-2,,,,35,2,6,39,37,14,-4,,
Cash Flows,Cash from Investing Activity,,,,-46,,,,-15,,,,-19,-4,-7,-30,-19,-8,-14,,
Cash Flows,Cash from Financing Activity,,,,-5,,,,18,,,,-10,2,7,0,6,2,23,,
Cash Flows,Net Cash Flow,,,,-48,,,,1,,,,6,-0,5,9,24,8,5,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,42,,,,48,,,,103,0,0,0,0,1,13,,
Ratios,Inventory Days,,,,,,,,,,,,593,0,0,0,0,,,,
Ratios,Days Payable,,,,,,,,,,,,499,,,,,,,,
Ratios,Cash Conversion Cycle,,,,42,,,,48,,,,197,0,0,0,0,1,13,,
Ratios,Working Capital Days,,,,-59,,,,115,,,,157,-36,8,-221,-277,-236,-212,,
Ratios,ROCE %,,,,26%,,,,32%,,,,27%,,100%,58%,63%,31%,31%,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.19%,,73.19%,,73.23%,,73.23%,,73.23%,73.23%,73.23%,,,,73.17%,73.17%,73.17%,73.17%,73.17%
Shareholding Pattern (Quarterly),FIIs,,0.10%,,0.06%,,0.13%,,0.14%,,0.33%,0.14%,0.37%,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),DIIs,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,0.00%,0.17%,,,,0.15%,0.15%,0.10%,0.15%,0.15%
Shareholding Pattern (Quarterly),Public,,26.71%,,26.75%,,26.64%,,26.63%,,26.43%,26.63%,26.22%,,,,26.69%,26.68%,26.73%,26.69%,26.67%
Shareholding Pattern (Quarterly),No. of Shareholders,,280,,328,,482,,1073,,1107,1498,1943,,,,273,297,281,296,284
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,73.19%,,,,73.23%,,,,73.23%,,73.17%,73.17%,73.17%,73.17%,73.17%,,
Shareholding Pattern (Yearly),FIIs,,,,0.06%,,,,0.14%,,,,0.37%,,0.00%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,,,,0.17%,,0.00%,0.00%,0.15%,0.15%,0.10%,,
Shareholding Pattern (Yearly),Public,,,,26.75%,,,,26.63%,,,,26.22%,,26.83%,26.83%,26.69%,26.68%,26.73%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,328,,,,1073,,,,1943,,131,203,273,297,281,,
,,,,,,,,,,,,,,,,,,,,,
