Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2023,Jun 2023,Sep 2023,Jun 2024
Ratios,Cash Conversion Cycle,293.07,,,,249.44,,,,,194.74,,,209.81,70.23,86.05,96.96,85.86,126.53,215.92,316.16,,,,
Ratios,Working Capital Days,278.64,,,,223.39,,,,,163.24,,,168.02,108.21,146.64,145.30,176.18,220.84,311.12,272.87,,,,
Ratios,ROCE %,1.22%,,,,1.45%,,,,,,,,4.56%,,9.36%,,15.78%,8.74%,-2.69%,1.50%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,59.68%,63.11%,63.96%,63.65%,63.65%,64.29%,65.37%,66.87%,,,,,,,,64.50%,64.50%,64.50%,63.84%
Shareholding Pattern (Quarterly),FIIs,,,,,,0.00%,0.03%,0.00%,0.02%,0.00%,0.01%,0.00%,0.00%,,,,,,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,,,,,40.32%,36.86%,36.03%,36.32%,36.35%,35.71%,34.63%,33.13%,,,,,,,,35.50%,35.50%,35.50%,36.15%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,10573,10631,10691,10787,10918,10942,8090,7832,,,,,,,,10394,10332,10551,11195
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,64.97%,,,,64.97%,,,,,63.65%,,,66.87%,,,,51.72%,51.72%,55.80%,61.37%,64.50%,,,
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,,0.00%,,,0.00%,,,,0.00%,0.06%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Yearly),Public,35.03%,,,,35.03%,,,,,36.35%,,,33.13%,,,,48.28%,48.21%,44.20%,38.62%,35.50%,,,
Shareholding Pattern (Yearly),No. of Shareholders,8657,,,,10438,,,,,10918,,,7832,,,,8463,10395,9779,8873,10394,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
