Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Profit & Loss,Other Income,5,,,,9,,,,17,,,,58,5,4,3,5,4,3,2,3,
Profit & Loss,Interest,2,,,,4,,,,2,,,,10,2,2,2,2,2,5,3,1,
Profit & Loss,Depreciation,5,,,,6,,,,10,,,,15,2,2,2,4,4,4,5,5,
Profit & Loss,Profit before tax,3,,,,72,,,,186,,,,406,6,0,20,3,9,11,57,4,
Profit & Loss,Tax %,21%,,,,30%,,,,30%,,,,26%,15%,25%,21%,21%,20%,-19%,-3%,36%,
Profit & Loss,Net Profit,3,,,,50,,,,130,,,,299,5,0,16,2,7,13,59,3,
Profit & Loss,EPS in Rs,0.25,,,,5.38,,,,15.22,,,,31.04,0.53,0.01,2.04,0.30,0.93,1.73,7.62,0.39,
Profit & Loss,Dividend Payout %,40%,,,,4%,,,,7%,,,,6%,19%,1103%,17%,33%,16%,17%,5%,26%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,8,,,,8,,,,8,,,,9,9,8,8,8,8,8,8,8,
Balance Sheet,Reserves,275,,,,308,,,,440,,,,1692,98,91,103,105,112,127,183,196,
Balance Sheet,Borrowings,15,,,,7,,,,6,,,,61,13,18,40,41,11,42,3,2,
Balance Sheet,Other Liabilities,71,,,,151,,,,296,,,,288,5,12,27,14,15,42,20,17,
Balance Sheet,Total Liabilities,369,,,,474,,,,750,,,,2049,126,128,177,167,146,218,214,223,
Balance Sheet,Fixed Assets,67,,,,75,,,,93,,,,212,29,49,47,44,45,63,73,70,
Balance Sheet,CWIP,3,,,,2,,,,11,,,,4,3,1,0,15,17,0,0,0,
Balance Sheet,Investments,2,,,,2,,,,0,,,,4,0,0,0,0,0,8,2,2,
Balance Sheet,Other Assets,297,,,,394,,,,646,,,,1830,94,78,130,108,84,147,139,152,
Balance Sheet,Total Assets,369,,,,474,,,,750,,,,2049,126,128,177,167,146,218,214,223,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-44,,,,116,,,,13,,,,-146,39,10,-20,0,0,-49,62,6,
Cash Flows,Cash from Investing Activity,-44,,,,-4,,,,-85,,,,-823,-3,-8,-4,0,0,13,-12,-10,
Cash Flows,Cash from Financing Activity,88,,,,-22,,,,-3,,,,1007,-20,-7,20,0,0,5,-12,9,
Cash Flows,Net Cash Flow,0,,,,91,,,,-75,,,,37,15,-5,-4,0,0,-32,38,5,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,166,,,,142,,,,153,,,,154,127,90,276,56,121,290,114,124,
Ratios,Inventory Days,693,,,,305,,,,523,,,,118,212,295,225,242,237,496,137,609,
Ratios,Days Payable,109,,,,42,,,,99,,,,25,55,63,47,52,92,114,44,132,
Ratios,Cash Conversion Cycle,750,,,,406,,,,577,,,,247,284,322,455,246,265,672,206,601,
Ratios,Working Capital Days,680,,,,126,,,,159,,,,155,235,143,281,138,187,295,194,540,
Ratios,ROCE %,2%,,,,23%,,,,46%,,,,37%,6%,2%,16%,3%,8%,,32%,3%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,60.19%,60.19%,60.19%,60.14%,57.45%,57.45%,55.07%,55.07%,55.07%,51.26%,49.05%,49.05%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.32%,0.33%,0.30%,1.29%,3.47%,4.84%,4.65%,3.84%,3.09%,5.72%,8.29%,5.95%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.01%,0.11%,0.11%,0.15%,0.21%,0.15%,3.09%,3.31%,3.37%,8.05%,8.97%,9.47%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,39.13%,39.03%,39.05%,37.82%,38.11%,36.80%,36.42%,37.15%,37.94%,34.49%,33.24%,35.10%,,,,,,,,,
Shareholding Pattern (Quarterly),Others,,0.35%,0.35%,0.35%,0.61%,0.76%,0.76%,0.76%,0.62%,0.53%,0.47%,0.46%,0.44%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,118806,116610,122339,108420,127208,159766,161995,170421,201211,229479,237733,283289,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,60.19%,,,,60.14%,,,,55.07%,,,,49.05%,,,,,59.44%,59.49%,59.56%,60.19%,59.44%
Shareholding Pattern (Yearly),FIIs,0.29%,,,,1.29%,,,,3.84%,,,,5.95%,,,,,0.11%,0.01%,0.00%,0.01%,0.12%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.15%,,,,3.31%,,,,9.47%,,,,,0.08%,0.08%,0.24%,0.00%,0.18%
Shareholding Pattern (Yearly),Public,39.52%,,,,37.82%,,,,37.15%,,,,35.10%,,,,,40.36%,40.42%,40.20%,39.80%,40.25%
Shareholding Pattern (Yearly),Others,0.00%,,,,0.61%,,,,0.62%,,,,0.44%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,114705,,,,108420,,,,170421,,,,283289,,,,,10761,11794,11745,34233,11494
,,,,,,,,,,,,,,,,,,,,,,,
