Section,,Mar 2021,Jun 2021,Dec 2021,Mar 2022,Jun 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Balance Sheet,Other Liabilities,199,,,247,,170,134,106,162,,,,,,,,,,,
Balance Sheet,Total Liabilities,689,,,964,,516,606,506,722,,,,,,,,,,,
Balance Sheet,Fixed Assets,256,,,322,,288,282,100,169,,,,,,,,,,,
Balance Sheet,CWIP,0,,,2,,0,13,25,35,,,,,,,,,,,
Balance Sheet,Investments,0,,,0,,0,0,0,0,,,,,,,,,,,
Balance Sheet,Other Assets,433,,,639,,228,310,381,518,,,,,,,,,,,
Balance Sheet,Total Assets,689,,,964,,516,606,506,722,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,124,,,18,,100,-38,54,99,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-9,,,-34,,-291,-47,-29,-155,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-129,,,16,,193,84,-26,69,,,,,,,,,,,
Cash Flows,Net Cash Flow,-14,,,-1,,2,-1,0,14,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,50,,,41,,27766,137,99,72,,,,,,,,,,,
Ratios,Inventory Days,202,,,219,,18058,113,135,166,,,,,,,,,,,
Ratios,Days Payable,167,,,120,,31435,118,92,118,,,,,,,,,,,
Ratios,Cash Conversion Cycle,86,,,139,,14390,131,143,120,,,,,,,,,,,
Ratios,Working Capital Days,101,,,113,,12436,129,127,111,,,,,,,,,,,
Ratios,ROCE %,17%,,,32%,,,10%,20%,24%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,74.10%,,,,,74.03%,74.03%,74.02%,73.94%,73.89%,73.88%,73.88%,73.87%,73.87%,73.84%,72.14%
Shareholding Pattern (Quarterly),FIIs,,,,,5.27%,,,,,6.18%,6.00%,12.26%,11.49%,9.25%,5.94%,5.22%,5.94%,5.67%,5.35%,6.61%
Shareholding Pattern (Quarterly),DIIs,,,,,6.60%,,,,,6.55%,6.37%,6.72%,6.63%,4.82%,7.07%,7.79%,9.44%,11.81%,11.40%,11.12%
Shareholding Pattern (Quarterly),Public,,,,,14.03%,,,,,13.23%,13.61%,7.01%,7.93%,12.06%,13.12%,13.10%,10.76%,8.66%,9.40%,10.13%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,174803,,,,,133691,148290,157833,191736,265590,265079,284564,253286,211263,211896,211265
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,74.02%,,,,73.88%,,,,72.14%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,12.26%,,,,5.22%,,,,6.61%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,6.72%,,,,7.79%,,,,11.12%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,7.01%,,,,13.10%,,,,10.13%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,157833,,,,284564,,,,211265
,,,,,,,,,,,,,,,,,,,,,
