Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Profit & Loss,Profit before tax,,,,245,,,,280,,,,331,,86,94,100,103,108,109,140,157,201,340,,,,,
Profit & Loss,Tax %,,,,25%,,,,26%,,,,25%,,33%,34%,36%,33%,34%,34%,28%,40%,26%,,,,,,
Profit & Loss,Net Profit,,,,183,,,,209,,,,247,,67,68,69,69,71,72,101,94,149,254,,,,,
Profit & Loss,EPS in Rs,,,,10.50,,,,12.00,,,,14.22,,3.84,3.93,3.95,3.94,4.07,4.12,5.79,5.39,8.59,14.62,,,,,
Profit & Loss,Dividend Payout %,,,,29%,,,,29%,,,,28%,,29%,28%,28%,28%,29%,29%,28%,32%,29%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,35,,,,35,,,,35,,35,35,35,35,35,35,35,35,35,,,,,,
Balance Sheet,Reserves,,,,1108,,,,1267,,,,1451,,477,522,568,625,676,723,794,856,976,,,,,,
Balance Sheet,Borrowings,,,,3,,,,3,,,,3,,3,24,1,7,13,43,60,62,3,,,,,,
Balance Sheet,Other Liabilities,,,,679,,,,761,,,,859,,284,332,347,321,354,449,547,588,596,,,,,,
Balance Sheet,Total Liabilities,,,,1825,,,,2066,,,,2348,,799,914,951,988,1077,1250,1436,1540,1609,,,,,,
Balance Sheet,Fixed Assets,,,,350,,,,419,,,,438,,181,191,194,219,308,321,307,318,311,,,,,,
Balance Sheet,CWIP,,,,25,,,,32,,,,55,,8,10,14,16,4,4,34,25,39,,,,,,
Balance Sheet,Investments,,,,74,,,,80,,,,88,,48,50,51,54,58,60,64,66,70,,,,,,
Balance Sheet,Other Assets,,,,1375,,,,1535,,,,1767,,561,663,691,699,707,865,1030,1130,1190,,,,,,
Balance Sheet,Total Assets,,,,1825,,,,2066,,,,2348,,799,914,951,988,1077,1250,1436,1540,1609,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,38,,,,142,,,,187,,105,,112,58,-25,77,202,171,62,,,,,,
Cash Flows,Cash from Investing Activity,,,,-12,,,,5,,,,-146,,-11,,-33,-61,39,-86,-152,-101,2,,,,,,
Cash Flows,Cash from Financing Activity,,,,-51,,,,-59,,,,-65,,-39,,-48,-23,-21,2,-4,-32,-95,,,,,,
Cash Flows,Net Cash Flow,,,,-25,,,,88,,,,-24,,56,,31,-26,-7,-6,46,39,-30,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,81,,,,80,,,,94,,63,82,80,72,98,97,84,81,68,,,,,,
Ratios,Inventory Days,,,,207,,,,184,,,,165,,194,193,171,200,193,196,170,212,195,,,,,,
Ratios,Days Payable,,,,116,,,,98,,,,96,,138,147,145,142,139,141,127,155,129,,,,,,
Ratios,Cash Conversion Cycle,,,,172,,,,165,,,,162,,120,127,106,130,153,152,127,138,134,,,,,,
Ratios,Working Capital Days,,,,76,,,,77,,,,84,,41,56,40,60,88,85,54,44,54,,,,,,
Ratios,ROCE %,,,,23%,,,,23%,,,,24%,,18%,17%,17%,17%,16%,15%,16%,18%,21%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,66.69%,66.69%,66.69%,66.69%,66.69%,66.69%,66.69%,66.69%,69.80%,69.80%,69.80%,69.80%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.91%,3.17%,3.23%,3.48%,3.43%,3.51%,4.50%,5.22%,5.38%,5.35%,5.33%,4.86%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,10.93%,10.77%,10.85%,10.41%,10.30%,10.88%,10.13%,10.03%,10.07%,10.23%,10.62%,11.07%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,19.47%,19.36%,19.21%,19.42%,19.59%,18.92%,18.69%,18.07%,14.74%,14.61%,14.26%,14.28%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,21428,25715,27194,32799,35744,39873,45747,47455,55288,70326,54962,56172,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,66.69%,,,,66.69%,,,,66.69%,,,,69.80%,,,,,,,,,,,66.41%,66.41%,66.41%,66.41%,66.69%
Shareholding Pattern (Yearly),FIIs,2.45%,,,,3.48%,,,,5.22%,,,,4.86%,,,,,,,,,,,3.76%,3.51%,3.50%,3.41%,2.68%
Shareholding Pattern (Yearly),DIIs,10.97%,,,,10.41%,,,,10.03%,,,,11.07%,,,,,,,,,,,14.79%,15.69%,13.68%,13.42%,11.69%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.01%,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,19.89%,,,,19.42%,,,,18.07%,,,,14.28%,,,,,,,,,,,15.05%,14.40%,16.42%,16.77%,18.93%
Shareholding Pattern (Yearly),No. of Shareholders,21349,,,,32799,,,,47455,,,,56172,,,,,,,,,,,11421,12146,13671,14574,17848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
