Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Apr 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Ratios,Working Capital Days,691,,,,408,,,,331,,,,225,,,,,,
Ratios,ROCE %,,,,,5%,,,,9%,,,,15%,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,72.23%,69.91%,69.91%,69.91%,46.61%,47.61%,47.61%,40.57%,40.57%,40.06%,39.17%,37.84%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.30%,2.25%,3.42%,3.36%,3.19%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.37%,1.86%,1.92%,,,,,
Shareholding Pattern (Quarterly),Public,,,27.78%,30.09%,30.11%,30.10%,53.40%,52.39%,52.38%,57.14%,57.20%,55.14%,55.62%,57.05%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,1495,3613,6721,8300,8018,7983,8704,9366,14539,18229,19362,20246,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.22%,,,,69.91%,,,,47.61%,,,,39.17%,37.84%,6.89%,6.89%,6.89%,6.89%,6.89%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,3.36%,3.19%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,1.86%,1.92%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,27.78%,,,,30.11%,,,,52.38%,,,,55.62%,57.05%,93.11%,93.11%,93.11%,93.11%,93.11%
Shareholding Pattern (Yearly),No. of Shareholders,1506,,,,6721,,,,8704,,,,19362,20246,525,526,524,47,220
,,,,,,,,,,,,,,,,,,,,
