Section,,Dec 2021,Mar 2022,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Sep 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Balance Sheet,Reserves,,-3.55,,,-3.28,,,,-3.56,,,,-1.65,72.21,239.22,384.55,129.97,-17.66,-6.74,,,,,,
Balance Sheet,Borrowings,,0.51,,,1.39,,,,1.99,,,,8.85,0.01,0.00,0.72,0.47,2.63,7.46,,,,,,
Balance Sheet,Other Liabilities,,0.40,,,1.01,,,,1.23,,,,9.40,18.49,24.68,35.14,26.52,9.92,15.53,,,,,,
Balance Sheet,Total Liabilities,,7.67,,,9.43,,,,9.97,,,,26.91,104.68,280.54,455.40,192.11,30.04,65.40,,,,,,
Balance Sheet,Fixed Assets,,7.66,,,7.87,,,,7.70,,,,9.62,20.40,23.75,176.66,106.20,7.72,11.57,,,,,,
Balance Sheet,CWIP,,0.00,,,0.00,,,,0.00,,,,0.00,0.79,35.85,31.61,0.10,0.00,0.00,,,,,,
Balance Sheet,Investments,,0.00,,,0.00,,,,0.00,,,,0.00,2.71,23.66,15.96,0.00,0.00,0.00,,,,,,
Balance Sheet,Other Assets,,0.01,,,1.56,,,,2.27,,,,17.29,80.78,197.28,231.17,85.81,22.32,53.83,,,,,,
Balance Sheet,Total Assets,,7.67,,,9.43,,,,9.97,,,,26.91,104.68,280.54,455.40,192.11,30.04,65.40,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-0.16,,,0.38,,,,-1.02,,,,-0.57,-6.12,-25.90,60.95,78.03,-14.72,-13.00,,,,,,
Cash Flows,Cash from Investing Activity,,-8.20,,,-0.46,,,,-0.08,,,,-1.34,-14.80,-62.12,-163.46,-108.06,-1.06,-16.04,,,,,,
Cash Flows,Cash from Financing Activity,,8.33,,,0.81,,,,0.48,,,,6.74,39.50,117.66,109.94,-10.62,2.16,33.34,,,,,,
Cash Flows,Net Cash Flow,,-0.03,,,0.74,,,,-0.62,,,,4.83,18.58,29.64,7.43,-40.65,-13.62,4.30,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,165.47,,,,339.63,,,,388.52,139.78,173.79,77.35,25.11,38.63,71.41,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,165.47,,,,339.63,,,,388.52,139.78,173.79,77.35,25.11,38.63,71.41,,,,,,
Ratios,Working Capital Days,,,,,-51.10,,,,175.67,,,,405.39,151.18,153.99,99.26,28.12,47.06,89.20,,,,,,
Ratios,ROCE %,,,,,4.33%,,,,-1.86%,,,,10.96%,,31.72%,23.96%,-99.94%,-154.85%,7.80%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,97.00%,96.99%,96.89%,96.73%,96.67%,89.10%,89.10%,89.10%,89.10%,87.35%,87.35%,,,,,,,96.99%,,,,,
Shareholding Pattern (Quarterly),Public,,,3.00%,3.00%,3.11%,3.27%,3.33%,10.91%,10.90%,10.90%,10.90%,12.65%,12.64%,,,,,,,3.00%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,27512,25882,25004,24669,24342,25202,24470,23647,23238,23528,23129,,,,,,,27158,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,97.00%,,,96.89%,,,,89.10%,,,,87.35%,,,,,,,,35.67%,35.67%,35.67%,35.67%,0.25%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,1.56%,1.56%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,3.00%,,,3.11%,,,,10.90%,,,,12.64%,,,,,,,,62.77%,62.77%,64.33%,64.33%,99.75%
Shareholding Pattern (Yearly),No. of Shareholders,,28142,,,25004,,,,24470,,,,23129,,,,,,,,17589,17536,19568,19339,20476
,,,,,,,,,,,,,,,,,,,,,,,,,,
