Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,OPM %,,,,6%,,,,8%,,,,6%,13%,11%,9%,11%,11%,9%,13%,3%,6%
Profit & Loss,Other Income,,,,581,,,,472,,,,773,34,25,26,23,21,47,58,353,6225
Profit & Loss,Interest,,,,141,,,,188,,,,229,39,39,40,43,35,40,94,35,161
Profit & Loss,Depreciation,,,,455,,,,534,,,,523,86,105,136,143,141,178,291,117,345
Profit & Loss,Profit before tax,,,,232,,,,110,,,,278,231,193,160,255,254,247,339,282,5991
Profit & Loss,Tax %,,,,-44%,,,,-19%,,,,64%,27%,15%,37%,30%,22%,29%,39%,-19%,-1%
Profit & Loss,Net Profit,,,,334,,,,131,,,,101,170,165,100,179,199,176,206,336,6061
Profit & Loss,EPS in Rs,,,,63.22,,,,28.63,,,,26.10,41.15,39.86,24.31,43.27,48.23,42.49,48.43,80.39,1446.78
Profit & Loss,Dividend Payout %,,,,24%,,,,24%,,,,0%,24%,25%,31%,12%,10%,12%,21%,25%,15%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,53,,,,47,,,,47,21,21,21,21,21,21,21,21,42
Balance Sheet,Reserves,,,,8494,,,,7441,,,,7662,1431,1054,1168,1317,1499,1623,1699,2064,8034
Balance Sheet,Borrowings,,,,998,,,,2107,,,,1943,634,641,838,662,586,592,605,1180,1409
Balance Sheet,Other Liabilities,,,,1743,,,,1461,,,,1521,343,358,410,441,515,719,1720,1077,2121
Balance Sheet,Total Liabilities,,,,11288,,,,11056,,,,11172,2430,2073,2436,2440,2620,2955,4045,4342,11605
Balance Sheet,Fixed Assets,,,,2812,,,,2756,,,,2922,1088,772,936,949,919,1033,1733,1578,2176
Balance Sheet,CWIP,,,,13,,,,13,,,,9,2,4,14,32,1,5,5,3,9
Balance Sheet,Investments,,,,2753,,,,3300,,,,3643,7,9,10,5,11,15,10,5,2482
Balance Sheet,Other Assets,,,,5710,,,,4986,,,,4598,1332,1289,1476,1454,1689,1902,2297,2756,6938
Balance Sheet,Total Assets,,,,11288,,,,11056,,,,11172,2430,2073,2436,2440,2620,2955,4045,4342,11605
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,111,,,,192,,,,457,235,191,146,409,343,170,884,692,530
Cash Flows,Cash from Investing Activity,,,,32,,,,178,,,,502,-130,-62,-186,-120,-55,-226,-366,-217,1871
Cash Flows,Cash from Financing Activity,,,,-1108,,,,-808,,,,-898,-14,-90,-69,-246,-136,-83,-310,-476,-867
Cash Flows,Net Cash Flow,,,,-964,,,,-438,,,,61,91,40,-109,43,152,-138,208,-1,1534
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,59,,,,59,,,,63,68,53,50,46,78,95,72,173,61
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,59,,,,59,,,,63,68,53,50,46,78,95,72,173,61
Ratios,Working Capital Days,,,,197,,,,167,,,,454,50,45,49,37,28,51,45,156,61
Ratios,ROCE %,,,,2%,,,,2%,,,,3%,14%,12%,11%,15%,15%,13%,20%,1%,2%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,67.13%,67.13%,66.59%,66.59%,67.72%,67.72%,67.72%,67.72%,67.99%,67.99%,67.99%,67.99%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,8.10%,15.44%,13.40%,12.40%,12.51%,12.41%,12.39%,12.49%,12.51%,12.88%,11.98%,11.93%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.09%,0.07%,0.28%,0.29%,0.28%,0.28%,0.27%,0.23%,0.23%,0.24%,0.24%,0.01%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,24.67%,17.36%,19.73%,20.72%,19.51%,19.60%,19.63%,19.56%,19.27%,18.89%,19.79%,20.06%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,71668,60389,69979,125388,70885,69894,67696,65503,63625,65101,65532,64418,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,66.59%,,,,67.72%,,,,67.99%,,,,67.64%,67.45%,67.32%,67.24%,67.20%,67.13%
Shareholding Pattern (Yearly),FIIs,,,,12.40%,,,,12.49%,,,,11.93%,,,,7.39%,8.18%,8.81%,11.53%,11.16%,6.08%
Shareholding Pattern (Yearly),DIIs,,,,0.29%,,,,0.23%,,,,0.01%,,,,3.03%,2.23%,1.83%,0.01%,0.00%,0.11%
Shareholding Pattern (Yearly),Public,,,,20.72%,,,,19.56%,,,,20.06%,,,,21.95%,22.13%,22.04%,21.22%,21.64%,26.67%
Shareholding Pattern (Yearly),No. of Shareholders,,,,125388,,,,65503,,,,64418,,,,13461,15177,12963,11806,13060,71608
,,,,,,,,,,,,,,,,,,,,,,
