Section,,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Borrowings,9.41,34.76,59.75,70.50,56.00,53.25,24.23,52.11,59.01,54.01,49.87,31.31,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,3.00,1.79,2.35,3.07,2.00,2.39,1.13,0.81,1.06,2.28,3.35,3.92,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,36.69,59.85,84.60,99.84,84.30,82.59,57.98,92.34,101.43,101.29,99.89,86.88,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,2.97,2.42,2.26,2.24,2.18,2.14,0.82,0.89,0.81,0.61,0.57,1.28,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Balance Sheet,Investments,24.71,23.59,21.22,28.08,28.08,28.08,48.12,48.28,48.24,48.26,48.22,47.92,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,9.01,33.84,61.12,69.52,54.04,52.37,9.04,43.17,52.38,52.42,51.10,37.68,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,36.69,59.85,84.60,99.84,84.30,82.59,57.98,92.34,101.43,101.29,99.89,86.88,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-0.52,-1.39,-0.06,-6.77,4.42,1.11,38.64,-28.03,-12.71,3.17,3.27,15.07,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-3.11,-24.03,-24.65,-3.43,9.34,1.50,-9.00,4.18,1.37,1.90,0.87,3.19,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,3.70,25.35,24.99,10.75,-14.50,-2.80,-28.97,27.90,6.89,-4.99,-4.14,-18.56,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,0.07,-0.07,0.28,0.55,-0.74,-0.19,0.67,4.05,-4.45,0.09,-0.01,-0.30,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,16.00,4.76,21.63,57.13,11.37,23.25,8.12,7.99,8.36,10.05,10.38,0.00,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,16.00,4.76,21.63,57.13,11.37,23.25,8.12,7.99,8.36,10.05,10.38,0.00,,,,,,,,,,,,,,,
Ratios,Working Capital Days,846.33,2164.85,1802.44,1071.51,-90.60,-131.84,92.40,927.98,1417.91,1270.09,1265.02,908.07,,,,,,,,,,,,,,,
Ratios,ROCE %,,11.53%,11.93%,11.91%,10.93%,11.14%,21.77%,17.66%,10.53%,11.97%,10.89%,12.42%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,24.72%,24.72%,24.72%,24.72%,24.72%,24.72%,24.72%,24.72%,24.72%,24.72%,24.72%,24.72%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,75.28%,75.28%,75.28%,75.27%,75.28%,75.27%,75.27%,75.26%,75.27%,75.28%,75.27%,75.27%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,9561,9529,9522,9497,9452,9412,9587,10542,12182,15471,18082,20189,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,24.46%,24.72%,24.72%,,,,24.72%,,,,24.72%,,,,24.72%,24.72%,24.72%,24.72%
Shareholding Pattern (Yearly),Public,,,,,,,,,,75.54%,75.28%,75.28%,,,,75.27%,,,,75.26%,,,,75.27%,75.28%,75.28%,75.28%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,7617,9150,9126,,,,9497,,,,10542,,,,20189,9175,9030,9545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
