Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 201415m,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2014,Mar 2016,Jun 2025
Ratios,Cash Conversion Cycle,49,,,,49,,,,37,,,,42,,85,,46,56,59,72,32,130,50,
Ratios,Working Capital Days,49,,,,78,,,,138,,,,173,,-14,,-57,-40,47,29,70,128,-120,
Ratios,ROCE %,11%,,,,16%,,,,-1%,,,,8%,,2%,,8%,8%,7%,3%,6%,8%,2%,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,69.96%,69.96%,69.96%,69.95%,69.95%,69.95%,69.89%,69.88%,69.87%,69.86%,69.86%,,,,,,,,,,,67.61%
Shareholding Pattern (Quarterly),FIIs,,,11.21%,11.21%,11.21%,11.26%,11.22%,11.22%,11.22%,11.22%,11.29%,11.25%,11.24%,,,,,,,,,,,10.92%
Shareholding Pattern (Quarterly),Public,,,18.83%,18.84%,18.84%,18.79%,18.83%,18.83%,18.91%,18.91%,18.82%,18.89%,18.91%,,,,,,,,,,,21.46%
Shareholding Pattern (Quarterly),No. of Shareholders,,,10608,10381,10090,10759,12326,11881,14211,13433,12621,12669,12430,,,,,,,,,,,12395
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,69.96%,,,,69.96%,,,,69.89%,,,,69.86%,,,,35.00%,34.97%,34.96%,34.96%,70.02%,,,67.61%
Shareholding Pattern (Yearly),FIIs,11.21%,,,,11.21%,,,,11.22%,,,,11.24%,,,,10.07%,9.97%,9.99%,11.30%,11.19%,,,10.92%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.01%,0.02%,0.01%,0.17%,0.00%,,,0.00%
Shareholding Pattern (Yearly),Public,18.83%,,,,18.84%,,,,18.91%,,,,18.91%,,,,54.92%,55.04%,55.04%,53.57%,18.79%,,,21.46%
Shareholding Pattern (Yearly),No. of Shareholders,10310,,,,10090,,,,14211,,,,12430,,,,9088,10930,10292,9757,10724,,,12395
,,,,,,,,,,,,,,,,,,,,,,,,,
