Section,,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Other Assets,94,95,97,74,93,95,88,101,118,344,1003,118,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,130,142,134,117,151,149,141,149,165,384,1036,165,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,42,4,16,21,4,1,13,13,28,19,38,-7,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,13,-16,5,-11,-21,13,-4,-4,-4,-1,2,-15,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-51,7,-3,-22,15,-11,-14,-11,-20,-12,-21,-7,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,4,-5,17,-12,-2,2,-5,-1,4,6,19,-29,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,58,64,50,32,49,36,42,39,18,18,36,3,,,,,,,,,,,,,,,
Ratios,Inventory Days,40,48,44,41,45,40,37,58,32,23,45,4,,,,,,,,,,,,,,,
Ratios,Days Payable,94,128,92,42,54,51,49,59,38,43,86,8,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,4,-16,2,30,40,26,31,39,11,-1,-6,-0,,,,,,,,,,,,,,,
Ratios,Working Capital Days,83,88,80,4,17,23,26,24,3,-0,-2,0,,,,,,,,,,,,,,,
Ratios,ROCE %,6%,-0%,8%,8%,9%,4%,9%,10%,10%,11%,24%,19%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,59.91%,59.91%,59.91%,59.91%,59.91%,59.91%,59.91%,59.91%,59.91%,59.91%,59.91%,59.91%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,0.26%,0.42%,0.46%,0.09%,0.01%,0.00%,0.00%,0.25%,0.01%,0.03%,0.00%,0.03%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,39.82%,39.64%,39.61%,39.98%,40.07%,40.07%,40.07%,39.82%,40.07%,40.06%,40.08%,40.04%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,44683,43970,42494,43605,44199,46665,47760,48602,48792,43589,42002,41652,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,59.96%,59.96%,59.96%,,,,59.91%,,,,59.91%,,,,59.91%,59.84%,59.84%,59.91%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,0.00%,0.09%,0.00%,,,,0.09%,,,,0.25%,,,,0.03%,0.00%,0.00%,0.43%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,0.44%,0.05%,0.22%,,,,0.02%,,,,0.02%,,,,0.02%,0.03%,0.01%,0.01%
Shareholding Pattern (Yearly),Public,,,,,,,,,,39.60%,39.90%,39.82%,,,,39.98%,,,,39.82%,,,,40.04%,40.13%,40.15%,39.65%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,28318,35568,37028,,,,43605,,,,48602,,,,41652,37600,37741,43722
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
