Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,37,35,18,27,30,30,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,200,206,244,216,193,163,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,710,742,549,599,366,333,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-473,-500,-287,-355,-142,-139,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,2,3,22,32,-44,20,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,13%,11%,10%,12%,13%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,13.36%,13.41%,13.42%,13.41%,13.75%,13.88%,13.81%,13.68%,13.74%,13.75%,13.77%,13.70%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,11.65%,11.60%,11.59%,11.59%,11.25%,11.11%,11.20%,11.33%,11.27%,11.25%,11.25%,11.29%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,10122,10575,10668,10792,10503,11918,13128,13920,16685,22665,23857,24349,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,75.00%,,,,75.00%,,,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,13.41%,,,,13.68%,,,,13.70%,0.00%,0.00%,0.00%,0.00%,0.00%,13.31%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,14.26%,14.19%,14.21%,13.21%,13.21%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,11.59%,,,,11.33%,,,,11.29%,10.74%,10.81%,10.80%,11.79%,11.79%,11.70%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,10792,,,,13920,,,,24349,5830,5181,5783,5927,7774,10332
,,,,,,,,,,,,,,,,,,,,,,,,,
