Section,,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2022,Apr 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,Other Income,,,-2,,,,4,,,,5,,,,,,,,
Profit & Loss,Interest,,,3,,,,7,,,,8,,,,,,,,
Profit & Loss,Depreciation,,,4,,,,6,,,,17,,,,,,,,
Profit & Loss,Profit before tax,,,3,,,,26,,,,40,,,,,,,,
Profit & Loss,Tax %,,,52%,,,,29%,,,,31%,,,,,,,,
Profit & Loss,Net Profit,,,2,,,,19,,,,27,,,,,,,,
Profit & Loss,EPS in Rs,,,1.34,,,,14.11,,,,18.70,,,,,,,,
Profit & Loss,Dividend Payout %,,,7%,,,,7%,,,,7%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,12,,,,13,,,,14,,,,,,,,
Balance Sheet,Reserves,,,63,,,,148,,,,218,,,,,,,,
Balance Sheet,Borrowings,,,49,,,,73,,,,77,,,,,,,,
Balance Sheet,Other Liabilities,,,30,,,,82,,,,133,,,,,,,,
Balance Sheet,Total Liabilities,,,153,,,,316,,,,442,,,,,,,,
Balance Sheet,Fixed Assets,,,35,,,,119,,,,138,,,,,,,,
Balance Sheet,CWIP,,,10,,,,22,,,,33,,,,,,,,
Balance Sheet,Investments,,,1,,,,17,,,,10,,,,,,,,
Balance Sheet,Other Assets,,,107,,,,158,,,,261,,,,,,,,
Balance Sheet,Total Assets,,,153,,,,316,,,,442,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-31,,,,18,,,,25,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-56,,,,-124,,,,-60,,,,,,,,
Cash Flows,Cash from Financing Activity,,,96,,,,111,,,,30,,,,,,,,
Cash Flows,Net Cash Flow,,,9,,,,5,,,,-5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,123,,,,54,,,,109,,,,,,,,
Ratios,Inventory Days,,,52,,,,44,,,,11,,,,,,,,
Ratios,Days Payable,,,20,,,,46,,,,76,,,,,,,,
Ratios,Cash Conversion Cycle,,,155,,,,53,,,,43,,,,,,,,
Ratios,Working Capital Days,,,105,,,,65,,,,59,,,,,,,,
Ratios,ROCE %,,,,,,,16%,,,,16%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,62.97%,55.32%,55.32%,55.32%,49.96%,49.96%,49.96%,53.08%,53.08%,53.08%,62.97%,53.74%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,1.42%,2.04%,3.88%,10.43%,11.03%,9.58%,7.80%,8.27%,8.72%,0.00%,8.62%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.99%,1.63%,1.23%,0.87%,0.78%,0.78%,0.74%,0.49%,0.46%,0.45%,0.91%,0.53%,,,,,,
Shareholding Pattern (Quarterly),Public,,36.04%,41.63%,41.40%,39.91%,38.83%,38.23%,39.70%,38.64%,38.19%,37.76%,36.13%,37.09%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,3062,4151,4854,5421,7276,16238,23900,31136,33460,35000,2340,35255,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,55.32%,,,,49.96%,,,,53.08%,,53.74%,35.18%,33.87%,29.58%,58.47%,62.64%,62.85%
Shareholding Pattern (Yearly),FIIs,,,1.42%,,,,11.03%,,,,8.72%,,8.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,1.63%,,,,0.78%,,,,0.45%,,0.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,41.63%,,,,38.23%,,,,37.76%,,37.09%,64.82%,66.13%,70.42%,41.53%,37.36%,37.15%
Shareholding Pattern (Yearly),No. of Shareholders,,,4151,,,,16238,,,,35000,,35255,83,102,106,105,362,1420
,,,,,,,,,,,,,,,,,,,,
