Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Reserves,-50.08,-49.11,-48.61,-48.64,-48.62,-48.75,-48.94,-48.90,-49.02,-49.22,-35.99,-34.45,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,17.00,17.00,16.00,15.25,15.25,15.25,15.25,15.25,15.00,15.00,15.00,15.00,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,18.54,18.00,8.22,7.73,7.79,7.82,7.83,7.82,8.24,8.21,0.44,0.49,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,12.62,13.05,2.77,1.50,1.58,1.48,1.30,1.33,1.38,1.15,6.61,8.20,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,1.02,0.90,0.64,0.62,0.60,0.58,0.57,0.55,0.31,0.17,0.14,0.12,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,
Balance Sheet,Investments,8.29,8.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,5.90,7.63,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,3.31,3.34,2.13,0.88,0.98,0.90,0.73,0.78,1.07,0.65,0.57,0.45,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,12.62,13.05,2.77,1.50,1.58,1.48,1.30,1.33,1.38,1.15,6.61,8.20,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-0.54,-0.54,0.53,-0.49,-0.08,-0.13,-0.19,-0.12,0.10,-0.36,-0.29,-0.34,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,0.41,0.41,1.02,0.08,0.21,0.06,0.16,0.04,0.42,-0.03,0.30,0.50,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,0.00,0.00,-1.00,-0.75,0.00,0.00,0.00,0.00,-0.25,0.00,0.00,0.00,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-0.13,-0.13,0.55,-1.16,0.13,-0.07,-0.03,-0.08,0.28,-0.40,0.00,0.16,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,5309.09,804.06,22.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,1216.67,189.26,821.25,730.00,912.50,547.50,,1003.75,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,3619.58,621.85,3102.50,0.00,0.00,0.00,,91.25,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,5309.09,-1598.86,-410.47,-2281.25,730.00,912.50,547.50,0.00,912.50,0.00,0.00,0.00,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,-55513.18,-8479.64,-4429.77,-13888.25,-28105.00,-40462.86,-34857.50,-13596.25,-23907.50,-26180.45,-1642.50,-2137.86,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,-4.61%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,45.67%,45.67%,45.67%,45.67%,45.67%,45.67%,45.67%,45.67%,45.67%,45.67%,45.67%,45.67%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,54.32%,54.32%,54.32%,54.32%,54.31%,54.31%,54.31%,54.32%,54.32%,54.32%,54.31%,54.32%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,29026,29314,29360,29304,29214,29130,29125,29292,29345,29563,30083,30053,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,45.67%,45.67%,,,,45.67%,,,,45.67%,,,,45.67%,45.67%,45.67%,45.67%,45.67%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,0.01%,0.05%,,,,0.01%,,,,0.01%,,,,0.01%,0.05%,0.05%,0.01%,0.01%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,54.32%,54.28%,,,,54.32%,,,,54.32%,,,,54.32%,54.28%,54.28%,54.32%,54.32%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,29232,29086,,,,29304,,,,29292,,,,30053,29044,29016,29018,29015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
