Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2007,Mar 2008,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash Flows,Cash from Financing Activity,,,,-39,,,,-10,,,,-28,-16,-1,,,,,,
Cash Flows,Net Cash Flow,,,,5,,,,-2,,,,11,-9,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,26,,,,33,,,,32,24,32,,,,,,
Ratios,Inventory Days,,,,83,,,,104,,,,115,57,75,,,,,,
Ratios,Days Payable,,,,81,,,,115,,,,103,70,112,,,,,,
Ratios,Cash Conversion Cycle,,,,29,,,,22,,,,44,11,-6,,,,,,
Ratios,Working Capital Days,,,,43,,,,54,,,,55,25,23,,,,,,
Ratios,ROCE %,,,,,,,,7%,,,,8%,,3%,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.15%,74.00%,74.00%,73.95%,73.86%,73.59%,73.59%,73.54%,73.40%,73.40%,66.00%,65.99%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.26%,0.22%,0.11%,0.10%,0.09%,0.09%,0.09%,0.10%,0.11%,0.03%,3.47%,3.76%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.13%,0.07%,0.05%,0.40%,0.03%,,,,,,,,
Shareholding Pattern (Quarterly),Public,25.44%,25.63%,25.75%,25.82%,25.90%,26.18%,26.18%,26.25%,26.42%,26.52%,30.15%,30.21%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,11733,11693,12321,11905,11210,10864,10928,11208,10765,8657,9067,9560,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,73.95%,,,,73.54%,,,,65.99%,,,65.15%,70.00%,70.00%,72.50%,72.41%,74.24%
Shareholding Pattern (Yearly),FIIs,,,,0.10%,,,,0.10%,,,,3.76%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%
Shareholding Pattern (Yearly),DIIs,,,,0.15%,,,,0.13%,,,,0.03%,,,0.45%,0.29%,0.26%,0.24%,0.24%,0.15%
Shareholding Pattern (Yearly),Public,,,,25.82%,,,,26.25%,,,,30.21%,,,34.40%,29.71%,29.73%,27.26%,27.35%,25.36%
Shareholding Pattern (Yearly),No. of Shareholders,,,,11905,,,,11208,,,,9560,,,8958,8483,8216,7680,6970,11221
,,,,,,,,,,,,,,,,,,,,,
