Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Cash Flows,Net Cash Flow,3989,,,,-1445,,,,376,,,,-1214,307,311,,588,378,4244,-2141,2761,-623
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,88,,,,92,,,,85,,,,61,65,65,,64,70,71,73,85,91
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,88,,,,92,,,,85,,,,61,65,65,,64,70,71,73,85,91
Ratios,Working Capital Days,48,,,,47,,,,35,,,,51,10,29,,38,59,49,27,52,64
Ratios,ROCE %,25%,,,,28%,,,,30%,,,,32%,45%,40%,,34%,31%,31%,27%,26%,28%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,60.72%,60.72%,60.72%,60.82%,60.82%,60.82%,60.82%,60.82%,60.82%,60.82%,60.82%,60.82%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,17.91%,17.17%,18.29%,18.92%,18.98%,18.80%,19.42%,19.65%,18.45%,18.67%,19.38%,19.15%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,15.54%,16.52%,15.85%,15.28%,15.33%,15.62%,15.12%,14.95%,15.77%,15.78%,15.21%,15.44%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.04%,0.04%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,5.59%,5.34%,4.89%,4.74%,4.63%,4.54%,4.40%,4.35%,4.65%,4.53%,4.42%,4.37%,,,,,,,,,
Shareholding Pattern (Quarterly),Others,,0.23%,0.23%,0.23%,0.23%,0.23%,0.21%,0.21%,0.21%,0.28%,0.18%,0.13%,0.18%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,995796,1089317,991548,940079,909359,879120,852902,855960,950147,875164,868735,880722,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,60.72%,,,,60.82%,,,,60.82%,,,,60.82%,,,,59.68%,60.18%,60.00%,60.33%,60.33%,
Shareholding Pattern (Yearly),FIIs,18.97%,,,,18.92%,,,,19.65%,,,,19.15%,,,,24.56%,26.54%,28.74%,26.42%,24.14%,
Shareholding Pattern (Yearly),DIIs,14.68%,,,,15.28%,,,,14.95%,,,,15.44%,,,,7.74%,9.78%,7.67%,9.11%,10.54%,
Shareholding Pattern (Yearly),Government,0.02%,,,,0.02%,,,,0.02%,,,,0.04%,,,,0.00%,0.01%,0.01%,0.04%,0.02%,
Shareholding Pattern (Yearly),Public,5.38%,,,,4.74%,,,,4.35%,,,,4.37%,,,,8.02%,3.49%,3.58%,4.10%,4.97%,
Shareholding Pattern (Yearly),Others,0.23%,,,,0.23%,,,,0.21%,,,,0.18%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),No. of Shareholders,908055,,,,940079,,,,855960,,,,880722,,,,174681,145973,154700,215542,517847,
,,,,,,,,,,,,,,,,,,,,,,,
