Section,,Mar 2006,Mar 2007,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash Flows,Cash from Financing Activity,36,58,-87,-89,-2,46,-6,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,1,30,15,-4,11,-32,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,34,35,42,34,28,37,43,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,19,28,23,18,19,25,22,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,48,44,64,65,57,77,74,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,5,19,0,-13,-10,-15,-10,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,9,20,10,-7,-6,-10,-6,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,16%,,16%,11%,3%,3%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,57.31%,56.35%,55.56%,55.41%,55.41%,55.41%,54.72%,54.72%,54.11%,54.11%,53.65%,53.32%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,0.00%,0.08%,0.00%,0.00%,0.00%,0.02%,0.29%,0.14%,0.00%,0.09%,0.21%,0.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.02%,0.03%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,42.69%,43.56%,44.45%,44.57%,44.58%,44.57%,44.98%,45.15%,44.87%,45.77%,46.14%,46.67%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,14282,16139,16836,16818,16393,15916,14984,13800,13041,13108,13521,13639,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,55.41%,,,,54.72%,,,,53.32%,56.24%,54.59%,56.99%,56.77%,57.88%,57.67%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,0.00%,,,,0.14%,,,,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.09%,3.21%,1.59%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.59%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,44.57%,,,,45.15%,,,,46.67%,43.67%,41.54%,41.41%,43.22%,42.12%,42.33%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,16818,,,,13800,,,,13639,10811,12180,12446,12312,12766,14188
,,,,,,,,,,,,,,,,,,,,,,,,,,
