Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Ratios,Cash Conversion Cycle,,-94,,,,-80,,,,-80,,,,-72,-90,-71,-100,-134,-101,,
Ratios,Working Capital Days,,-139,,,,-150,,,,-159,,,,-105,-212,-244,-477,-500,-124,,
Ratios,ROCE %,,1%,,,,-0%,,,,2%,,,,,4%,-7%,3%,1%,2%,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,,,,,,,,53.33%
Shareholding Pattern (Quarterly),FIIs,,,0.17%,0.00%,0.00%,0.00%,0.00%,0.27%,0.00%,0.08%,0.00%,0.00%,0.00%,,,,,,,,0.00%
Shareholding Pattern (Quarterly),DIIs,,,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,0.00%
Shareholding Pattern (Quarterly),Public,,,46.49%,46.66%,46.67%,46.67%,46.66%,46.39%,46.66%,46.59%,46.66%,46.65%,46.66%,,,,,,,,46.66%
Shareholding Pattern (Quarterly),No. of Shareholders,,,17773,18089,19122,18875,18372,18507,20673,21535,21990,21674,21485,,,,,,,,21366
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,53.33%,,,,53.33%,,,,53.33%,,,,48.60%,48.60%,50.96%,53.33%,53.33%,53.33%,,53.33%
Shareholding Pattern (Yearly),FIIs,,0.30%,,,,0.00%,,,,0.08%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%
Shareholding Pattern (Yearly),DIIs,,0.01%,,,,0.00%,,,,0.00%,,,,0.93%,0.03%,0.02%,0.01%,0.01%,0.01%,,0.00%
Shareholding Pattern (Yearly),Public,,46.36%,,,,46.67%,,,,46.59%,,,,50.46%,51.37%,49.02%,46.65%,46.66%,46.66%,,46.66%
Shareholding Pattern (Yearly),No. of Shareholders,,17990,,,,18875,,,,21535,,,,15077,16708,15498,15151,14816,14515,,21366
,,,,,,,,,,,,,,,,,,,,,,
