Section,,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Jun 2023
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,26,,,,,,58,,,,137,15,21,1,23,0,-37,64,14,79,,
Cash Flows,Cash from Investing Activity,,,-5,,,,,,-44,,,,-17,-4,-1,-9,-4,-12,0,-19,-22,-7,,
Cash Flows,Cash from Financing Activity,,,-31,,,,,,-19,,,,-94,-11,-3,-9,-9,19,32,-33,-13,-61,,
Cash Flows,Net Cash Flow,,,-10,,,,,,-5,,,,26,-0,17,-17,10,7,-4,11,-22,12,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,51,,,,,,61,,,,63,73,77,78,107,63,73,60,90,86,,
Ratios,Inventory Days,,,70,,,,,,77,,,,64,69,77,59,58,56,60,52,62,70,,
Ratios,Days Payable,,,60,,,,,,45,,,,63,65,81,57,109,85,84,67,72,87,,
Ratios,Cash Conversion Cycle,,,61,,,,,,93,,,,64,77,72,81,56,34,50,45,79,69,,
Ratios,Working Capital Days,,,55,,,,,,71,,,,59,53,48,61,67,93,145,112,113,65,,
Ratios,ROCE %,,,20%,,,,,,,,,,20%,,10%,10%,17%,12%,11%,14%,12%,6%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,56.90%,56.90%,56.90%,56.90%,56.90%,56.90%,56.94%,56.94%,53.24%,53.71%,,,,,,,,,,56.90%,56.90%
Shareholding Pattern (Quarterly),FIIs,,,,0.20%,0.31%,0.23%,0.13%,0.30%,0.10%,0.06%,0.05%,0.06%,0.03%,,,,,,,,,,0.32%,0.22%
Shareholding Pattern (Quarterly),DIIs,,,,6.70%,4.80%,4.44%,4.02%,4.43%,5.74%,10.21%,12.00%,10.31%,11.00%,,,,,,,,,,2.99%,2.79%
Shareholding Pattern (Quarterly),Public,,,,36.19%,37.99%,38.42%,38.96%,38.38%,37.25%,32.78%,31.02%,36.39%,35.27%,,,,,,,,,,39.78%,40.08%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,14727,17443,18228,28059,30274,32575,29283,30665,41468,40702,,,,,,,,,,19306,23209
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,56.90%,,,,,,56.90%,,,,53.71%,,,,,56.69%,56.69%,56.70%,56.75%,56.89%,56.90%,
Shareholding Pattern (Yearly),FIIs,,,0.22%,,,,,,0.10%,,,,0.03%,,,,,0.00%,0.00%,0.00%,0.03%,0.00%,0.32%,
Shareholding Pattern (Yearly),DIIs,,,6.72%,,,,,,5.74%,,,,11.00%,,,,,16.60%,15.73%,15.90%,15.91%,10.55%,2.99%,
Shareholding Pattern (Yearly),Public,,,36.16%,,,,,,37.25%,,,,35.27%,,,,,26.71%,27.58%,27.40%,27.31%,32.55%,39.78%,
Shareholding Pattern (Yearly),No. of Shareholders,,,14549,,,,,,32575,,,,40702,,,,,13709,13894,13923,12888,14475,19306,
,,,,,,,,,,,,,,,,,,,,,,,,,
