Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Profit & Loss,Other Income,84,,,,92,,,,121,,,,124,10,15,36,52,50,73,72,81,
Profit & Loss,Interest,308,,,,249,,,,246,,,,196,173,188,164,150,198,236,682,601,
Profit & Loss,Depreciation,72,,,,68,,,,78,,,,90,69,72,60,64,54,62,72,79,
Profit & Loss,Profit before tax,237,,,,145,,,,74,,,,133,370,372,257,258,317,448,433,75,
Profit & Loss,Tax %,27%,,,,28%,,,,34%,,,,29%,37%,34%,46%,38%,32%,34%,35%,17%,
Profit & Loss,Net Profit,173,,,,104,,,,49,,,,95,234,244,138,161,217,297,282,62,
Profit & Loss,EPS in Rs,16.19,,,,9.74,,,,4.59,,,,8.86,21.25,21.52,12.48,14.80,20.27,27.76,26.32,5.82,
Profit & Loss,Dividend Payout %,16%,,,,27%,,,,58%,,,,34%,29%,29%,14%,15%,31%,22%,24%,53%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,95,,,,95,,,,95,,,,107,98,98,98,96,95,95,95,95,
Balance Sheet,Reserves,2328,,,,2400,,,,2419,,,,4454,2193,2334,2467,2548,2675,2134,2336,2333,
Balance Sheet,Borrowings,2529,,,,2027,,,,1940,,,,1183,1404,2059,2180,2222,2331,2604,3131,3052,
Balance Sheet,Other Liabilities,6578,,,,8054,,,,9228,,,,11461,1814,1666,3317,4027,3924,5907,5448,5729,
Balance Sheet,Total Liabilities,11530,,,,12576,,,,13682,,,,17205,5509,6157,8062,8893,9025,10740,11010,11208,
Balance Sheet,Fixed Assets,852,,,,899,,,,946,,,,1005,335,315,373,595,610,678,919,903,
Balance Sheet,CWIP,0,,,,2,,,,5,,,,0,41,52,45,1,0,0,0,0,
Balance Sheet,Investments,115,,,,115,,,,115,,,,115,0,0,229,0,112,113,114,114,
Balance Sheet,Other Assets,10564,,,,11560,,,,12615,,,,16085,5134,5789,7415,8298,8302,9949,9976,10191,
Balance Sheet,Total Assets,11530,,,,12576,,,,13682,,,,17205,5509,6157,8062,8893,9025,10740,11010,11208,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,826,,,,1150,,,,647,,,,200,395,-216,388,354,353,206,294,613,
Cash Flows,Cash from Investing Activity,38,,,,-237,,,,-475,,,,-1180,-126,-60,-245,2,-129,-61,-307,-33,
Cash Flows,Cash from Financing Activity,-889,,,,-773,,,,-338,,,,993,-246,337,-133,-345,-243,-86,-84,-483,
Cash Flows,Net Cash Flow,-25,,,,140,,,,-166,,,,13,23,61,11,10,-18,58,-97,96,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,50,,,,17,,,,19,,,,17,41,26,47,37,43,35,35,34,
Ratios,Inventory Days,,,,,10072,,,,,,,,10343,,,,,5289,,,,
Ratios,Days Payable,,,,,688,,,,,,,,519,,,,,788,,,,
Ratios,Cash Conversion Cycle,50,,,,9401,,,,19,,,,9841,41,26,47,37,4544,35,35,34,
Ratios,Working Capital Days,459,,,,220,,,,161,,,,138,480,545,974,629,527,326,380,613,
Ratios,ROCE %,10%,,,,8%,,,,7%,,,,6%,15%,14%,9%,8%,10%,14%,21%,12%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,51.99%,51.99%,52.26%,52.28%,52.28%,52.28%,52.28%,52.28%,52.78%,52.78%,52.88%,,,,,,,,,52.88%
Shareholding Pattern (Quarterly),FIIs,,,15.55%,15.06%,13.76%,12.74%,11.22%,11.13%,11.87%,11.48%,10.93%,10.03%,8.91%,,,,,,,,,8.14%
Shareholding Pattern (Quarterly),DIIs,,,13.71%,13.75%,13.62%,12.21%,14.95%,17.23%,17.55%,18.60%,23.44%,24.16%,23.98%,,,,,,,,,25.04%
Shareholding Pattern (Quarterly),Public,,,18.76%,19.20%,20.35%,22.76%,21.54%,19.36%,18.28%,17.65%,12.87%,13.04%,14.23%,,,,,,,,,13.93%
Shareholding Pattern (Quarterly),No. of Shareholders,,,91588,90718,92441,104904,102773,87981,100295,104994,111676,117193,126931,,,,,,,,,125795
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,51.99%,,,,52.26%,,,,52.28%,,,,52.88%,,,,60.24%,55.94%,55.97%,51.78%,51.99%,52.88%
Shareholding Pattern (Yearly),FIIs,16.16%,,,,13.76%,,,,11.87%,,,,8.91%,,,,27.98%,28.53%,24.61%,23.37%,18.08%,8.14%
Shareholding Pattern (Yearly),DIIs,13.39%,,,,13.62%,,,,17.55%,,,,23.98%,,,,7.57%,10.65%,13.67%,15.49%,12.47%,25.04%
Shareholding Pattern (Yearly),Public,18.47%,,,,20.35%,,,,18.28%,,,,14.23%,,,,4.21%,4.88%,5.75%,9.35%,17.47%,13.93%
Shareholding Pattern (Yearly),No. of Shareholders,87092,,,,92441,,,,100295,,,,126931,,,,51921,52949,53989,60990,66966,125795
,,,,,,,,,,,,,,,,,,,,,,,
