Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Ratios,Inventory Days,145,,,,249,,,,249,,,,229,319,336,199,136,176,640,256,417,,,,,
Ratios,Days Payable,177,,,,213,,,,257,,,,320,261,197,174,145,220,201,150,218,,,,,
Ratios,Cash Conversion Cycle,-4,,,,59,,,,16,,,,-69,118,171,73,29,10,484,142,238,,,,,
Ratios,Working Capital Days,-15,,,,-10,,,,-28,,,,-64,95,80,62,47,113,73,61,70,,,,,
Ratios,ROCE %,,,,,-4%,,,,-2%,,,,-9%,,26%,39%,36%,14%,10%,16%,12%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.48%,0.09%,0.05%,0.11%,0.04%,0.06%,0.04%,0.03%,0.04%,0.08%,0.03%,0.04%,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.13%,0.11%,0.11%,0.09%,0.09%,0.09%,0.09%,0.11%,0.09%,0.09%,0.09%,0.09%,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,24.39%,24.80%,24.84%,24.80%,24.87%,24.86%,24.87%,24.87%,24.86%,24.82%,24.87%,24.86%,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,20364,20848,20594,19891,19173,18586,18684,17622,17256,16949,16394,16084,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,75.00%,,,,75.00%,,,,75.00%,,,,75.00%,,,,,,,,,75.00%,75.00%,75.00%,75.00%,75.00%
Shareholding Pattern (Yearly),FIIs,0.56%,,,,0.11%,,,,0.03%,,,,0.04%,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.02%
Shareholding Pattern (Yearly),DIIs,0.13%,,,,0.09%,,,,0.11%,,,,0.09%,,,,,,,,,0.17%,0.13%,0.13%,0.13%,0.13%
Shareholding Pattern (Yearly),Public,24.31%,,,,24.80%,,,,24.87%,,,,24.86%,,,,,,,,,24.83%,24.87%,24.87%,24.87%,24.85%
Shareholding Pattern (Yearly),No. of Shareholders,20530,,,,19891,,,,17622,,,,16084,,,,,,,,,8678,7363,7074,6993,13651
,,,,,,,,,,,,,,,,,,,,,,,,,,,
