Section,,Mar 20069m,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 201318m,Mar 20146m,Mar 2015,Mar 2016,Mar 2006,Sep 2013,Mar 2014,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Total Liabilities,,532,469,415,416,420,349,,,70,52,477,266,189,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,186,164,154,139,128,109,,,29,27,199,118,39,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,2,6,4,4,2,19,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,89,96,95,102,101,80,,,0,0,78,16,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,255,202,163,171,190,141,,,41,24,200,131,150,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,532,469,415,416,420,349,,,70,52,477,266,189,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-21,-53,-45,9,-102,-101,,,33,9,-29,-109,-24,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,62,101,47,57,76,102,,,1,0,-4,143,78,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,12,-97,-6,-35,25,-10,,,-35,-9,-15,-47,-61,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,54,-49,-3,31,-1,-9,,,-1,-0,-48,-13,-6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,22,25,10,8,9,14,,,31,505,44,10,36,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,78,61,59,59,68,53,,,279,774,96,50,37,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,126,109,101,126,115,75,,,674,2785,187,50,119,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,-26,-23,-33,-59,-37,-8,,,-364,-1506,-47,11,-46,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,-18,-3,-20,-62,-43,-59,,,-1737,-50595,-26,-46,-140,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,-16%,-13%,-32%,-39%,-43%,-69%,,,,,,-113%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,32.34%,32.33%,32.33%,32.33%,32.33%,32.33%,32.33%,32.33%,32.33%,32.33%,32.33%,32.33%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.04%,0.05%,0.06%,0.07%,0.16%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,1.32%,3.14%,3.14%,3.14%,3.14%,3.14%,3.14%,2.65%,2.63%,2.47%,2.47%,2.47%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,66.32%,64.49%,64.49%,64.49%,64.50%,64.49%,64.49%,64.98%,64.98%,65.12%,65.10%,65.03%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,186534,202413,200280,197741,195784,196306,199245,210560,247511,255134,260205,268037,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,,,,32.33%,,,,32.33%,,,,32.33%,32.34%,32.34%,32.34%,32.34%,32.34%,32.34%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,,,,,,0.02%,,,,0.04%,,,,0.16%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,,,,3.14%,,,,2.65%,,,,2.47%,5.85%,4.89%,4.89%,4.89%,4.88%,1.32%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,,,,64.49%,,,,64.98%,,,,65.03%,61.79%,62.76%,62.76%,62.76%,62.76%,66.32%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,,,,197741,,,,210560,,,,268037,128525,123839,119507,118081,118075,146625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
