Section,,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Dec 2024,Mar 2025
Profit & Loss,Depreciation,,,0.21,,,,0.19,,,,0.25,,,23.32,18.96,19.25,20.43,16.61,11.51,9.41,0.61,0.31,0.29,,
Profit & Loss,Profit before tax,,,15.26,,,,21.62,,,,15.60,,,101.14,100.74,96.51,74.77,13.88,26.58,-7.84,-19.85,9.85,9.75,,
Profit & Loss,Tax %,,,14.09%,,,,21.37%,,,,22.76%,,,24.20%,27.68%,24.27%,24.96%,50.72%,33.56%,74.36%,-0.86%,2.84%,,,
Profit & Loss,Net Profit,,,13.12,,,,17.00,,,,12.05,,,76.67,72.87,73.10,56.11,6.85,17.67,-13.67,-19.68,9.57,5.09,,
Profit & Loss,EPS in Rs,,,0.25,,,,0.38,,,,0.32,,,2.45,2.31,2.33,1.79,0.20,0.49,-0.48,-0.44,0.25,0.11,,
Profit & Loss,Dividend Payout %,,,161.26%,,,,209.72%,,,,217.44%,,,40.89%,56.24%,55.90%,67.20%,307.39%,123.64%,-62.73%,-135.95%,119.87%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,62.81,,,,62.81,,,,62.81,,62.81,41.78,62.72,62.81,62.81,62.81,62.81,62.81,62.81,62.81,,,
Balance Sheet,Reserves,,,147.92,,,,153.61,,,,139.58,,116.83,241.76,263.62,301.73,333.86,246.08,205.09,176.95,159.59,146.90,,,
Balance Sheet,Borrowings,,,0.00,,,,0.00,,,,0.00,,0.00,27.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Balance Sheet,Other Liabilities,,,44.13,,,,50.58,,,,46.99,,44.19,87.72,100.61,92.21,82.11,51.34,55.22,57.56,40.25,40.07,,,
Balance Sheet,Total Liabilities,,,254.86,,,,267.00,,,,249.38,,223.83,398.45,426.95,456.75,478.78,360.23,323.12,297.32,262.65,249.78,,,
Balance Sheet,Fixed Assets,,,0.28,,,,0.39,,,,0.47,,0.39,154.04,152.06,141.77,133.67,19.88,9.56,0.96,0.53,0.42,,,
Balance Sheet,CWIP,,,0.00,,,,0.00,,,,0.00,,0.00,0.08,0.00,0.00,0.10,0.32,0.00,0.00,0.00,0.00,,,
Balance Sheet,Investments,,,31.88,,,,71.25,,,,61.68,,39.60,62.14,79.37,143.79,131.22,96.73,76.41,84.75,61.65,41.32,,,
Balance Sheet,Other Assets,,,222.70,,,,195.36,,,,187.23,,183.84,182.19,195.52,171.19,213.79,243.30,237.15,211.61,200.47,208.04,,,
Balance Sheet,Total Assets,,,254.86,,,,267.00,,,,249.38,,223.83,398.45,426.95,456.75,478.78,360.23,323.12,297.32,262.65,249.78,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,6.43,,,,-0.48,,,,-6.10,,,54.50,39.58,98.85,92.05,28.29,-3.80,75.22,-22.59,10.74,,,
Cash Flows,Cash from Investing Activity,,,-12.17,,,,-29.24,,,,29.55,,,2.53,13.36,-37.68,22.93,38.25,-12.62,-44.61,42.30,-8.24,,,
Cash Flows,Cash from Financing Activity,,,-9.42,,,,-16.09,,,,-27.72,,,-76.09,-67.48,-46.14,-46.56,-41.11,-19.53,-19.71,-9.92,-18.84,,,
Cash Flows,Net Cash Flow,,,-15.16,,,,-45.81,,,,-4.27,,,-19.06,-14.54,15.03,68.41,25.43,-35.95,10.90,9.79,-16.34,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,58.31,,,,83.25,,,,112.59,,,118.99,199.87,187.95,157.61,261.81,278.78,99.00,81.12,75.99,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,58.31,,,,83.25,,,,112.59,,,118.99,199.87,187.95,157.61,261.81,278.78,99.00,81.12,75.99,,,
Ratios,Working Capital Days,,,91.28,,,,102.60,,,,153.86,,,-1.19,109.44,64.83,38.47,209.88,381.35,109.53,167.04,82.86,,,
Ratios,ROCE %,,,6.74%,,,,9.24%,,,,6.80%,,,33.92%,31.53%,27.63%,19.47%,3.25%,8.70%,7.99%,-8.07%,4.30%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,50.42%,50.42%,50.42%,50.42%,50.42%,50.42%,50.42%,50.42%,50.42%,50.42%,,,,,,,,,,,50.42%,50.42%
Shareholding Pattern (Quarterly),FIIs,,,,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%,0.00%,,,,,,,,,,,0.02%,0.00%
Shareholding Pattern (Quarterly),DIIs,,,,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,,,49.57%,49.58%,49.58%,49.58%,49.57%,49.57%,49.59%,49.59%,49.20%,49.58%,,,,,,,,,,,49.56%,49.58%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,55542,58586,60411,60122,61106,63987,72906,78249,81257,88929,,,,,,,,,,,98672,102216
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,50.42%,,,,50.42%,,,,50.42%,,,,,,,50.42%,50.42%,50.42%,50.42%,50.42%,,,50.42%
Shareholding Pattern (Yearly),FIIs,,,0.00%,,,,0.00%,,,,0.00%,,,,,,,0.74%,0.14%,0.00%,0.00%,0.00%,,,0.00%
Shareholding Pattern (Yearly),DIIs,,,0.01%,,,,0.00%,,,,0.00%,,,,,,,1.16%,0.27%,0.08%,0.01%,0.01%,,,0.00%
Shareholding Pattern (Yearly),Public,,,49.57%,,,,49.58%,,,,49.59%,,,,,,,47.68%,49.17%,49.50%,49.57%,49.57%,,,49.58%
Shareholding Pattern (Yearly),No. of Shareholders,,,54416,,,,60122,,,,78249,,,,,,,39053,50974,51591,48748,45336,,,102216
,,,,,,,,,,,,,,,,,,,,,,,,,,
