Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,Jun 2022,Sep 2022,Dec 2022,Jun 2023,Sep 2023
Balance Sheet,Fixed Assets,,2022,,,,1973,,,1168,,,,1180,2865,6060,5861,5654,5547,1406,1332,1232,,,,,
Balance Sheet,CWIP,,103,,,,37,,,43,,,,155,3218,3519,3884,4268,4692,37,37,37,,,,,
Balance Sheet,Investments,,303,,,,303,,,5,,,,5,2,302,302,315,303,3,4,4,,,,,
Balance Sheet,Other Assets,,1718,,,,2435,,,1528,,,,1551,3995,1546,1774,2184,2453,2361,2370,1512,,,,,
Balance Sheet,Total Assets,,4146,,,,4747,,,2743,,,,2892,10080,11427,11821,12422,12994,3807,3743,2785,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-113,,,,-1183,,,-70,,,,-97,742,432,-598,-318,-224,710,2007,1428,,,,,
Cash Flows,Cash from Investing Activity,,-16,,,,49,,,-11,,,,-162,-824,-1069,-25,-122,-15,-1,2,12,,,,,
Cash Flows,Cash from Financing Activity,,102,,,,1099,,,91,,,,269,83,617,644,429,280,-707,-1999,-1460,,,,,
Cash Flows,Net Cash Flow,,-27,,,,-35,,,10,,,,10,0,-20,20,-10,41,1,11,-20,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,11,,,,14,,,,,,,24,201,18,13,2,14,149,47,0,,,,,
Ratios,Inventory Days,,1466,,,,7331,,,1899893,,,,165503,85,405,3982,892,657,,692279,1972614,,,,,
Ratios,Days Payable,,673,,,,4512,,,49762,,,,6677,116,399,1770,313,274,,112894,109865,,,,,
Ratios,Cash Conversion Cycle,,805,,,,2833,,,,,,,158850,170,24,2225,582,396,149,579431,1862749,,,,,
Ratios,Working Capital Days,,-13573,,,,-34358,,,,,,,70395,19,-326,-758,-348,-5284,-803434,-917525,151624,,,,,
Ratios,ROCE %,,-2%,,,,-22%,,,-4%,,,,-6%,7%,-1%,-3%,-1%,-3%,-17%,,-26%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,94.91%,94.91%,94.91%,94.91%,94.91%,94.91%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,,,,,,,,0.51%,0.14%,0.14%,0.11%,0.52%,0.48%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,,,,,,,,7.93%,7.93%,7.93%,7.93%,7.93%,7.93%
Shareholding Pattern (Quarterly),Public,,,,,,,,4.66%,4.66%,4.66%,4.66%,4.66%,4.67%,,,,,,,,91.56%,91.93%,91.91%,91.96%,91.55%,91.58%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,101237,101237,101237,101237,100662,99428,,,,,,,,192978,195055,193932,193492,191285,191129
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,29.84%,,,,25.23%,,,94.91%,,,,94.91%,,,,30.76%,29.84%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Yearly),FIIs,,3.72%,,,,0.29%,,,0.03%,,,,0.03%,,,,4.58%,5.07%,0.14%,0.16%,0.51%,,,,,
Shareholding Pattern (Yearly),DIIs,,8.07%,,,,8.21%,,,0.40%,,,,0.40%,,,,9.90%,10.57%,7.92%,7.93%,7.93%,,,,,
Shareholding Pattern (Yearly),Public,,58.37%,,,,66.26%,,,4.66%,,,,4.67%,,,,54.76%,54.52%,91.94%,91.91%,91.56%,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,152654,,,,158607,,,101237,,,,99428,,,,130628,144680,181668,195149,192978,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
